channel,n_samples_sum,exact_bin_mean,exact_bin_std,circular_mae_bins_mean,circular_mae_bins_std,circular_median_ae_bins_mean,circular_median_ae_bins_std,within_1bin_mean,within_1bin_std,within_2bins_mean,within_2bins_std,within_3bins_mean,within_3bins_std,within_6bins_mean,within_6bins_std,coarse45_mean,coarse45_std,coarse90_mean,coarse90_std
C2_baseline_4dim,2664,0.0,0.0,17.85032175032175,7.511148857438034,17.9,8.605230967266365,0.03567567567567568,0.033693806760843936,0.057245817245817246,0.053485890642356655,0.08164736164736164,0.07945638885770072,0.16066924066924065,0.1617620239453334,0.11732303732303732,0.12110516618418839,0.24033462033462033,0.1694733830743
C3_image_only,2664,0.0,0.0,16.28810810810811,4.9112461554438465,18.4,8.502940667792526,0.06579150579150579,0.006053969785526157,0.12326898326898328,0.022988451429473658,0.1712226512226512,0.04473339515399298,0.25572715572715576,0.07933687047235187,0.1795881595881596,0.11837934103687499,0.25070785070785073,0.15632110161716553
C3_joint,2664,0.0,0.0,16.2785842985843,4.302274770047706,15.8,3.96232255123179,0.06731016731016731,0.004899909863784161,0.12978120978120977,0.014298057209134234,0.17742599742599743,0.02894660168487245,0.2651222651222651,0.08565208707134757,0.18157014157014156,0.12618788050335678,0.24597168597168598,0.14871784089993467
