channel,pitch_band,n_samples,circular_mae_bins,within_3bins,within_6bins,coarse45
C2_baseline_4dim,negative(<=-30),936,18.60576923076923,0.07905982905982906,0.15491452991452992,0.11965811965811966
C2_baseline_4dim,near_zero(-25..25),792,18.720959595959595,0.07196969696969698,0.14393939393939395,0.10858585858585859
C2_baseline_4dim,positive(>=30),936,16.19551282051282,0.09081196581196581,0.1794871794871795,0.125
C3_image_only,negative(<=-30),936,16.15277777777778,0.17414529914529914,0.280982905982906,0.19017094017094016
C3_image_only,near_zero(-25..25),792,16.07070707070707,0.17803030303030304,0.26136363636363635,0.18434343434343434
C3_image_only,positive(>=30),936,16.715811965811966,0.1623931623931624,0.22542735042735043,0.16880341880341881
C3_joint,negative(<=-30),936,16.153846153846153,0.18055555555555555,0.2905982905982906,0.18482905982905984
C3_joint,near_zero(-25..25),792,16.13510101010101,0.17297979797979798,0.2474747474747475,0.1830808080808081
C3_joint,positive(>=30),936,16.63354700854701,0.17735042735042736,0.25427350427350426,0.18162393162393162
