coarse_name,bin_width,n_classes,random_baseline,C2_baseline_4dim_mean,C2_baseline_4dim_std,C3_image_only_mean,C3_image_only_std,C3_joint_mean,C3_joint_std
coarse15,3,24,0.041666666666666664,0.014285714285714285,0.02857142857142857,0.033204633204633204,0.04132176136509935,0.0416988416988417,0.05609229414944427
coarse30,6,12,0.08333333333333333,0.07047619047619047,0.11067305940063961,0.1048906048906049,0.09683690521367898,0.11413127413127414,0.09747443579772168
coarse45,9,8,0.125,0.11732303732303732,0.10831975360570162,0.1795881595881596,0.10588170147603317,0.18157014157014156,0.11286587149685046
coarse60,12,6,0.16666666666666666,0.20195624195624196,0.2694733903949814,0.19099099099099098,0.07214718461372759,0.19868725868725867,0.06255140847229494
coarse90,18,4,0.25,0.2403346203346203,0.15158160197239878,0.25070785070785073,0.13981784381345375,0.24597168597168598,0.133017280687701
