channel,n_samples_pooled,exact_bin,circular_mae_bins,circular_median_ae_bins,within_1bin,within_2bins,within_3bins,within_6bins,coarse45,coarse90,aggregation
C2_baseline_4dim,2664,0.0,17.79316816816817,16.0,0.03566066066066066,0.057057057057057055,0.08108108108108109,0.1602852852852853,0.11824324324324324,0.24436936936936937,pooled_sample_weighted
C3_image_only,2664,0.0,16.3262012012012,14.0,0.0656906906906907,0.12312312312312312,0.17117117117117117,0.25563063063063063,0.18093093093093093,0.2541291291291291,pooled_sample_weighted
C3_joint,2664,0.0,16.316816816816818,15.0,0.06719219219219219,0.12950450450450451,0.17717717717717718,0.265015015015015,0.1831831831831832,0.2484984984984985,pooled_sample_weighted
