channel,fold,n_samples,exact_bin,circular_mae_bins,circular_median_ae_bins,within_1bin,within_2bins,within_3bins,within_6bins,coarse45,coarse90
C2_baseline_4dim,0,555,0.0,15.12072072072072,17.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.34234234234234234
C2_baseline_4dim,1,555,0.0,16.464864864864865,13.0,0.0036036036036036037,0.03423423423423423,0.055855855855855854,0.16036036036036036,0.16756756756756758,0.42882882882882883
C2_baseline_4dim,2,518,0.0,23.575289575289574,22.0,0.0,0.0,0.0,0.0,0.0,0.14478764478764478
C2_baseline_4dim,3,518,0.0,7.5,7.5,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.42857142857142855,0.2857142857142857,0.2857142857142857
C2_baseline_4dim,4,518,0.0,26.590733590733592,30.0,0.03667953667953668,0.04247104247104247,0.07142857142857142,0.08108108108108109,0.0,0.0
C3_image_only,0,555,0.0,20.89189189189189,31.0,0.06666666666666667,0.13333333333333333,0.1981981981981982,0.3153153153153153,0.3153153153153153,0.34594594594594597
C3_image_only,1,555,0.0,14.427027027027027,14.0,0.05765765765765766,0.10270270270270271,0.14054054054054055,0.1891891891891892,0.14054054054054055,0.4018018018018018
C3_image_only,2,518,0.0,21.57335907335907,23.0,0.06177606177606178,0.0945945945945946,0.10810810810810811,0.1640926640926641,0.20656370656370657,0.21428571428571427
C3_image_only,3,518,0.0,14.68918918918919,14.0,0.07142857142857142,0.14285714285714285,0.1969111969111969,0.2606177606177606,0.23552123552123552,0.2915057915057915
C3_image_only,4,518,0.0,9.85907335907336,10.0,0.07142857142857142,0.14285714285714285,0.21235521235521235,0.34942084942084944,0.0,0.0
C3_joint,0,555,0.0,20.158558558558557,19.0,0.06666666666666667,0.13333333333333333,0.2,0.34234234234234234,0.34234234234234234,0.4036036036036036
C3_joint,1,555,0.0,15.151351351351352,16.0,0.05945945945945946,0.1063063063063063,0.13693693693693693,0.18018018018018017,0.13693693693693693,0.2702702702702703
C3_joint,2,518,0.0,19.030888030888033,18.0,0.07142857142857142,0.14092664092664092,0.16216216216216217,0.17567567567567569,0.19498069498069498,0.2625482625482625
C3_joint,3,518,0.0,17.70849420849421,17.0,0.06756756756756757,0.1274131274131274,0.17953667953667954,0.2722007722007722,0.2335907335907336,0.29343629343629346
C3_joint,4,518,0.0,9.343629343629344,9.0,0.07142857142857142,0.14092664092664092,0.2084942084942085,0.3552123552123552,0.0,0.0
