epoch,train_loss,grad_norm_mean,grad_finite,val_yaw_cmae_deg,val_yaw_hit@10,val_pitch_mae_deg,val_yaw_exact_sentinel
1,0.8614973107288624,0.9049198238589681,True,115.49606659053376,0.0,57.16216152883405,0.0
2,0.7984262612359277,1.220925115122999,True,121.17037327593358,0.0,57.16216216216216,0.0
3,0.4036877851547866,1.9411802413262544,True,143.4753552293225,0.0,57.16216216216216,0.0
4,0.23790088745540586,1.3328881259548533,True,155.0,0.0,57.16216216216216,0.0
5,0.16175817595473652,1.2241486989775088,True,116.3375361969112,0.0,57.1621621474336,0.0
6,0.17859627576223736,1.031038785889352,True,115.0,0.0,61.37065634119925,0.0
7,0.12256980346965379,1.2983160793947979,True,115.0,0.0,59.98069483340937,0.0
8,0.08924239482088335,0.696841871949494,True,147.08762445044795,0.0,57.16216216216216,0.0
9,0.07897714300659196,0.9925809591280514,True,149.28663540991116,0.0,57.16216216216216,0.0
10,0.08277295619763177,0.6040484520114159,True,145.5070593403113,0.0,57.16216216216216,0.0
11,0.07641482680779078,0.6213472002217848,True,149.44015650215297,0.0,57.16216216216216,0.0
12,0.10668655966633353,0.6598094073151056,True,68.20712686781718,0.0,20.62573042362353,0.0
13,0.14386001621083966,0.9848749747582384,True,155.0,0.0,57.16216216216216,0.0
14,0.1053928922669127,0.7102448899460196,True,148.97767703965823,0.0,57.16216216216216,0.0
15,0.08414551477622369,0.7917404982871442,True,149.8262699672154,0.0,48.498379453268754,0.0
16,0.06939130905887177,0.6312951847360376,True,147.36137130914048,0.0,51.94482360015044,0.0
17,0.06206152803296673,0.43490711884264566,True,150.01931126421482,0.0,57.16216216216216,0.0
18,0.06918993425266497,0.4927919134443259,True,146.88119542184484,0.0,57.31657247653799,0.0
19,0.050054852336902045,0.5510044706226336,True,147.6296270068548,0.0,52.876207314863166,0.0
20,0.04105003126736345,0.27330112309909765,True,150.01930501930502,0.0,54.22779922779923,0.0
