channel,degrade_level,geom,alpha,target,coverage,set_size_deg,q_deg,val_n,test_n
pdb/neg-L2,degraded-moderate,G1,0.1,0.9,0.9662,350.0,175.0,259,296
pdb/neg-L2,degraded-moderate,G1,0.2,0.8,0.8277,320.0,160.0,259,296
neural/ocs_only,degraded-moderate,G3,0.05,0.95,0.9764,348.31,174.16,259,296
neural/ocs_only,degraded-moderate,G3,0.1,0.9,0.9392,325.79,162.9,259,296
neural/ocs_only,degraded-moderate,G3,0.2,0.8,0.7939,201.64,100.82,259,296
pdb/neg-L2,degraded-moderate,G3,0.05,0.95,1.0,360.0,180.0,259,296
pdb/neg-L2,degraded-moderate,G3,0.1,0.9,0.9696,350.0,175.0,259,296
pdb/neg-L2,degraded-moderate,G3,0.2,0.8,0.8176,280.0,140.0,259,296
neural/ocs_only,degraded-moderate,G5,0.05,0.95,0.9797,327.86,163.93,259,296
neural/ocs_only,degraded-moderate,G5,0.1,0.9,0.9324,267.26,133.63,259,296
neural/ocs_only,degraded-moderate,G5,0.2,0.8,0.8142,144.6,72.3,259,296
neural/image_only,degraded-moderate,G5,0.05,0.95,0.9426,13.89,6.95,259,296
neural/image_only,degraded-moderate,G5,0.1,0.9,0.9324,11.45,5.73,259,296
neural/image_only,degraded-moderate,G5,0.2,0.8,0.8378,8.37,4.18,259,296
neural/joint,degraded-moderate,G5,0.05,0.95,0.9628,11.34,5.67,259,296
neural/joint,degraded-moderate,G5,0.1,0.9,0.8818,8.4,4.2,259,296
neural/joint,degraded-moderate,G5,0.2,0.8,0.7973,6.46,3.23,259,296
pdb/neg-L2,degraded-moderate,G5,0.05,0.95,1.0,360.0,180.0,259,296
pdb/neg-L2,degraded-moderate,G5,0.1,0.9,0.9426,350.0,175.0,259,296
pdb/neg-L2,degraded-moderate,G5,0.2,0.8,0.8277,180.0,90.0,259,296
