seed_record_id,category,yaw,pitch,roll,geom,label,render_needed,roll0_reuse_source
yaw150_pitch+085,roll-sensitive-seed,150,85,-45,phase63(L1-G1),yaw150_pitch+085_roll-045,YES,"01_fullrun (roll+000, 不重渲)"
yaw150_pitch+085,roll-sensitive-seed,150,85,-30,phase63(L1-G1),yaw150_pitch+085_roll-030,YES,"01_fullrun (roll+000, 不重渲)"
yaw150_pitch+085,roll-sensitive-seed,150,85,-15,phase63(L1-G1),yaw150_pitch+085_roll-015,YES,"01_fullrun (roll+000, 不重渲)"
yaw150_pitch+085,roll-sensitive-seed,150,85,15,phase63(L1-G1),yaw150_pitch+085_roll+015,YES,"01_fullrun (roll+000, 不重渲)"
yaw150_pitch+085,roll-sensitive-seed,150,85,30,phase63(L1-G1),yaw150_pitch+085_roll+030,YES,"01_fullrun (roll+000, 不重渲)"
yaw150_pitch+085,roll-sensitive-seed,150,85,45,phase63(L1-G1),yaw150_pitch+085_roll+045,YES,"01_fullrun (roll+000, 不重渲)"
yaw150_pitch+085,roll-sensitive-seed,150,85,60,phase63(L1-G1),yaw150_pitch+085_roll+060,YES,"01_fullrun (roll+000, 不重渲)"
yaw065_pitch+070,low-info-seed,65,70,-60,phase63(L1-G1),yaw065_pitch+070_roll-060,YES,"01_fullrun (roll+000, 不重渲)"
yaw065_pitch+070,low-info-seed,65,70,-45,phase63(L1-G1),yaw065_pitch+070_roll-045,YES,"01_fullrun (roll+000, 不重渲)"
yaw065_pitch+070,low-info-seed,65,70,-30,phase63(L1-G1),yaw065_pitch+070_roll-030,YES,"01_fullrun (roll+000, 不重渲)"
yaw065_pitch+070,low-info-seed,65,70,-15,phase63(L1-G1),yaw065_pitch+070_roll-015,YES,"01_fullrun (roll+000, 不重渲)"
yaw065_pitch+070,low-info-seed,65,70,15,phase63(L1-G1),yaw065_pitch+070_roll+015,YES,"01_fullrun (roll+000, 不重渲)"
yaw065_pitch+070,low-info-seed,65,70,30,phase63(L1-G1),yaw065_pitch+070_roll+030,YES,"01_fullrun (roll+000, 不重渲)"
yaw065_pitch+070,low-info-seed,65,70,45,phase63(L1-G1),yaw065_pitch+070_roll+045,YES,"01_fullrun (roll+000, 不重渲)"
yaw065_pitch+070,low-info-seed,65,70,60,phase63(L1-G1),yaw065_pitch+070_roll+060,YES,"01_fullrun (roll+000, 不重渲)"
yaw065_pitch+075,ocs-hard-seed,65,75,-60,phase63(L1-G1),yaw065_pitch+075_roll-060,YES,"01_fullrun (roll+000, 不重渲)"
yaw065_pitch+075,ocs-hard-seed,65,75,-45,phase63(L1-G1),yaw065_pitch+075_roll-045,YES,"01_fullrun (roll+000, 不重渲)"
yaw065_pitch+075,ocs-hard-seed,65,75,-30,phase63(L1-G1),yaw065_pitch+075_roll-030,YES,"01_fullrun (roll+000, 不重渲)"
yaw065_pitch+075,ocs-hard-seed,65,75,-15,phase63(L1-G1),yaw065_pitch+075_roll-015,YES,"01_fullrun (roll+000, 不重渲)"
yaw065_pitch+075,ocs-hard-seed,65,75,15,phase63(L1-G1),yaw065_pitch+075_roll+015,YES,"01_fullrun (roll+000, 不重渲)"
yaw065_pitch+075,ocs-hard-seed,65,75,30,phase63(L1-G1),yaw065_pitch+075_roll+030,YES,"01_fullrun (roll+000, 不重渲)"
yaw065_pitch+075,ocs-hard-seed,65,75,45,phase63(L1-G1),yaw065_pitch+075_roll+045,YES,"01_fullrun (roll+000, 不重渲)"
yaw065_pitch+075,ocs-hard-seed,65,75,60,phase63(L1-G1),yaw065_pitch+075_roll+060,YES,"01_fullrun (roll+000, 不重渲)"
yaw250_pitch-010,disagreement-seed,250,-10,-60,phase63(L1-G1),yaw250_pitch-010_roll-060,YES,"01_fullrun (roll+000, 不重渲)"
yaw250_pitch-010,disagreement-seed,250,-10,-45,phase63(L1-G1),yaw250_pitch-010_roll-045,YES,"01_fullrun (roll+000, 不重渲)"
yaw250_pitch-010,disagreement-seed,250,-10,-30,phase63(L1-G1),yaw250_pitch-010_roll-030,YES,"01_fullrun (roll+000, 不重渲)"
yaw250_pitch-010,disagreement-seed,250,-10,-15,phase63(L1-G1),yaw250_pitch-010_roll-015,YES,"01_fullrun (roll+000, 不重渲)"
yaw250_pitch-010,disagreement-seed,250,-10,15,phase63(L1-G1),yaw250_pitch-010_roll+015,YES,"01_fullrun (roll+000, 不重渲)"
yaw250_pitch-010,disagreement-seed,250,-10,30,phase63(L1-G1),yaw250_pitch-010_roll+030,YES,"01_fullrun (roll+000, 不重渲)"
yaw250_pitch-010,disagreement-seed,250,-10,45,phase63(L1-G1),yaw250_pitch-010_roll+045,YES,"01_fullrun (roll+000, 不重渲)"
yaw250_pitch-010,disagreement-seed,250,-10,60,phase63(L1-G1),yaw250_pitch-010_roll+060,YES,"01_fullrun (roll+000, 不重渲)"
yaw165_pitch-020,image-hard-seed,165,-20,-60,phase63(L1-G1),yaw165_pitch-020_roll-060,YES,"01_fullrun (roll+000, 不重渲)"
yaw165_pitch-020,image-hard-seed,165,-20,-45,phase63(L1-G1),yaw165_pitch-020_roll-045,YES,"01_fullrun (roll+000, 不重渲)"
yaw165_pitch-020,image-hard-seed,165,-20,-30,phase63(L1-G1),yaw165_pitch-020_roll-030,YES,"01_fullrun (roll+000, 不重渲)"
yaw165_pitch-020,image-hard-seed,165,-20,-15,phase63(L1-G1),yaw165_pitch-020_roll-015,YES,"01_fullrun (roll+000, 不重渲)"
yaw165_pitch-020,image-hard-seed,165,-20,15,phase63(L1-G1),yaw165_pitch-020_roll+015,YES,"01_fullrun (roll+000, 不重渲)"
yaw165_pitch-020,image-hard-seed,165,-20,30,phase63(L1-G1),yaw165_pitch-020_roll+030,YES,"01_fullrun (roll+000, 不重渲)"
