region,category,priority,yaw_deg,pitch_deg,roll,grid_type,source,ocs_total,brightness_rank,rank_shift_vs_roll0,pixel_local_contrast,neighbor_contrast_ypr,roll_sensitivity_score,n_pixels_camera_visible,n_pixels_contributing,mean_lit,image_usable,glint_flag,saturation_flag
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+60.0,-60,integer5,21_pack,1.598010e-02,83,37,1.075251,0.318292,2.154159,4355,3633,2.746477e-02,1,1,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+60.0,-45,integer5,21_pack,2.048936e-02,76,30,1.178139,0.588795,2.154159,5291,4592,2.786046e-02,1,1,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+60.0,-30,integer5,21_pack,2.689472e-02,50,4,0.324931,1.729456,2.154159,5996,2774,6.053722e-02,1,0,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+60.0,-15,integer5,21_pack,8.550375e-02,25,-21,0.344331,1.116106,2.154159,6356,3587,1.488386e-01,1,0,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+60.0,0,integer5,01_fullrun,6.625763e-02,46,0,0.268506,1.033475,2.154159,6327,4121,1.003911e-01,1,0,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+60.0,15,integer5,21_pack,2.850029e-02,98,52,0.562257,1.184680,2.154159,6016,4537,3.922314e-02,1,1,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+60.0,30,integer5,21_pack,2.245574e-02,97,51,0.896586,0.643331,2.154159,5930,4973,2.819491e-02,1,1,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+60.0,45,integer5,21_pack,1.530851e-02,103,57,1.251684,0.536255,2.154159,6167,4989,1.915938e-02,1,1,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+60.0,60,integer5,21_pack,1.464699e-02,81,35,0.309178,0.176572,2.154159,6051,1586,5.766432e-02,1,0,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+62.5,-60,half2p5,21_pack,1.572014e-02,84,39,1.255628,0.343070,1.967702,4282,4189,2.343192e-02,1,1,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+62.5,-45,half2p5,21_pack,2.020450e-02,79,34,1.347009,0.611703,1.967702,5239,5171,2.439696e-02,1,1,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+62.5,-30,half2p5,21_pack,2.659396e-02,51,6,0.599289,1.783268,1.967702,5955,3362,4.939092e-02,1,0,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+62.5,-15,half2p5,21_pack,7.717834e-02,28,-17,0.579898,1.136568,1.967702,6340,4235,1.137900e-01,1,0,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+62.5,0,half2p5,21_pack,6.647777e-02,45,0,0.505308,1.048897,1.967702,6326,4819,8.613535e-02,1,0,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+62.5,15,half2p5,21_pack,2.852209e-02,97,52,0.712045,1.194908,1.967702,6018,5250,3.392220e-02,1,1,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+62.5,30,half2p5,21_pack,2.227006e-02,102,57,1.014741,0.642509,1.967702,5908,5719,2.431438e-02,1,1,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+62.5,45,half2p5,21_pack,1.511115e-02,106,61,1.434973,0.540152,1.967702,6156,5752,1.640365e-02,1,1,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+62.5,60,half2p5,21_pack,1.451869e-02,83,38,0.773584,0.176672,1.967702,6058,2343,3.869163e-02,1,0,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+65.0,-60,integer5,21_pack,1.530430e-02,87,44,1.140648,0.334159,1.817200,4221,4129,2.314358e-02,1,1,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+65.0,-45,integer5,21_pack,1.995866e-02,81,38,1.289701,0.605767,1.817200,5198,5133,2.427851e-02,1,1,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+65.0,-30,integer5,21_pack,2.637539e-02,53,10,0.544318,1.651984,1.817200,5925,3292,5.002661e-02,1,0,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+65.0,-15,integer5,21_pack,7.112510e-02,34,-9,0.571761,1.019449,1.817200,6318,4190,1.059914e-01,1,0,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+65.0,0,integer5,01_fullrun,6.669558e-02,43,0,0.487543,0.923102,1.817200,6326,4776,8.719562e-02,1,0,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+65.0,15,integer5,21_pack,2.880357e-02,96,53,0.726661,1.191226,1.817200,6012,5204,3.455979e-02,1,1,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+65.0,30,integer5,21_pack,2.241755e-02,99,56,0.960366,0.648042,1.817200,5874,5674,2.466952e-02,1,1,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+65.0,45,integer5,21_pack,1.516737e-02,105,62,1.403678,0.546478,1.817200,6135,5723,1.654811e-02,1,1,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+65.0,60,integer5,21_pack,1.451649e-02,84,41,0.729839,0.167300,1.817200,6060,2277,3.980709e-02,1,0,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+67.5,-60,half2p5,21_pack,1.519974e-02,88,47,1.152460,0.333980,1.711826,4150,4057,2.339339e-02,1,1,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+67.5,-45,half2p5,21_pack,1.988630e-02,82,41,1.274130,0.615175,1.711826,5140,5078,2.445250e-02,1,1,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+67.5,-30,half2p5,21_pack,2.648749e-02,52,11,0.562292,1.558031,1.711826,5895,3243,5.099831e-02,1,0,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+67.5,-15,half2p5,21_pack,6.505185e-02,37,-4,0.556725,0.929727,1.711826,6288,4124,9.849245e-02,1,0,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+67.5,0,half2p5,21_pack,6.684434e-02,41,0,0.469070,0.824187,1.711826,6307,4739,8.807242e-02,1,0,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+67.5,15,half2p5,21_pack,2.884975e-02,95,54,0.642230,1.189803,1.711826,6014,5181,3.476886e-02,1,1,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+67.5,30,half2p5,21_pack,2.244478e-02,98,57,0.954583,0.662693,1.711826,5838,5653,2.479124e-02,1,1,0
R3_low_info_connectivity,low-info/ocs-hard,primary,55.0,+67.5,45,half2p5,21_pack,1.531919e-02,102,61,1.423915,0.544794,1.711826,6115,5738,1.667006e-02,1,1,0
