channel,config_name,fold,n_samples,yaw_exact_acc,pitch_exact_acc,yaw_circular_mae_deg,pitch_mae_deg,yaw_within_1_bins_rate,pitch_within_1_bins_rate,yaw_within_2_bins_rate,pitch_within_2_bins_rate,yaw_within_3_bins_rate,pitch_within_3_bins_rate,yaw_within_6_bins_rate,pitch_within_6_bins_rate,yaw_coarse_30deg_acc,yaw_coarse_45deg_acc,pitch_coarse_30deg_acc,pitch_coarse_45deg_acc,yaw_cmae_min,yaw_cmae_p25,yaw_cmae_median,yaw_cmae_p75,yaw_cmae_p90,yaw_cmae_max,yaw_cmae_mean,yaw_cmae_std
C2,baseline_4dim,0,555,0.0,0.02702702702702703,75.6036036036036,58.270270270270274,0.06666666666666667,0.07747747747747748,0.06666666666666667,0.12072072072072072,0.06666666666666667,0.15675675675675677,0.13333333333333333,0.2774774774774775,0.06666666666666667,0.13333333333333333,0.11891891891891893,0.16576576576576577,5.0,50.0,85.0,100.0,115.0,180.0,75.6036036036036,35.362289498073686
C2,baseline_4dim,1,555,0.0,0.043243243243243246,82.32432432432432,56.62162162162162,0.0036036036036036037,0.11891891891891893,0.03423423423423423,0.18198198198198198,0.055855855855855854,0.23243243243243245,0.16036036036036036,0.3837837837837838,0.0,0.16756756756756758,0.1945945945945946,0.24684684684684685,5.0,40.0,65.0,115.0,175.0,180.0,82.32432432432432,53.535399110091596
C2,baseline_4dim,2,518,0.0,0.019305019305019305,117.87644787644787,66.63127413127414,0.0,0.06756756756756757,0.0,0.12355212355212356,0.0,0.17567567567567569,0.0,0.3204633204633205,0.0,0.0,0.16988416988416988,0.16795366795366795,45.0,75.0,110.0,168.75,175.0,180.0,117.87644787644787,47.10774007556725
C2,baseline_4dim,3,518,0.0,0.02702702702702703,37.5,79.13127413127414,0.07142857142857142,0.08108108108108109,0.14285714285714285,0.13320463320463322,0.21428571428571427,0.16023166023166024,0.42857142857142855,0.24517374517374518,0.2857142857142857,0.2857142857142857,0.1583011583011583,0.23938223938223938,5.0,20.0,37.5,55.0,65.0,70.0,37.5,20.155644370746373
C2,baseline_4dim,4,518,0.0,0.011583011583011582,132.95366795366795,75.33783783783784,0.03667953667953668,0.03474903474903475,0.04247104247104247,0.07142857142857142,0.07142857142857142,0.10617760617760617,0.08108108108108109,0.23552123552123552,0.0,0.0,0.0637065637065637,0.08301158301158301,5.0,105.0,150.0,173.75,175.0,180.0,132.95366795366795,49.2791843254496
C2,I_interpart_1d,0,555,0.0,0.03063063063063063,90.38738738738738,55.12612612612613,0.0,0.07927927927927927,0.03963963963963964,0.12792792792792793,0.07387387387387387,0.17657657657657658,0.26846846846846845,0.36936936936936937,0.15855855855855855,0.3009009009009009,0.1891891891891892,0.2702702702702703,10.0,30.0,75.0,155.0,165.0,180.0,90.38738738738739,59.43035460208201
C2,I_interpart_1d,1,555,0.0,0.0036036036036036037,88.21621621621622,66.9009009009009,0.0,0.01981981981981982,0.0,0.04144144144144144,0.0,0.0918918918918919,0.02882882882882883,0.26666666666666666,0.0,0.06486486486486487,0.07027027027027027,0.11531531531531532,20.0,55.0,70.0,125.0,150.0,175.0,88.21621621621621,41.69676147154011
C2,I_interpart_1d,2,518,0.0,0.0444015444015444,134.85521235521236,69.78764478764478,0.0,0.0945945945945946,0.007722007722007722,0.138996138996139,0.02895752895752896,0.17567567567567569,0.0888030888030888,0.2857142857142857,0.032818532818532815,0.0019305019305019305,0.22393822393822393,0.29922779922779924,10.0,115.0,160.0,170.0,175.0,180.0,134.85521235521236,49.53283963756856
C2,I_interpart_1d,3,518,0.0,0.03088803088803089,106.58301158301158,45.71428571428571,0.0,0.07722007722007722,0.0,0.12548262548262548,0.03474903474903475,0.19498069498069498,0.13706563706563707,0.37258687258687256,0.0,0.13706563706563707,0.20656370656370657,0.28957528957528955,15.0,50.0,125.0,160.0,175.0,180.0,106.58301158301158,57.19306074936167
C2,I_interpart_1d,4,518,0.0,0.025096525096525095,118.86100386100387,79.97104247104248,0.0,0.055984555984555984,0.0,0.09652509652509653,0.0,0.12934362934362933,0.0,0.28957528957528955,0.0,0.0,0.16023166023166024,0.2335907335907336,50.0,90.0,115.0,150.0,170.0,180.0,118.86100386100387,34.98835968258554
