channel,mode,fold,n_samples,yaw_exact_acc,pitch_exact_acc,yaw_circular_mae_deg,pitch_mae_deg,yaw_within_1_bins_rate,pitch_within_1_bins_rate,yaw_within_2_bins_rate,pitch_within_2_bins_rate,yaw_within_3_bins_rate,pitch_within_3_bins_rate,yaw_within_6_bins_rate,pitch_within_6_bins_rate,yaw_coarse_30deg_acc,yaw_coarse_45deg_acc,pitch_coarse_30deg_acc,pitch_coarse_45deg_acc,yaw_cmae_min,yaw_cmae_p25,yaw_cmae_median,yaw_cmae_p75,yaw_cmae_p90,yaw_cmae_max,yaw_cmae_mean,yaw_cmae_std
C3,image_only,0,555,0.0,0.218018018018018,104.45945945945945,40.25225225225225,0.06666666666666667,0.4720720720720721,0.13333333333333333,0.581981981981982,0.1981981981981982,0.6234234234234234,0.3153153153153153,0.6396396396396397,0.1981981981981982,0.3153153153153153,0.5135135135135135,0.5459459459459459,5.0,20.0,155.0,170.0,175.0,180.0,104.45945945945945,71.49104193663213
C3,image_only,1,555,0.0,0.15675675675675677,72.13513513513513,34.17117117117117,0.05765765765765766,0.3567567567567568,0.10270270270270271,0.4720720720720721,0.14054054054054055,0.5333333333333333,0.1891891891891892,0.5945945945945946,0.0,0.14054054054054055,0.45225225225225224,0.44324324324324327,5.0,45.0,70.0,90.0,135.0,180.0,72.13513513513513,42.568331181482
C3,image_only,2,518,0.0,0.1583011583011583,107.86679536679536,56.361003861003866,0.06177606177606178,0.2606177606177606,0.0945945945945946,0.3088803088803089,0.10810810810810811,0.33204633204633205,0.1640926640926641,0.38803088803088803,0.0945945945945946,0.20656370656370657,0.277992277992278,0.2953667953667954,5.0,65.0,115.0,165.0,175.0,180.0,107.86679536679537,58.476768460439786
C3,image_only,3,518,0.0,0.24517374517374518,73.44594594594595,34.11196911196911,0.07142857142857142,0.4092664092664093,0.14285714285714285,0.5096525096525096,0.1969111969111969,0.5926640926640927,0.2606177606177606,0.6833976833976834,0.23166023166023167,0.23552123552123552,0.4864864864864865,0.5328185328185329,5.0,25.0,70.0,100.0,150.0,175.0,73.44594594594595,48.74335884843384
C3,image_only,4,518,0.0,0.28185328185328185,49.2953667953668,26.872586872586872,0.07142857142857142,0.5501930501930502,0.14285714285714285,0.6698841698841699,0.21235521235521235,0.722007722007722,0.34942084942084944,0.7644787644787645,0.0,0.0,0.6254826254826255,0.5675675675675675,5.0,20.0,50.0,70.0,90.0,150.0,49.295366795366796,30.26484794286033
C3,joint,0,555,0.0,0.2702702702702703,100.79279279279278,40.18918918918919,0.06666666666666667,0.5171171171171172,0.13333333333333333,0.6108108108108108,0.2,0.6252252252252253,0.34234234234234234,0.6324324324324324,0.2,0.34234234234234234,0.5423423423423424,0.5801801801801801,5.0,20.0,95.0,170.0,175.0,180.0,100.7927927927928,71.06273299084575
C3,joint,1,555,0.0,0.13873873873873874,75.75675675675676,39.4954954954955,0.05945945945945946,0.34774774774774775,0.1063063063063063,0.4648648648648649,0.13693693693693693,0.5117117117117117,0.18018018018018017,0.5657657657657658,0.0,0.13693693693693693,0.41081081081081083,0.45765765765765765,5.0,60.0,80.0,95.0,130.0,175.0,75.75675675675676,38.268425160387096
C3,joint,2,518,0.0,0.18146718146718147,95.15444015444017,47.37451737451737,0.07142857142857142,0.35135135135135137,0.14092664092664092,0.4111969111969112,0.16216216216216217,0.4362934362934363,0.17567567567567569,0.5193050193050193,0.14092664092664092,0.19498069498069498,0.33783783783783783,0.33783783783783783,5.0,65.0,90.0,150.0,170.0,180.0,95.15444015444015,55.56810223569395
C3,joint,3,518,0.0,0.13513513513513514,88.54247104247105,59.20849420849421,0.06756756756756757,0.23745173745173745,0.1274131274131274,0.2972972972972973,0.17953667953667954,0.34555984555984554,0.2722007722007722,0.4362934362934363,0.22972972972972974,0.2335907335907336,0.27413127413127414,0.27413127413127414,5.0,25.0,85.0,140.0,155.0,175.0,88.54247104247104,55.86498764753466
C3,joint,4,518,0.0,0.24517374517374518,46.71814671814672,30.453667953667956,0.07142857142857142,0.5057915057915058,0.14092664092664092,0.6081081081081081,0.2084942084942085,0.6698841698841699,0.3552123552123552,0.722007722007722,0.0,0.0,0.5772200772200772,0.5463320463320464,5.0,20.0,45.0,65.0,86.50000000000006,135.0,46.71814671814672,29.032695236652458
