component,max_part_ocs,median_part_ocs,attitude_at_max_yaw,attitude_at_max_pitch,attitude_at_max_roll,total_ocs_at_part_max,mean_fraction_in_total_topk
jinshuzhuti,14.814767522353664,0.001960414041454768,300.0,15.0,0.0,14.823572679879598,0.9949696153096357
taiyangnengban,0.009980630024580703,0.004594424448626174,10.0,-75.0,0.0,0.011852504146073537,0.0018880547202205066
yinshenban,0.00618996402348895,0.000620411715804622,300.0,15.0,0.0,14.823572679879598,0.0031423299701438074
