yaw_i,yaw_i_deg,count_i,yaw_j,yaw_j_deg,count_j,cos_dist
45,225,37,44,220,37,1.0575643535237766e-05
45,225,37,52,260,37,1.4626652512061966e-05
45,225,37,50,250,37,2.9914969353561638e-05
46,230,37,54,270,37,6.02774906655057e-08
46,230,37,49,245,37,6.439004220815114e-06
46,230,37,42,210,37,3.990137916110026e-05
47,235,37,48,240,37,1.9291964836742892e-07
47,235,37,55,275,37,0.00010523730561651234
47,235,37,56,280,37,0.00038954177217098707
48,240,37,47,235,37,1.9291964836742892e-07
48,240,37,55,275,37,0.00010192141502507468
48,240,37,56,280,37,0.0004011799896154189
49,245,37,46,230,37,6.439004220815114e-06
49,245,37,54,270,37,6.573038699220213e-06
49,245,37,42,210,37,1.4965105700204262e-05
50,250,37,44,220,37,4.937712456132282e-06
50,250,37,52,260,37,5.985088907589642e-06
50,250,37,45,225,37,2.9914969353561638e-05
51,255,37,50,250,37,4.3449528111749736e-05
51,255,37,44,220,37,7.698062213334911e-05
51,255,37,52,260,37,7.800185211193078e-05
52,260,37,44,220,37,2.6195545894669436e-06
52,260,37,50,250,37,5.985088907589642e-06
52,260,37,45,225,37,1.4626652512061966e-05
53,265,37,43,215,37,1.5720929048113064e-05
53,265,37,42,210,37,8.055891923297587e-05
53,265,37,45,225,37,0.00011119969909190175
54,270,37,46,230,37,6.02774906655057e-08
54,270,37,49,245,37,6.573038699220213e-06
54,270,37,42,210,37,4.077679196179407e-05
55,275,37,48,240,37,0.00010192141502507468
55,275,37,47,235,37,0.00010523730561651234
55,275,37,41,205,37,0.00011946650817151738
56,280,37,40,200,37,0.00018859054506659145
56,280,37,55,275,37,0.0003187128248191007
56,280,37,47,235,37,0.00038954177217098707
57,285,37,39,195,37,0.00027966147046376566
57,285,37,56,280,37,0.00047449817356437496
57,285,37,40,200,37,0.0005108156153762478
58,290,37,38,190,37,0.0004645364790338835
58,290,37,59,295,37,0.00048632812006521586
58,290,37,57,285,37,0.0005693524203520539
59,295,37,23,115,37,2.4982690715380507e-05
59,295,37,28,140,37,8.828721528453265e-05
59,295,37,64,320,37,0.00012137095109043816
60,300,37,24,120,37,1.9846973675630153e-06
60,300,37,31,155,37,1.883816107417502e-05
60,300,37,28,140,37,0.00010487087295074637
61,305,37,63,315,37,6.815736486975865e-06
61,305,37,25,125,37,8.258415267192731e-06
61,305,37,27,135,37,2.033358635278315e-05
62,310,37,27,135,37,1.0980798349047305e-05
62,310,37,26,130,37,2.0762060065848686e-05
62,310,37,68,340,37,2.296433370030382e-05
63,315,37,61,305,37,6.815736486975865e-06
63,315,37,25,125,37,7.827577716446044e-06
63,315,37,27,135,37,1.9464840142924267e-05
64,320,37,67,335,37,1.0280495204573192e-05
64,320,37,1,5,37,1.6319269207420994e-05
64,320,37,28,140,37,2.1256316999007652e-05
65,325,37,66,330,37,1.867323513593533e-07
65,325,37,2,10,37,1.6479640324917888e-05
65,325,37,29,145,37,1.7994900276430137e-05
66,330,37,65,325,37,1.867323513593533e-07
66,330,37,2,10,37,1.5617392987277157e-05
66,330,37,29,145,37,1.869659908781962e-05
67,335,37,1,5,37,5.273921804382908e-06
67,335,37,28,140,37,9.166208468469605e-06
67,335,37,64,320,37,1.0280495204573192e-05
68,340,37,0,0,37,8.035486606772224e-06
68,340,37,71,355,37,1.9221947264225214e-05
68,340,37,62,310,37,2.296433370030382e-05
69,345,37,70,350,37,5.907417496731071e-06
69,345,37,32,160,37,2.2115997882710126e-05
69,345,37,35,175,37,2.865664883544561e-05
70,350,37,69,345,37,5.907417496731071e-06
70,350,37,32,160,37,2.611742984270915e-05
70,350,37,36,180,37,2.9280495536521123e-05
71,355,37,68,340,37,1.9221947264225214e-05
71,355,37,26,130,37,3.827432529968089e-05
71,355,37,70,350,37,3.939819859377636e-05
