run,mode,fold,aug,select,pitch_band_deg,n,pitch_mae_deg,pitch_hit@10
image_only_fold4_aug-standard,image_only,4,standard,best,"[0,30)",84,66.698,0.0
image_only_fold4_aug-standard,image_only,4,standard,best,"[30,60)",84,89.406,0.0
image_only_fold4_aug-standard,image_only,4,standard,best,"[60,90)",84,117.655,0.0
image_only_fold4_aug-standard,image_only,4,standard,best,"[90,120)",14,151.348,0.0
joint_fold0_aug-none,joint,0,none,best,"[-90,-60)",90,20.729,0.222
joint_fold0_aug-none,joint,0,none,best,"[-60,-30)",90,9.196,0.6
joint_fold0_aug-none,joint,0,none,best,"[-30,0)",90,21.032,0.067
joint_fold0_aug-none,joint,0,none,best,"[0,30)",90,15.117,0.378
joint_fold0_aug-none,joint,0,none,best,"[30,60)",90,10.189,0.6
joint_fold0_aug-none,joint,0,none,best,"[60,90)",90,10.845,0.567
joint_fold0_aug-none,joint,0,none,best,"[90,120)",15,9.891,0.667
joint_fold0_aug-standard,joint,0,standard,best,"[-90,-60)",90,12.5,0.5
joint_fold0_aug-standard,joint,0,standard,best,"[-60,-30)",90,88.282,0.0
joint_fold0_aug-standard,joint,0,standard,best,"[-30,0)",90,90.754,0.0
joint_fold0_aug-standard,joint,0,standard,best,"[0,30)",90,78.462,0.0
joint_fold0_aug-standard,joint,0,standard,best,"[30,60)",90,51.389,0.0
joint_fold0_aug-standard,joint,0,standard,best,"[60,90)",90,104.278,0.111
joint_fold0_aug-standard,joint,0,standard,best,"[90,120)",15,12.0,0.933
joint_fold1_aug-none,joint,1,none,best,"[-90,-60)",90,155.5,0.0
joint_fold1_aug-none,joint,1,none,best,"[-60,-30)",90,137.5,0.0
joint_fold1_aug-none,joint,1,none,best,"[-30,0)",90,107.5,0.0
joint_fold1_aug-none,joint,1,none,best,"[0,30)",90,76.278,0.0
joint_fold1_aug-none,joint,1,none,best,"[30,60)",90,47.5,0.0
joint_fold1_aug-none,joint,1,none,best,"[60,90)",90,17.5,0.333
joint_fold1_aug-none,joint,1,none,best,"[90,120)",15,0.0,1.0
joint_fold1_aug-standard,joint,1,standard,best,"[-90,-60)",90,62.153,0.3
joint_fold1_aug-standard,joint,1,standard,best,"[-60,-30)",90,67.601,0.0
joint_fold1_aug-standard,joint,1,standard,best,"[-30,0)",90,79.654,0.0
joint_fold1_aug-standard,joint,1,standard,best,"[0,30)",90,64.949,0.011
joint_fold1_aug-standard,joint,1,standard,best,"[30,60)",90,49.208,0.044
joint_fold1_aug-standard,joint,1,standard,best,"[60,90)",90,74.276,0.211
joint_fold1_aug-standard,joint,1,standard,best,"[90,120)",15,18.934,0.733
joint_fold2_aug-none,joint,2,none,best,"[-90,-60)",84,29.176,0.131
joint_fold2_aug-none,joint,2,none,best,"[-60,-30)",84,7.402,0.679
joint_fold2_aug-none,joint,2,none,best,"[-30,0)",84,21.619,0.0
joint_fold2_aug-none,joint,2,none,best,"[0,30)",84,7.921,0.702
joint_fold2_aug-none,joint,2,none,best,"[30,60)",84,7.284,0.702
joint_fold2_aug-none,joint,2,none,best,"[60,90)",84,8.147,0.714
joint_fold2_aug-none,joint,2,none,best,"[90,120)",14,14.799,0.429
joint_fold2_aug-standard,joint,2,standard,best,"[-90,-60)",84,16.114,0.417
joint_fold2_aug-standard,joint,2,standard,best,"[-60,-30)",84,42.5,0.0
joint_fold2_aug-standard,joint,2,standard,best,"[-30,0)",84,72.5,0.0
joint_fold2_aug-standard,joint,2,standard,best,"[0,30)",84,91.322,0.0
joint_fold2_aug-standard,joint,2,standard,best,"[30,60)",84,91.751,0.0
joint_fold2_aug-standard,joint,2,standard,best,"[60,90)",84,94.78,0.19
joint_fold2_aug-standard,joint,2,standard,best,"[90,120)",14,80.432,0.5
joint_fold3_aug-none,joint,3,none,best,"[-90,-60)",84,19.882,0.44
joint_fold3_aug-none,joint,3,none,best,"[-60,-30)",84,44.212,0.012
joint_fold3_aug-none,joint,3,none,best,"[-30,0)",84,34.365,0.107
joint_fold3_aug-none,joint,3,none,best,"[0,30)",84,74.374,0.036
joint_fold3_aug-none,joint,3,none,best,"[30,60)",84,120.13,0.012
joint_fold3_aug-none,joint,3,none,best,"[60,90)",84,86.548,0.214
joint_fold3_aug-none,joint,3,none,best,"[90,120)",14,128.571,0.286
joint_fold3_aug-standard,joint,3,standard,best,"[-90,-60)",84,12.327,0.476
joint_fold3_aug-standard,joint,3,standard,best,"[-60,-30)",84,40.746,0.0
joint_fold3_aug-standard,joint,3,standard,best,"[-30,0)",84,58.11,0.0
joint_fold3_aug-standard,joint,3,standard,best,"[0,30)",84,87.23,0.0
joint_fold3_aug-standard,joint,3,standard,best,"[30,60)",84,123.454,0.0
joint_fold3_aug-standard,joint,3,standard,best,"[60,90)",84,137.11,0.0
joint_fold3_aug-standard,joint,3,standard,best,"[90,120)",14,156.174,0.0
joint_fold4_aug-none,joint,4,none,best,"[-90,-60)",84,12.5,0.5
joint_fold4_aug-none,joint,4,none,best,"[-60,-30)",84,40.151,0.0
joint_fold4_aug-none,joint,4,none,best,"[-30,0)",84,41.739,0.036
joint_fold4_aug-none,joint,4,none,best,"[0,30)",84,87.887,0.0
joint_fold4_aug-none,joint,4,none,best,"[30,60)",84,70.014,0.107
joint_fold4_aug-none,joint,4,none,best,"[60,90)",84,151.802,0.0
joint_fold4_aug-none,joint,4,none,best,"[90,120)",14,180.0,0.0
joint_fold4_aug-standard,joint,4,standard,best,"[-90,-60)",84,28.753,0.155
joint_fold4_aug-standard,joint,4,standard,best,"[-60,-30)",84,15.86,0.464
joint_fold4_aug-standard,joint,4,standard,best,"[-30,0)",84,23.408,0.179
joint_fold4_aug-standard,joint,4,standard,best,"[0,30)",84,15.7,0.167
joint_fold4_aug-standard,joint,4,standard,best,"[30,60)",84,5.825,0.845
joint_fold4_aug-standard,joint,4,standard,best,"[60,90)",84,16.789,0.298
joint_fold4_aug-standard,joint,4,standard,best,"[90,120)",14,32.459,0.0
ocs_only_fold0_aug-none,ocs_only,0,none,best,"[-90,-60)",90,70.532,0.0
ocs_only_fold0_aug-none,ocs_only,0,none,best,"[-60,-30)",90,40.527,0.0
ocs_only_fold0_aug-none,ocs_only,0,none,best,"[-30,0)",90,11.179,0.5
ocs_only_fold0_aug-none,ocs_only,0,none,best,"[0,30)",90,19.471,0.167
ocs_only_fold0_aug-none,ocs_only,0,none,best,"[30,60)",90,49.472,0.0
ocs_only_fold0_aug-none,ocs_only,0,none,best,"[60,90)",90,79.474,0.0
ocs_only_fold0_aug-none,ocs_only,0,none,best,"[90,120)",15,96.972,0.0
ocs_only_fold1_aug-none,ocs_only,1,none,best,"[-90,-60)",90,76.928,0.0
ocs_only_fold1_aug-none,ocs_only,1,none,best,"[-60,-30)",90,46.909,0.0
ocs_only_fold1_aug-none,ocs_only,1,none,best,"[-30,0)",90,16.912,0.333
ocs_only_fold1_aug-none,ocs_only,1,none,best,"[0,30)",90,13.074,0.333
ocs_only_fold1_aug-none,ocs_only,1,none,best,"[30,60)",90,43.238,0.0
ocs_only_fold1_aug-none,ocs_only,1,none,best,"[60,90)",90,73.525,0.0
ocs_only_fold1_aug-none,ocs_only,1,none,best,"[90,120)",15,91.125,0.0
ocs_only_fold2_aug-none,ocs_only,2,none,best,"[-90,-60)",84,78.307,0.0
ocs_only_fold2_aug-none,ocs_only,2,none,best,"[-60,-30)",84,47.26,0.0
ocs_only_fold2_aug-none,ocs_only,2,none,best,"[-30,0)",84,18.682,0.238
ocs_only_fold2_aug-none,ocs_only,2,none,best,"[0,30)",84,12.027,0.452
ocs_only_fold2_aug-none,ocs_only,2,none,best,"[30,60)",84,48.658,0.0
ocs_only_fold2_aug-none,ocs_only,2,none,best,"[60,90)",84,92.585,0.0
ocs_only_fold2_aug-none,ocs_only,2,none,best,"[90,120)",14,116.019,0.0
ocs_only_fold3_aug-none,ocs_only,3,none,best,"[-90,-60)",84,74.713,0.0
ocs_only_fold3_aug-none,ocs_only,3,none,best,"[-60,-30)",84,44.584,0.0
