yaw,pitch,label,part,ocs_fc,ocs_ad,ocs_B_diff,ocs_B_full,fc_faces,ad_subdiv,ad_leaf,B_pixels,ad_n_visible,ad_n_checked,ratio_ad_fc,ratio_ad_Bdiff,ratio_ad_Bfull
0.0,0.0,正照,jinshuzhuti,0.039486474241613,0.040040531482611136,0.012688227172538393,0.013731872942343019,160063,418592,1415839,1389,160063,160063,1.0140315703450231,3.1557230918179306,2.9158827532654965
0.0,0.0,正照,taiyangnengban,0.0023604685835638497,0.0019378227861089011,0.0005683657984977404,0.0005784360002276232,7218,3824,18690,65,7218,7218,0.8209483488160493,3.409464100814654,3.3501075060098935
0.0,0.0,正照,yinshenban,0.00043859328507752174,0.0003207696558343406,0.00019218966982393465,0.00021328215544985988,1206,1858,6780,32,1206,1206,0.7313601615620821,1.6690265201464696,1.5039685582592013
90.0,-40.0,斜射,jinshuzhuti,0.04907388638468853,0.04770294402955988,0.023318372151076266,0.023670834496719376,180756,285434,1037058,1339,180756,180756,0.9720637093141171,2.045723591702697,2.0152624545691955
90.0,-40.0,斜射,taiyangnengban,0.01915400792172802,0.019425562729560114,0.0002693153335468746,0.0002693159953673993,7081,20684,69133,46,7081,7081,1.0141774405096724,72.12943456923175,72.12925731744924
90.0,-40.0,斜射,yinshenban,0.0022024481996619333,0.0023754115897342545,8.045507595942347e-05,8.750117878191148e-05,2071,6683,22120,10,2071,2071,1.0785323305668983,29.524695134614802,27.14719530413123
150.0,-80.0,强镜面/阴影,jinshuzhuti,0.04509629246533349,0.04819548266304173,0.019975812620034717,0.16584409988055848,153893,368576,1259621,1081,153893,153893,1.0687238357807498,2.4126919680205714,0.2906071587578472
150.0,-80.0,强镜面/阴影,taiyangnengban,0.03120077332963767,0.03180214838002324,0.0015377475814578611,0.004631374581226076,6672,18205,61287,70,6672,6672,1.0192743636201582,20.680993918308243,6.866675934384079
150.0,-80.0,强镜面/阴影,yinshenban,0.0003300246853036035,0.0001466101872301767,0.00037660755754277724,0.0006596178417043935,952,5021,16015,260,952,952,0.4442400637252449,0.38929167589400776,0.22226534511460316
