key,ocs_image,ocs_module_a,ocs_module_a_no_occ,occlusion_ratio_a,rel_err,abs_err,obj_pixels,rad_max,rad_mean_obj,dt_sec,px_jinshuzhuti,px_taiyangnengban,px_yinshenban
yaw000.00_pitch+00.00,0.0024802509615582235,0.011983094832582588,0.04233970891258464,0.7169773921374114,0.7930208350839129,0.009502843871024364,5949,0.6452698761040637,0.002603236258827188,0.018090300000000004,5638,247,64
yaw000.00_pitch+05.00,0.001837545322473534,0.012279555932468695,0.04310100793541366,0.7150981723937997,0.8503573474009078,0.010442010609995162,5995,0.6643423636959105,0.0019138627912146365,0.018017400000000017,5660,258,77
yaw000.00_pitch+10.00,0.0033932263587092416,0.013581175887842634,0.043766860508682795,0.6896927097352963,0.7501522411069919,0.010187949529133392,6039,9.976287390039584,0.0035084050644340354,0.01846730000000002,5703,259,77
yaw000.00_pitch+15.00,0.006661451830158515,0.014121756263137893,0.043731281766004354,0.6770788393832123,0.5282844636295739,0.007460304432979377,6062,15.532943974978664,0.006861433943738228,0.018461800000000028,5736,249,77
yaw000.00_pitch+20.00,0.001863261248305223,0.014360525440618247,0.04296549627398937,0.6657660987076301,0.870251178760141,0.012497264192313024,6076,0.9305181468573215,0.001914775726879058,0.01802799999999999,5751,247,78
yaw000.00_pitch+25.00,0.00987675088450468,0.013262060305301814,0.042440168721064556,0.6875116026878709,0.25526270751790947,0.0033853094207971345,6097,44.80051621825505,0.010114858969587992,0.01836129999999997,5775,246,76
yaw000.00_pitch+30.00,0.012870646258749948,0.012683873837925906,0.04260392730883418,0.702283929226031,0.014725187526351467,0.00018677242082404226,6099,52.1836271860059,0.013176608658695283,0.018943700000000008,5776,250,73
yaw000.00_pitch+35.00,0.0025217195612479894,0.011594727318792837,0.04369153249973393,0.7346230114756573,0.7825115251170449,0.009073007757544847,6098,4.401955634262335,0.0025820895151523497,0.018942999999999988,5798,232,68
yaw000.00_pitch+40.00,0.001833573105524582,0.010839955787742064,0.045415314845185226,0.7613149699678614,0.83085049963045,0.009006382682217482,6070,0.43662614615932427,0.0018861293189383677,0.017743300000000017,5775,235,60
yaw000.00_pitch+45.00,0.0016587162950711875,0.010730147151679898,0.04748638749450332,0.7740374090801929,0.8454153264047735,0.009071430856608711,6045,0.11127445866098765,0.0017133170345305523,0.018693700000000035,5751,236,58
