seed_record_id,category,yaw,pitch,roll,label,camera_exr_exists,sun_exr_exists,source
yaw145_pitch+015,bright-seed,145,15,-60,yaw145_pitch+015_roll-060,True,True,19_pack
yaw145_pitch+015,bright-seed,145,15,-45,yaw145_pitch+015_roll-045,True,True,19_pack
yaw145_pitch+015,bright-seed,145,15,-30,yaw145_pitch+015_roll-030,True,True,19_pack
yaw145_pitch+015,bright-seed,145,15,-15,yaw145_pitch+015_roll-015,True,True,19_pack
yaw145_pitch+015,bright-seed,145,15,15,yaw145_pitch+015_roll+015,True,True,19_pack
yaw145_pitch+015,bright-seed,145,15,30,yaw145_pitch+015_roll+030,True,True,19_pack
yaw145_pitch+015,bright-seed,145,15,45,yaw145_pitch+015_roll+045,True,True,19_pack
yaw145_pitch+015,bright-seed,145,15,60,yaw145_pitch+015_roll+060,True,True,19_pack
yaw150_pitch+015,bright-seed,150,15,-60,yaw150_pitch+015_roll-060,True,True,19_pack
yaw150_pitch+015,bright-seed,150,15,-45,yaw150_pitch+015_roll-045,True,True,19_pack
yaw150_pitch+015,bright-seed,150,15,-30,yaw150_pitch+015_roll-030,True,True,19_pack
yaw150_pitch+015,bright-seed,150,15,-15,yaw150_pitch+015_roll-015,True,True,19_pack
yaw150_pitch+015,bright-seed,150,15,15,yaw150_pitch+015_roll+015,True,True,19_pack
yaw150_pitch+015,bright-seed,150,15,30,yaw150_pitch+015_roll+030,True,True,19_pack
yaw150_pitch+015,bright-seed,150,15,45,yaw150_pitch+015_roll+045,True,True,19_pack
yaw150_pitch+015,bright-seed,150,15,60,yaw150_pitch+015_roll+060,True,True,19_pack
yaw240_pitch+030,high-info-seed,240,30,-60,yaw240_pitch+030_roll-060,True,True,19_pack
yaw240_pitch+030,high-info-seed,240,30,-45,yaw240_pitch+030_roll-045,True,True,19_pack
yaw240_pitch+030,high-info-seed,240,30,-30,yaw240_pitch+030_roll-030,True,True,19_pack
yaw240_pitch+030,high-info-seed,240,30,-15,yaw240_pitch+030_roll-015,True,True,19_pack
yaw240_pitch+030,high-info-seed,240,30,15,yaw240_pitch+030_roll+015,True,True,19_pack
yaw240_pitch+030,high-info-seed,240,30,30,yaw240_pitch+030_roll+030,True,True,19_pack
yaw240_pitch+030,high-info-seed,240,30,45,yaw240_pitch+030_roll+045,True,True,19_pack
yaw240_pitch+030,high-info-seed,240,30,60,yaw240_pitch+030_roll+060,True,True,19_pack
yaw240_pitch+020,high-info-seed,240,20,-60,yaw240_pitch+020_roll-060,True,True,19_pack
yaw240_pitch+020,high-info-seed,240,20,-45,yaw240_pitch+020_roll-045,True,True,19_pack
yaw240_pitch+020,high-info-seed,240,20,-30,yaw240_pitch+020_roll-030,True,True,19_pack
yaw240_pitch+020,high-info-seed,240,20,-15,yaw240_pitch+020_roll-015,True,True,19_pack
yaw240_pitch+020,high-info-seed,240,20,15,yaw240_pitch+020_roll+015,True,True,19_pack
yaw240_pitch+020,high-info-seed,240,20,30,yaw240_pitch+020_roll+030,True,True,19_pack
yaw240_pitch+020,high-info-seed,240,20,45,yaw240_pitch+020_roll+045,True,True,19_pack
yaw240_pitch+020,high-info-seed,240,20,60,yaw240_pitch+020_roll+060,True,True,19_pack
yaw285_pitch-085,roll-sensitive-seed,285,-85,-60,yaw285_pitch-085_roll-060,True,True,19_pack
yaw285_pitch-085,roll-sensitive-seed,285,-85,-45,yaw285_pitch-085_roll-045,True,True,19_pack
yaw285_pitch-085,roll-sensitive-seed,285,-85,-30,yaw285_pitch-085_roll-030,True,True,19_pack
yaw285_pitch-085,roll-sensitive-seed,285,-85,-15,yaw285_pitch-085_roll-015,True,True,19_pack
yaw285_pitch-085,roll-sensitive-seed,285,-85,15,yaw285_pitch-085_roll+015,True,True,19_pack
yaw285_pitch-085,roll-sensitive-seed,285,-85,30,yaw285_pitch-085_roll+030,True,True,19_pack
yaw285_pitch-085,roll-sensitive-seed,285,-85,45,yaw285_pitch-085_roll+045,True,True,19_pack
yaw285_pitch-085,roll-sensitive-seed,285,-85,60,yaw285_pitch-085_roll+060,True,True,19_pack
yaw150_pitch+085,roll-sensitive-seed,150,85,-60,yaw150_pitch+085_roll-060,True,True,19_pack
yaw150_pitch+085,roll-sensitive-seed,150,85,-45,yaw150_pitch+085_roll-045,True,True,19_pack
yaw150_pitch+085,roll-sensitive-seed,150,85,-30,yaw150_pitch+085_roll-030,True,True,19_pack
yaw150_pitch+085,roll-sensitive-seed,150,85,-15,yaw150_pitch+085_roll-015,True,True,19_pack
yaw150_pitch+085,roll-sensitive-seed,150,85,15,yaw150_pitch+085_roll+015,True,True,19_pack
yaw150_pitch+085,roll-sensitive-seed,150,85,30,yaw150_pitch+085_roll+030,True,True,19_pack
yaw150_pitch+085,roll-sensitive-seed,150,85,45,yaw150_pitch+085_roll+045,True,True,19_pack
yaw150_pitch+085,roll-sensitive-seed,150,85,60,yaw150_pitch+085_roll+060,True,True,19_pack
yaw065_pitch+070,low-info-seed,65,70,-60,yaw065_pitch+070_roll-060,True,True,19_pack
yaw065_pitch+070,low-info-seed,65,70,-45,yaw065_pitch+070_roll-045,True,True,19_pack
yaw065_pitch+070,low-info-seed,65,70,-30,yaw065_pitch+070_roll-030,True,True,19_pack
yaw065_pitch+070,low-info-seed,65,70,-15,yaw065_pitch+070_roll-015,True,True,19_pack
yaw065_pitch+070,low-info-seed,65,70,15,yaw065_pitch+070_roll+015,True,True,19_pack
yaw065_pitch+070,low-info-seed,65,70,30,yaw065_pitch+070_roll+030,True,True,19_pack
yaw065_pitch+070,low-info-seed,65,70,45,yaw065_pitch+070_roll+045,True,True,19_pack
yaw065_pitch+070,low-info-seed,65,70,60,yaw065_pitch+070_roll+060,True,True,19_pack
yaw065_pitch+075,ocs-hard-seed,65,75,-60,yaw065_pitch+075_roll-060,True,True,19_pack
yaw065_pitch+075,ocs-hard-seed,65,75,-45,yaw065_pitch+075_roll-045,True,True,19_pack
yaw065_pitch+075,ocs-hard-seed,65,75,-30,yaw065_pitch+075_roll-030,True,True,19_pack
yaw065_pitch+075,ocs-hard-seed,65,75,-15,yaw065_pitch+075_roll-015,True,True,19_pack
yaw065_pitch+075,ocs-hard-seed,65,75,15,yaw065_pitch+075_roll+015,True,True,19_pack
