geom_id,rank,pose_id,role,group,cluster,ocs_total,metal_pct,near_specular_metal
Hs0_vm,4,D1,top1_neighbor,top1_neighbor,core_top1_roll_neighborhood,0.16832937,94.08,0
Hs0_vm,5,E1_R4roll-15,R4_cluster_nsm1,R4_cluster,other,0.16748300,98.53,0
Hs0_vm,6,A_top1,top1,mandatory,core_top1_roll_neighborhood,0.16396582,93.92,0
Hs0_vm,7,B_R4,R4_robust,mandatory,control,0.16372579,98.31,0
Hs0_vm,8,E2_R4roll+15,R4_cluster_nsm1,R4_cluster,other,0.16223243,98.27,0
Hs0_vm,9,F2_edge,bright_edge_nsm0,bright_edge,core_top1_roll_neighborhood,0.15863952,93.81,0
Hs0_vm,10,F1_edge,bright_edge_nsm0,bright_edge,core_top1_roll_neighborhood,0.15678867,93.67,0
Hs0_vm,11,D4,top1_neighbor,top1_neighbor,core_top1_roll_neighborhood,0.15209978,93.44,0
Hs0_vm,12,F3_edge,bright_edge_nsm0,bright_edge,core_top1_roll_neighborhood,0.13616193,92.71,0
Hs0_vm,13,D6_roll175,top1_neighbor_roll175,top1_neighbor,primary_shift_target,0.13248277,92.77,0
Hs0_vm,14,C_R3,R3_negative,mandatory,control,0.13244369,99.26,0
Hsp_vp,1,A_top1,top1,mandatory,core_top1_roll_neighborhood,0.21039591,95.09,1
Hsp_vp,2,D3,top1_neighbor,top1_neighbor,core_top1_roll_neighborhood,0.20813724,95.00,1
Hsp_vp,3,D1,top1_neighbor,top1_neighbor,core_top1_roll_neighborhood,0.20773979,94.98,1
Hsp_vp,4,D2,top1_neighbor,top1_neighbor,core_top1_roll_neighborhood,0.20553603,94.86,1
Hsp_vp,5,F2_edge,bright_edge_nsm0,bright_edge,core_top1_roll_neighborhood,0.20542222,95.04,1
Hsp_vp,6,B_R4,R4_robust,mandatory,control,0.20257012,98.81,1
Hsp_vp,7,E1_R4roll-15,R4_cluster_nsm1,R4_cluster,other,0.20215040,98.88,1
Hsp_vp,8,D5_roll125,top1_neighbor_roll125,top1_neighbor,primary_shift_target,0.20210325,94.88,1
Hsp_vp,9,D4,top1_neighbor,top1_neighbor,core_top1_roll_neighborhood,0.20122614,94.82,1
Hsp_vp,10,E2_R4roll+15,R4_cluster_nsm1,R4_cluster,other,0.19995804,98.71,1
Hsp_vp,11,D6_roll175,top1_neighbor_roll175,top1_neighbor,primary_shift_target,0.19882445,94.76,0
Hsp_vp,12,F3_edge,bright_edge_nsm0,bright_edge,core_top1_roll_neighborhood,0.19420313,94.72,0
Hsp_vp,13,F1_edge,bright_edge_nsm0,bright_edge,core_top1_roll_neighborhood,0.19289215,94.68,0
Hsp_vp,14,C_R3,R3_negative,mandatory,control,0.06525266,98.26,0
Hsp_vm,1,C_R3,R3_negative,mandatory,control,0.22555675,99.51,0
Hsp_vm,2,D5_roll125,top1_neighbor_roll125,top1_neighbor,primary_shift_target,0.13269323,92.72,0
Hsp_vm,3,D3,top1_neighbor,top1_neighbor,core_top1_roll_neighborhood,0.12155909,92.11,0
Hsp_vm,4,D2,top1_neighbor,top1_neighbor,core_top1_roll_neighborhood,0.10922177,91.35,0
Hsp_vm,5,D1,top1_neighbor,top1_neighbor,core_top1_roll_neighborhood,0.10436385,90.90,0
Hsp_vm,6,E1_R4roll-15,R4_cluster_nsm1,R4_cluster,other,0.10401695,97.52,0
Hsp_vm,7,B_R4,R4_robust,mandatory,control,0.10096916,97.38,0
Hsp_vm,8,F2_edge,bright_edge_nsm0,bright_edge,core_top1_roll_neighborhood,0.10090395,90.70,0
Hsp_vm,9,A_top1,top1,mandatory,core_top1_roll_neighborhood,0.10038705,90.57,0
Hsp_vm,10,E2_R4roll+15,R4_cluster_nsm1,R4_cluster,other,0.09959482,97.38,0
Hsp_vm,11,F1_edge,bright_edge_nsm0,bright_edge,core_top1_roll_neighborhood,0.09472298,90.08,0
Hsp_vm,12,D4,top1_neighbor,top1_neighbor,core_top1_roll_neighborhood,0.08972660,89.37,0
Hsp_vm,13,F3_edge,bright_edge_nsm0,bright_edge,core_top1_roll_neighborhood,0.07814624,87.60,0
Hsp_vm,14,D6_roll175,top1_neighbor_roll175,top1_neighbor,primary_shift_target,0.07477579,88.00,0
Hsm_vp,1,D6_roll175,top1_neighbor_roll175,top1_neighbor,primary_shift_target,0.14991522,93.20,0
Hsm_vp,2,F3_edge,bright_edge_nsm0,bright_edge,core_top1_roll_neighborhood,0.14183041,92.90,0
Hsm_vp,3,D4,top1_neighbor,top1_neighbor,core_top1_roll_neighborhood,0.13081846,92.34,0
Hsm_vp,4,A_top1,top1,mandatory,core_top1_roll_neighborhood,0.12173121,91.95,0
Hsm_vp,5,F1_edge,bright_edge_nsm0,bright_edge,core_top1_roll_neighborhood,0.11890887,91.75,0
Hsm_vp,6,D1,top1_neighbor,top1_neighbor,core_top1_roll_neighborhood,0.11584660,91.50,0
Hsm_vp,7,D2,top1_neighbor,top1_neighbor,core_top1_roll_neighborhood,0.11093026,91.06,0
Hsm_vp,8,F2_edge,bright_edge_nsm0,bright_edge,core_top1_roll_neighborhood,0.10898403,91.22,0
Hsm_vp,9,E1_R4roll-15,R4_cluster_nsm1,R4_cluster,other,0.10309908,97.88,0
Hsm_vp,10,B_R4,R4_robust,mandatory,control,0.10252747,97.69,0
Hsm_vp,11,E2_R4roll+15,R4_cluster_nsm1,R4_cluster,other,0.10050481,97.69,0
Hsm_vp,12,D3,top1_neighbor,top1_neighbor,core_top1_roll_neighborhood,0.09758520,90.15,0
Hsm_vp,13,D5_roll125,top1_neighbor_roll125,top1_neighbor,primary_shift_target,0.08454915,88.87,0
Hsm_vp,14,C_R3,R3_negative,mandatory,control,0.03296315,97.68,0
Hsm_vm,1,D2,top1_neighbor,top1_neighbor,core_top1_roll_neighborhood,0.20011107,95.04,1
Hsm_vm,2,D1,top1_neighbor,top1_neighbor,core_top1_roll_neighborhood,0.19828415,94.95,1
Hsm_vm,3,A_top1,top1,mandatory,core_top1_roll_neighborhood,0.19664608,94.89,1
Hsm_vm,4,F1_edge,bright_edge_nsm0,bright_edge,core_top1_roll_neighborhood,0.19481207,94.85,1
