geom_id,sun_offset,view_offset,pose_id,role,group,label,ocs_total,dominant_part,metal_pct,dark_pct,avgN_vs_H_deg,reflect_vs_det_deg,pct_NoH_ge_0.99,mean_NoH_pow_n,near_specular_metal,strong_surface_highlight,dark_panel_increment
Hsm_v0,-7,0,C_R3,R3_negative,mandatory,yaw055_pitch+060_roll+000,0.03953715,jinshuzhuti,97.91,0.000,14.986,26.372,0.02,2.3651e-02,0,0,0
Hsm_v0,-7,0,D1,top1_neighbor,top1_neighbor,yaw2450_pitchp0300_roll+015,0.17663114,jinshuzhuti,94.32,4.840,3.847,6.572,80.28,6.7471e-01,0,1,1
Hsm_v0,-7,0,D2,top1_neighbor,top1_neighbor,yaw2450_pitchp0325_roll+015,0.17271975,jinshuzhuti,94.17,4.968,4.115,7.113,81.09,6.5888e-01,0,1,1
Hsm_v0,-7,0,D3,top1_neighbor,top1_neighbor,yaw2475_pitchp0375_roll+015,0.15753455,jinshuzhuti,93.79,5.369,5.048,8.576,79.93,5.8509e-01,0,1,1
Hsm_v0,-7,0,D4,top1_neighbor,top1_neighbor,yaw2425_pitchp0225_roll+015,0.18842083,jinshuzhuti,94.55,4.598,2.940,5.115,81.64,7.3747e-01,0,1,1
Hsm_v0,-7,0,D5_roll125,top1_neighbor_roll125,top1_neighbor,yaw2450_pitchp0275_roll+0125,0.14114070,jinshuzhuti,92.93,5.973,6.045,10.276,80.24,5.1104e-01,0,1,1
Hsm_v0,-7,0,D6_roll175,top1_neighbor_roll175,top1_neighbor,yaw2475_pitchp0300_roll+0175,0.19493062,jinshuzhuti,94.78,4.436,2.353,4.143,80.86,7.5837e-01,0,1,1
Hsm_v0,-7,0,E1_R4roll-15,R4_cluster_nsm1,R4_cluster,yaw1475_pitchp0125_roll-015,0.16405573,jinshuzhuti,98.52,0.580,4.147,7.070,81.53,6.4750e-01,0,1,0
Hsm_v0,-7,0,E2_R4roll+15,R4_cluster_nsm1,R4_cluster,yaw1475_pitchp0125_roll+015,0.16009908,jinshuzhuti,98.31,0.597,4.231,7.209,84.31,6.7699e-01,0,1,0
Hsm_v0,-7,0,F1_edge,bright_edge_nsm0,bright_edge,yaw2425_pitchp0275_roll+015,0.17901891,jinshuzhuti,94.28,4.804,3.672,6.677,81.06,6.8765e-01,0,1,1
Hsm_v0,-7,0,F2_edge,bright_edge_nsm0,bright_edge,yaw2475_pitchp0300_roll+015,0.16262884,jinshuzhuti,93.92,5.239,4.782,8.294,80.85,6.1197e-01,0,1,1
Hsm_v0,-7,0,F3_edge,bright_edge_nsm0,bright_edge,yaw240_pitch+015_roll+015,0.19447424,jinshuzhuti,94.70,4.467,2.399,4.330,80.88,7.5858e-01,0,1,1
Hs0_vp,0,7,A_top1,top1,mandatory,yaw2450_pitchp0275_roll+015,0.18751159,jinshuzhuti,94.52,4.708,3.454,5.943,79.74,6.9048e-01,0,1,1
Hs0_vp,0,7,B_R4,R4_robust,mandatory,yaw1475_pitchp0125_roll+000,0.16894559,jinshuzhuti,98.55,0.564,4.134,7.136,80.84,6.4382e-01,0,1,0
Hs0_vp,0,7,C_R3,R3_negative,mandatory,yaw055_pitch+060_roll+000,0.03979351,jinshuzhuti,97.68,0.000,15.815,27.428,0.27,2.6533e-02,0,0,0
Hs0_vp,0,7,D1,top1_neighbor,top1_neighbor,yaw2450_pitchp0300_roll+015,0.18114528,jinshuzhuti,94.29,4.874,3.835,6.645,79.81,6.6858e-01,0,1,1
Hs0_vp,0,7,D2,top1_neighbor,top1_neighbor,yaw2450_pitchp0325_roll+015,0.17550508,jinshuzhuti,94.05,5.030,4.224,7.389,79.97,6.4120e-01,0,1,1
Hs0_vp,0,7,D3,top1_neighbor,top1_neighbor,yaw2475_pitchp0375_roll+015,0.16446527,jinshuzhuti,93.79,5.328,4.865,8.365,79.77,5.9582e-01,0,1,1
Hs0_vp,0,7,D4,top1_neighbor,top1_neighbor,yaw2425_pitchp0225_roll+015,0.19031631,jinshuzhuti,94.52,4.649,3.150,5.604,80.75,7.1661e-01,0,1,1
Hs0_vp,0,7,D5_roll125,top1_neighbor_roll125,top1_neighbor,yaw2450_pitchp0275_roll+0125,0.14897217,jinshuzhuti,93.24,5.792,5.727,9.874,79.30,5.2823e-01,0,1,1
Hs0_vp,0,7,D6_roll175,top1_neighbor_roll175,top1_neighbor,yaw2475_pitchp0300_roll+0175,0.20491531,jinshuzhuti,94.86,4.367,1.803,3.136,79.93,7.6884e-01,1,1,1
Hs0_vp,0,7,E1_R4roll-15,R4_cluster_nsm1,R4_cluster,yaw1475_pitchp0125_roll-015,0.16874390,jinshuzhuti,98.68,0.570,4.121,7.116,83.06,6.6339e-01,0,1,0
Hs0_vp,0,7,E2_R4roll+15,R4_cluster_nsm1,R4_cluster,yaw1475_pitchp0125_roll+015,0.16651725,jinshuzhuti,98.49,0.585,4.155,7.172,83.04,6.5973e-01,0,1,0
Hs0_vp,0,7,F1_edge,bright_edge_nsm0,bright_edge,yaw2425_pitchp0275_roll+015,0.17654803,jinshuzhuti,94.20,4.970,4.159,7.617,80.75,6.5151e-01,0,1,1
Hs0_vp,0,7,F2_edge,bright_edge_nsm0,bright_edge,yaw2475_pitchp0300_roll+015,0.17492923,jinshuzhuti,94.23,4.982,4.217,7.422,80.08,6.4437e-01,0,1,1
Hs0_vp,0,7,F3_edge,bright_edge_nsm0,bright_edge,yaw240_pitch+015_roll+015,0.19504877,jinshuzhuti,94.70,4.548,2.882,5.340,81.31,7.3602e-01,0,1,1
Hs0_vm,0,-7,A_top1,top1,mandatory,yaw2450_pitchp0275_roll+015,0.16396582,jinshuzhuti,93.92,5.098,4.403,7.634,81.62,6.3520e-01,0,1,1
Hs0_vm,0,-7,B_R4,R4_robust,mandatory,yaw1475_pitchp0125_roll+000,0.16372579,jinshuzhuti,98.31,0.544,3.841,6.592,85.79,7.2090e-01,0,1,0
Hs0_vm,0,-7,C_R3,R3_negative,mandatory,yaw055_pitch+060_roll+000,0.13244369,jinshuzhuti,99.26,0.000,8.775,15.676,0.37,3.2677e-01,0,0,0
Hs0_vm,0,-7,D1,top1_neighbor,top1_neighbor,yaw2450_pitchp0300_roll+015,0.16832937,jinshuzhuti,94.08,5.001,4.099,7.000,80.98,6.5485e-01,0,1,1
Hs0_vm,0,-7,D2,top1_neighbor,top1_neighbor,yaw2450_pitchp0325_roll+015,0.17359084,jinshuzhuti,94.30,4.843,3.836,6.480,81.59,6.7753e-01,0,1,1
Hs0_vm,0,-7,D3,top1_neighbor,top1_neighbor,yaw2475_pitchp0375_roll+015,0.18111974,jinshuzhuti,94.50,4.699,3.094,5.467,80.73,7.1398e-01,0,1,1
Hs0_vm,0,-7,D4,top1_neighbor,top1_neighbor,yaw2425_pitchp0225_roll+015,0.15209978,jinshuzhuti,93.44,5.495,4.993,8.438,80.55,5.8515e-01,0,1,1
Hs0_vm,0,-7,D5_roll125,top1_neighbor_roll125,top1_neighbor,yaw2450_pitchp0275_roll+0125,0.18548740,jinshuzhuti,94.64,4.571,2.757,5.197,81.47,7.3872e-01,0,1,1
Hs0_vm,0,-7,D6_roll175,top1_neighbor_roll175,top1_neighbor,yaw2475_pitchp0300_roll+0175,0.13248277,jinshuzhuti,92.77,6.191,6.192,10.827,80.98,4.9225e-01,0,1,1
Hs0_vm,0,-7,E1_R4roll-15,R4_cluster_nsm1,R4_cluster,yaw1475_pitchp0125_roll-015,0.16748300,jinshuzhuti,98.53,0.545,3.787,6.490,82.23,6.9061e-01,0,1,0
Hs0_vm,0,-7,E2_R4roll+15,R4_cluster_nsm1,R4_cluster,yaw1475_pitchp0125_roll+015,0.16223243,jinshuzhuti,98.27,0.572,3.841,6.600,87.61,7.3575e-01,0,1,0
Hs0_vm,0,-7,F1_edge,bright_edge_nsm0,bright_edge,yaw2425_pitchp0275_roll+015,0.15678867,jinshuzhuti,93.67,5.323,4.818,8.135,81.47,6.0549e-01,0,1,1
Hs0_vm,0,-7,F2_edge,bright_edge_nsm0,bright_edge,yaw2475_pitchp0300_roll+015,0.15863952,jinshuzhuti,93.81,5.259,4.652,8.615,80.74,6.1302e-01,0,1,1
Hs0_vm,0,-7,F3_edge,bright_edge_nsm0,bright_edge,yaw240_pitch+015_roll+015,0.13616193,jinshuzhuti,92.71,6.090,5.727,9.647,79.09,5.1855e-01,0,1,1
Hsp_vp,7,7,A_top1,top1,mandatory,yaw2450_pitchp0275_roll+015,0.21039591,jinshuzhuti,95.09,4.208,0.656,1.221,79.93,7.9655e-01,1,1,1
Hsp_vp,7,7,B_R4,R4_robust,mandatory,yaw1475_pitchp0125_roll+000,0.20257012,jinshuzhuti,98.81,0.474,0.835,1.652,81.87,8.1534e-01,1,1,0
Hsp_vp,7,7,C_R3,R3_negative,mandatory,yaw055_pitch+060_roll+000,0.06525266,jinshuzhuti,98.26,0.000,12.599,21.724,0.25,1.0496e-01,0,0,0
Hsp_vp,7,7,D1,top1_neighbor,top1_neighbor,yaw2450_pitchp0300_roll+015,0.20773979,jinshuzhuti,94.98,4.271,1.007,2.012,80.54,7.9322e-01,1,1,1
Hsp_vp,7,7,D2,top1_neighbor,top1_neighbor,yaw2450_pitchp0325_roll+015,0.20553603,jinshuzhuti,94.86,4.326,1.523,3.037,80.75,7.8290e-01,1,1,1
Hsp_vp,7,7,D3,top1_neighbor,top1_neighbor,yaw2475_pitchp0375_roll+015,0.20813724,jinshuzhuti,95.00,4.271,0.933,1.602,80.02,7.9344e-01,1,1,1
Hsp_vp,7,7,D4,top1_neighbor,top1_neighbor,yaw2425_pitchp0225_roll+015,0.20122614,jinshuzhuti,94.82,4.385,1.960,3.793,80.62,7.6856e-01,1,1,1
Hsp_vp,7,7,D5_roll125,top1_neighbor_roll125,top1_neighbor,yaw2450_pitchp0275_roll+0125,0.20210325,jinshuzhuti,94.88,4.361,1.828,3.228,79.78,7.6770e-01,1,1,1
Hsp_vp,7,7,D6_roll175,top1_neighbor_roll175,top1_neighbor,yaw2475_pitchp0300_roll+0175,0.19882445,jinshuzhuti,94.76,4.452,2.240,3.836,79.81,7.5041e-01,0,1,1
Hsp_vp,7,7,E1_R4roll-15,R4_cluster_nsm1,R4_cluster,yaw1475_pitchp0125_roll-015,0.20215040,jinshuzhuti,98.88,0.479,0.856,1.694,82.41,8.2061e-01,1,1,0
Hsp_vp,7,7,E2_R4roll+15,R4_cluster_nsm1,R4_cluster,yaw1475_pitchp0125_roll+015,0.19995804,jinshuzhuti,98.71,0.491,0.817,1.617,82.52,8.2098e-01,1,1,0
Hsp_vp,7,7,F1_edge,bright_edge_nsm0,bright_edge,yaw2425_pitchp0275_roll+015,0.19289215,jinshuzhuti,94.68,4.551,2.845,5.676,80.69,7.2849e-01,0,1,1
Hsp_vp,7,7,F2_edge,bright_edge_nsm0,bright_edge,yaw2475_pitchp0300_roll+015,0.20542222,jinshuzhuti,95.04,4.274,1.371,2.735,80.41,7.8488e-01,1,1,1
Hsp_vp,7,7,F3_edge,bright_edge_nsm0,bright_edge,yaw240_pitch+015_roll+015,0.19420313,jinshuzhuti,94.72,4.529,2.809,5.374,81.72,7.3976e-01,0,1,1
Hsp_vm,7,-7,A_top1,top1,mandatory,yaw2450_pitchp0275_roll+015,0.10038705,jinshuzhuti,90.57,8.000,8.141,13.868,1.40,3.3386e-01,0,0,1
Hsp_vm,7,-7,B_R4,R4_robust,mandatory,yaw1475_pitchp0125_roll+000,0.10096916,jinshuzhuti,97.38,0.854,7.877,13.381,81.60,3.8425e-01,0,1,0
Hsp_vm,7,-7,C_R3,R3_negative,mandatory,yaw055_pitch+060_roll+000,0.22555675,jinshuzhuti,99.51,0.000,5.385,9.966,87.86,6.1123e-01,0,1,0
Hsp_vm,7,-7,D1,top1_neighbor,top1_neighbor,yaw2450_pitchp0300_roll+015,0.10436385,jinshuzhuti,90.90,7.764,7.917,13.433,1.31,3.5174e-01,0,0,1
Hsp_vm,7,-7,D2,top1_neighbor,top1_neighbor,yaw2450_pitchp0325_roll+015,0.10922177,jinshuzhuti,91.35,7.424,7.685,13.013,3.25,3.7326e-01,0,0,1
