region,category,yaw,pitch,roll,label,camera_exr_exists,sun_exr_exists,source,source_seed
R3_low_info,low-info/ocs-hard,65,75,15,yaw065_pitch+075_roll+015,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,65,75,30,yaw065_pitch+075_roll+030,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,65,75,45,yaw065_pitch+075_roll+045,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,65,75,60,yaw065_pitch+075_roll+060,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,65,80,-60,yaw065_pitch+080_roll-060,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,65,80,-45,yaw065_pitch+080_roll-045,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,65,80,-30,yaw065_pitch+080_roll-030,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,65,80,-15,yaw065_pitch+080_roll-015,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,65,80,15,yaw065_pitch+080_roll+015,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,65,80,30,yaw065_pitch+080_roll+030,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,65,80,45,yaw065_pitch+080_roll+045,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,65,80,60,yaw065_pitch+080_roll+060,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,60,-60,yaw070_pitch+060_roll-060,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,60,-45,yaw070_pitch+060_roll-045,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,60,-30,yaw070_pitch+060_roll-030,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,60,-15,yaw070_pitch+060_roll-015,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,60,15,yaw070_pitch+060_roll+015,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,60,30,yaw070_pitch+060_roll+030,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,60,45,yaw070_pitch+060_roll+045,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,60,60,yaw070_pitch+060_roll+060,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
