epoch,train_loss,grad_norm_mean,grad_finite,val_yaw_cmae_deg,val_yaw_hit@10,val_pitch_mae_deg,val_yaw_exact_sentinel
1,0.5899968753426762,3.0552528570596,True,163.534513001679,0.0,45.222073927780606,0.0
2,0.4392028132737693,1.9635538126019096,True,135.35796760062914,0.003861003861003861,57.16216216216216,0.0
3,0.3326920932632382,2.33082566030236,True,155.0,0.0,57.16216216216216,0.0
4,0.23883155771231246,1.4658370280481765,True,155.00000388834007,0.0,63.30241743662182,0.0
5,0.19260628748748262,1.1781661695487606,True,103.80570465441376,0.011583011583011582,84.19103279261056,0.0
6,0.1561992678601863,0.9935727713314917,True,155.0,0.0,52.90393435724914,0.0
7,0.13824357698529455,0.9984446652446272,True,40.08737512536951,0.06563706563706563,94.24710424710425,0.003861003861003861
8,0.12059162904397916,1.0271931899937652,True,142.35228228476979,0.0,57.162159525749765,0.0
9,0.15758889345294338,0.788984732211799,True,155.0,0.0,62.72835092286806,0.0
10,0.09480652149956105,0.6229943512540346,True,74.75726777890475,0.0,57.16206216996241,0.0
11,0.06944910910422519,0.6052782434267919,True,111.49545293977361,0.0,49.84538433128342,0.0
12,0.06373905115839788,0.5712004580510893,True,100.91791437215326,0.0,57.16216216216216,0.0
13,0.05621515934245061,0.7346166280702741,True,87.64393238671498,0.0,35.60146060666523,0.0
14,0.07490008144434225,0.6864684983540642,True,142.3356641084531,0.0,57.16215557849545,0.0
15,0.06763221102498346,0.7982404235810097,True,155.0,0.0,57.16216216216216,0.0
16,0.0646853355091002,0.5389884557120899,True,151.32641013892922,0.0,57.16252935991324,0.0
17,0.04165211373592837,0.46912540945637304,True,155.0000220928413,0.0,53.72354655284219,0.0
18,0.050996336422986906,0.5648199074705812,True,65.0389430219142,0.0,57.16216216216216,0.0
19,0.060310051760683624,0.5230924534109298,True,151.53565031957442,0.0,57.16216216216216,0.0
20,0.05001832049150588,0.6551423591149244,True,155.0,0.0,57.16216216216216,0.0
