method,degrade_level,geom,mode,select,record_id,yaw_true,yaw_err,q_deg_a010,covered_a010
neural,clean,G1,ocs_only,best,G1_yaw330_pitch-055,330.0,135.9917,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw325_pitch-050,325.0,141.6144,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw145_pitch-035,145.0,15.5562,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw095_pitch+005,95.0,80.1712,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw020_pitch+085,20.0,150.3136,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw095_pitch+050,95.0,68.9715,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw325_pitch+055,325.0,119.3873,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw145_pitch+035,145.0,31.6558,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw285_pitch+005,285.0,6.6424,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw040_pitch-005,40.0,26.1154,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw165_pitch-020,165.0,11.534,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw000_pitch+040,0.0,47.5357,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw240_pitch+020,240.0,178.6235,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw185_pitch+000,185.0,54.7486,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw295_pitch-050,295.0,18.0693,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw130_pitch+050,130.0,102.9554,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw040_pitch-090,40.0,26.2656,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw035_pitch+005,35.0,37.7531,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw095_pitch+040,95.0,43.7234,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw320_pitch-055,320.0,119.5229,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw200_pitch-030,200.0,6.906,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw100_pitch+075,100.0,115.2646,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw065_pitch+075,65.0,6.5069,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw130_pitch+055,130.0,113.128,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw320_pitch+075,320.0,97.7667,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw335_pitch-085,335.0,91.9378,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw305_pitch+065,305.0,33.3007,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw310_pitch+005,310.0,132.8957,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw350_pitch-040,350.0,91.4331,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw000_pitch+030,0.0,48.366,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw015_pitch-030,15.0,162.3638,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw025_pitch-065,25.0,124.5155,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw355_pitch-085,355.0,148.8058,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw270_pitch+035,270.0,86.1921,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw305_pitch+025,305.0,47.2782,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw145_pitch+000,145.0,87.2654,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw270_pitch-045,270.0,46.8447,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw180_pitch-005,180.0,90.9463,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw335_pitch-020,335.0,78.3822,160.8977,1
