method,degrade_level,geom,mode,select,alpha,stratum,val_n,test_n,q_deg,coverage,target,set_size_deg,fallback_pooled
neural,degraded-moderate,G1,ocs_only,best,0.2,270-360,66,84,132.4056,0.8452,0.8,264.8113,False
neural,degraded-moderate,G1,ocs_only,final,0.1,000-090,59,67,171.9733,0.9104,0.9,343.9465,False
neural,degraded-moderate,G1,ocs_only,final,0.1,090-180,64,76,175.6696,0.9737,0.9,351.3393,False
neural,degraded-moderate,G1,ocs_only,final,0.1,180-270,70,69,173.624,0.9565,0.9,347.248,False
neural,degraded-moderate,G1,ocs_only,final,0.1,270-360,66,84,144.6158,0.9643,0.9,289.2315,False
neural,degraded-moderate,G1,ocs_only,final,0.2,000-090,59,67,161.529,0.806,0.8,323.058,False
neural,degraded-moderate,G1,ocs_only,final,0.2,090-180,64,76,150.0084,0.7895,0.8,300.0167,False
neural,degraded-moderate,G1,ocs_only,final,0.2,180-270,70,69,164.086,0.8551,0.8,328.1721,False
neural,degraded-moderate,G1,ocs_only,final,0.2,270-360,66,84,113.9293,0.8214,0.8,227.8586,False
neural,degraded-moderate,G1,image_only,best,0.1,000-090,59,67,5.3417,0.8507,0.9,10.6835,False
neural,degraded-moderate,G1,image_only,best,0.1,090-180,64,76,10.0,0.8684,0.9,20.0,False
neural,degraded-moderate,G1,image_only,best,0.1,180-270,70,69,7.3457,0.9565,0.9,14.6914,False
neural,degraded-moderate,G1,image_only,best,0.1,270-360,66,84,10.0,0.9762,0.9,20.0,False
neural,degraded-moderate,G1,image_only,best,0.2,000-090,59,67,4.1441,0.791,0.8,8.2881,False
neural,degraded-moderate,G1,image_only,best,0.2,090-180,64,76,7.0075,0.8158,0.8,14.015,False
neural,degraded-moderate,G1,image_only,best,0.2,180-270,70,69,5.1721,0.8551,0.8,10.3442,False
neural,degraded-moderate,G1,image_only,best,0.2,270-360,66,84,7.9933,0.9167,0.8,15.9866,False
neural,degraded-moderate,G1,image_only,final,0.1,000-090,59,67,14.3265,0.9851,0.9,28.653,False
neural,degraded-moderate,G1,image_only,final,0.1,090-180,64,76,10.0,0.8553,0.9,20.0,False
neural,degraded-moderate,G1,image_only,final,0.1,180-270,70,69,8.0683,0.9565,0.9,16.1366,False
neural,degraded-moderate,G1,image_only,final,0.1,270-360,66,84,9.9784,0.9643,0.9,19.9568,False
neural,degraded-moderate,G1,image_only,final,0.2,000-090,59,67,10.7564,0.9104,0.8,21.5128,False
neural,degraded-moderate,G1,image_only,final,0.2,090-180,64,76,6.5251,0.7237,0.8,13.0502,False
neural,degraded-moderate,G1,image_only,final,0.2,180-270,70,69,5.1783,0.8116,0.8,10.3565,False
neural,degraded-moderate,G1,image_only,final,0.2,270-360,66,84,8.4186,0.9405,0.8,16.8373,False
neural,degraded-moderate,G1,joint,best,0.1,000-090,59,67,2.5838,0.7612,0.9,5.1676,False
neural,degraded-moderate,G1,joint,best,0.1,090-180,64,76,4.2655,0.8816,0.9,8.5311,False
neural,degraded-moderate,G1,joint,best,0.1,180-270,70,69,3.0792,0.913,0.9,6.1583,False
neural,degraded-moderate,G1,joint,best,0.1,270-360,66,84,4.2071,0.9286,0.9,8.4141,False
neural,degraded-moderate,G1,joint,best,0.2,000-090,59,67,2.1993,0.7164,0.8,4.3986,False
neural,degraded-moderate,G1,joint,best,0.2,090-180,64,76,3.3318,0.8026,0.8,6.6636,False
neural,degraded-moderate,G1,joint,best,0.2,180-270,70,69,2.2786,0.8261,0.8,4.5572,False
neural,degraded-moderate,G1,joint,best,0.2,270-360,66,84,3.0167,0.7738,0.8,6.0334,False
neural,degraded-moderate,G1,joint,final,0.1,000-090,59,67,3.7235,0.8955,0.9,7.4471,False
neural,degraded-moderate,G1,joint,final,0.1,090-180,64,76,5.7471,0.9211,0.9,11.4942,False
neural,degraded-moderate,G1,joint,final,0.1,180-270,70,69,4.1816,0.942,0.9,8.3633,False
neural,degraded-moderate,G1,joint,final,0.1,270-360,66,84,4.3527,0.9167,0.9,8.7053,False
neural,degraded-moderate,G1,joint,final,0.2,000-090,59,67,3.3434,0.8358,0.8,6.6867,False
neural,degraded-moderate,G1,joint,final,0.2,090-180,64,76,3.4368,0.8289,0.8,6.8736,False
neural,degraded-moderate,G1,joint,final,0.2,180-270,70,69,3.2153,0.8406,0.8,6.4307,False
neural,degraded-moderate,G1,joint,final,0.2,270-360,66,84,3.655,0.8452,0.8,7.31,False
neural,degraded-moderate,G3,ocs_only,best,0.1,000-090,59,67,172.2431,0.9851,0.9,344.4863,False
neural,degraded-moderate,G3,ocs_only,best,0.1,090-180,64,76,177.142,0.9737,0.9,354.2841,False
neural,degraded-moderate,G3,ocs_only,best,0.1,180-270,70,69,139.7126,0.913,0.9,279.4253,False
neural,degraded-moderate,G3,ocs_only,best,0.1,270-360,66,84,92.6342,0.8095,0.9,185.2684,False
neural,degraded-moderate,G3,ocs_only,best,0.2,000-090,59,67,162.8974,0.9254,0.8,325.7947,False
neural,degraded-moderate,G3,ocs_only,best,0.2,090-180,64,76,153.686,0.7895,0.8,307.3721,False
neural,degraded-moderate,G3,ocs_only,best,0.2,180-270,70,69,46.3737,0.7681,0.8,92.7474,False
neural,degraded-moderate,G3,ocs_only,best,0.2,270-360,66,84,85.8512,0.7976,0.8,171.7023,False
neural,degraded-moderate,G3,ocs_only,final,0.1,000-090,59,67,169.6719,0.9851,0.9,339.3438,False
neural,degraded-moderate,G3,ocs_only,final,0.1,090-180,64,76,174.9772,0.9605,0.9,349.9545,False
neural,degraded-moderate,G3,ocs_only,final,0.1,180-270,70,69,160.6179,0.8841,0.9,321.2357,False
neural,degraded-moderate,G3,ocs_only,final,0.1,270-360,66,84,124.3734,0.9048,0.9,248.7468,False
neural,degraded-moderate,G3,ocs_only,final,0.2,000-090,59,67,151.3651,0.9104,0.8,302.7301,False
neural,degraded-moderate,G3,ocs_only,final,0.2,090-180,64,76,134.4381,0.7632,0.8,268.8762,False
neural,degraded-moderate,G3,ocs_only,final,0.2,180-270,70,69,135.6672,0.8551,0.8,271.3344,False
neural,degraded-moderate,G3,ocs_only,final,0.2,270-360,66,84,90.6669,0.7262,0.8,181.3339,False
neural,degraded-moderate,G5,ocs_only,best,0.1,000-090,59,67,116.7574,0.9104,0.9,233.5148,False
neural,degraded-moderate,G5,ocs_only,best,0.1,090-180,64,76,154.7024,0.9737,0.9,309.4048,False
neural,degraded-moderate,G5,ocs_only,best,0.1,180-270,70,69,161.1843,0.9565,0.9,322.3686,False
neural,degraded-moderate,G5,ocs_only,best,0.1,270-360,66,84,144.8564,0.9643,0.9,289.7127,False
neural,degraded-moderate,G5,ocs_only,best,0.2,000-090,59,67,56.3786,0.7612,0.8,112.7572,False
neural,degraded-moderate,G5,ocs_only,best,0.2,090-180,64,76,95.7299,0.8816,0.8,191.4597,False
neural,degraded-moderate,G5,ocs_only,best,0.2,180-270,70,69,72.3013,0.8406,0.8,144.6026,False
neural,degraded-moderate,G5,ocs_only,best,0.2,270-360,66,84,82.3309,0.8095,0.8,164.6617,False
neural,degraded-moderate,G5,ocs_only,final,0.1,000-090,59,67,116.4711,0.8955,0.9,232.9423,False
neural,degraded-moderate,G5,ocs_only,final,0.1,090-180,64,76,164.0093,0.9474,0.9,328.0187,False
neural,degraded-moderate,G5,ocs_only,final,0.1,180-270,70,69,145.1325,0.9275,0.9,290.2651,False
neural,degraded-moderate,G5,ocs_only,final,0.1,270-360,66,84,134.3389,0.9643,0.9,268.6778,False
neural,degraded-moderate,G5,ocs_only,final,0.2,000-090,59,67,71.7887,0.7761,0.8,143.5774,False
neural,degraded-moderate,G5,ocs_only,final,0.2,090-180,64,76,105.7315,0.8553,0.8,211.463,False
neural,degraded-moderate,G5,ocs_only,final,0.2,180-270,70,69,72.5256,0.8116,0.8,145.0512,False
neural,degraded-moderate,G5,ocs_only,final,0.2,270-360,66,84,71.0036,0.8214,0.8,142.0072,False
neural,degraded-moderate,G5,image_only,best,0.1,000-090,59,67,5.3246,0.9851,0.9,10.6492,False
neural,degraded-moderate,G5,image_only,best,0.1,090-180,64,76,10.0,0.8947,0.9,20.0,False
neural,degraded-moderate,G5,image_only,best,0.1,180-270,70,69,5.9922,0.9855,0.9,11.9844,False
neural,degraded-moderate,G5,image_only,best,0.1,270-360,66,84,6.2115,0.9762,0.9,12.4229,False
neural,degraded-moderate,G5,image_only,best,0.2,000-090,59,67,4.2876,0.9254,0.8,8.5752,False
neural,degraded-moderate,G5,image_only,best,0.2,090-180,64,76,4.7823,0.7632,0.8,9.5646,False
neural,degraded-moderate,G5,image_only,best,0.2,180-270,70,69,4.8187,0.8841,0.8,9.6375,False
neural,degraded-moderate,G5,image_only,best,0.2,270-360,66,84,3.5975,0.8333,0.8,7.1949,False
neural,degraded-moderate,G5,image_only,final,0.1,000-090,59,67,12.2832,0.8209,0.9,24.5664,False
neural,degraded-moderate,G5,image_only,final,0.1,090-180,64,76,15.0,0.8684,0.9,30.0,False
neural,degraded-moderate,G5,image_only,final,0.1,180-270,70,69,11.5292,0.8696,0.9,23.0583,False
neural,degraded-moderate,G5,image_only,final,0.1,270-360,66,84,11.2542,0.9762,0.9,22.5084,False
neural,degraded-moderate,G5,image_only,final,0.2,000-090,59,67,10.2762,0.7313,0.8,20.5524,False
neural,degraded-moderate,G5,image_only,final,0.2,090-180,64,76,12.8261,0.7895,0.8,25.6522,False
neural,degraded-moderate,G5,image_only,final,0.2,180-270,70,69,8.6749,0.7826,0.8,17.3498,False
neural,degraded-moderate,G5,image_only,final,0.2,270-360,66,84,8.2696,0.9405,0.8,16.5392,False
neural,degraded-moderate,G5,joint,best,0.1,000-090,59,67,6.1674,0.9701,0.9,12.3349,False
neural,degraded-moderate,G5,joint,best,0.1,090-180,64,76,4.8599,0.9079,0.9,9.7197,False
neural,degraded-moderate,G5,joint,best,0.1,180-270,70,69,3.7831,0.9565,0.9,7.5663,False
neural,degraded-moderate,G5,joint,best,0.1,270-360,66,84,3.9858,0.881,0.9,7.9717,False
neural,degraded-moderate,G5,joint,best,0.2,000-090,59,67,4.198,0.7612,0.8,8.396,False
neural,degraded-moderate,G5,joint,best,0.2,090-180,64,76,3.5963,0.8026,0.8,7.1925,False
neural,degraded-moderate,G5,joint,best,0.2,180-270,70,69,2.6509,0.7681,0.8,5.3018,False
neural,degraded-moderate,G5,joint,best,0.2,270-360,66,84,2.5638,0.7976,0.8,5.1276,False
neural,degraded-moderate,G5,joint,final,0.1,000-090,59,67,76.9756,0.9403,0.9,153.9512,False
neural,degraded-moderate,G5,joint,final,0.1,090-180,64,76,55.2737,0.8816,0.9,110.5474,False
neural,degraded-moderate,G5,joint,final,0.1,180-270,70,69,166.1918,0.8261,0.9,332.3837,False
neural,degraded-moderate,G5,joint,final,0.1,270-360,66,84,170.5283,0.8929,0.9,341.0566,False
neural,degraded-moderate,G5,joint,final,0.2,000-090,59,67,73.6992,0.9403,0.8,147.3984,False
neural,degraded-moderate,G5,joint,final,0.2,090-180,64,76,48.7897,0.8684,0.8,97.5794,False
neural,degraded-moderate,G5,joint,final,0.2,180-270,70,69,156.9455,0.7536,0.8,313.891,False
neural,degraded-moderate,G5,joint,final,0.2,270-360,66,84,160.727,0.8095,0.8,321.4539,False
pdb-neg-L2,clean,G1,neg-L2,-,0.1,000-090,59,67,175.0,1.0,0.9,350.0,False
pdb-neg-L2,clean,G1,neg-L2,-,0.1,090-180,64,76,170.0,0.8947,0.9,340.0,False
pdb-neg-L2,clean,G1,neg-L2,-,0.1,180-270,70,69,175.0,1.0,0.9,350.0,False
pdb-neg-L2,clean,G1,neg-L2,-,0.1,270-360,66,84,170.0,0.9405,0.9,340.0,False
pdb-neg-L2,clean,G1,neg-L2,-,0.2,000-090,59,67,170.0,0.8657,0.8,340.0,False
pdb-neg-L2,clean,G1,neg-L2,-,0.2,090-180,64,76,155.0,0.7763,0.8,310.0,False
pdb-neg-L2,clean,G1,neg-L2,-,0.2,180-270,70,69,165.0,0.8261,0.8,330.0,False
pdb-neg-L2,clean,G1,neg-L2,-,0.2,270-360,66,84,150.0,0.8571,0.8,300.0,False
pdb-zscore-neg-L2,clean,G1,zscore-neg-L2,-,0.1,000-090,59,67,175.0,1.0,0.9,350.0,False
pdb-zscore-neg-L2,clean,G1,zscore-neg-L2,-,0.1,090-180,64,76,170.0,0.8947,0.9,340.0,False
pdb-zscore-neg-L2,clean,G1,zscore-neg-L2,-,0.1,180-270,70,69,175.0,1.0,0.9,350.0,False
pdb-zscore-neg-L2,clean,G1,zscore-neg-L2,-,0.1,270-360,66,84,170.0,0.9405,0.9,340.0,False
pdb-zscore-neg-L2,clean,G1,zscore-neg-L2,-,0.2,000-090,59,67,170.0,0.8657,0.8,340.0,False
pdb-zscore-neg-L2,clean,G1,zscore-neg-L2,-,0.2,090-180,64,76,155.0,0.7763,0.8,310.0,False
pdb-zscore-neg-L2,clean,G1,zscore-neg-L2,-,0.2,180-270,70,69,165.0,0.8261,0.8,330.0,False
pdb-zscore-neg-L2,clean,G1,zscore-neg-L2,-,0.2,270-360,66,84,150.0,0.8571,0.8,300.0,False
pdb-neg-L2,clean,G3,neg-L2,-,0.1,000-090,59,67,15.0,0.8955,0.9,30.0,False
pdb-neg-L2,clean,G3,neg-L2,-,0.1,090-180,64,76,175.0,0.9868,0.9,350.0,False
pdb-neg-L2,clean,G3,neg-L2,-,0.1,180-270,70,69,170.0,1.0,0.9,340.0,False
pdb-neg-L2,clean,G3,neg-L2,-,0.1,270-360,66,84,170.0,0.9167,0.9,340.0,False
pdb-neg-L2,clean,G3,neg-L2,-,0.2,000-090,59,67,0.0,0.8507,0.8,0.0,False
pdb-neg-L2,clean,G3,neg-L2,-,0.2,090-180,64,76,100.0,0.8684,0.8,200.0,False
pdb-neg-L2,clean,G3,neg-L2,-,0.2,180-270,70,69,25.0,0.8406,0.8,50.0,False
pdb-neg-L2,clean,G3,neg-L2,-,0.2,270-360,66,84,95.0,0.7738,0.8,190.0,False
pdb-zscore-neg-L2,clean,G3,zscore-neg-L2,-,0.1,000-090,59,67,15.0,0.8955,0.9,30.0,False
pdb-zscore-neg-L2,clean,G3,zscore-neg-L2,-,0.1,090-180,64,76,175.0,0.9868,0.9,350.0,False
pdb-zscore-neg-L2,clean,G3,zscore-neg-L2,-,0.1,180-270,70,69,160.0,0.9855,0.9,320.0,False
pdb-zscore-neg-L2,clean,G3,zscore-neg-L2,-,0.1,270-360,66,84,170.0,0.9167,0.9,340.0,False
pdb-zscore-neg-L2,clean,G3,zscore-neg-L2,-,0.2,000-090,59,67,0.0,0.8507,0.8,0.0,False
pdb-zscore-neg-L2,clean,G3,zscore-neg-L2,-,0.2,090-180,64,76,100.0,0.8947,0.8,200.0,False
pdb-zscore-neg-L2,clean,G3,zscore-neg-L2,-,0.2,180-270,70,69,5.0,0.7971,0.8,10.0,False
pdb-zscore-neg-L2,clean,G3,zscore-neg-L2,-,0.2,270-360,66,84,95.0,0.7619,0.8,190.0,False
pdb-neg-L2,clean,G5,neg-L2,-,0.1,000-090,59,67,0.0,0.8955,0.9,0.0,False
pdb-neg-L2,clean,G5,neg-L2,-,0.1,090-180,64,76,170.0,0.9342,0.9,340.0,False
pdb-neg-L2,clean,G5,neg-L2,-,0.1,180-270,70,69,5.0,0.971,0.9,10.0,False
pdb-neg-L2,clean,G5,neg-L2,-,0.1,270-360,66,84,90.0,0.9524,0.9,180.0,False
pdb-neg-L2,clean,G5,neg-L2,-,0.2,000-090,59,67,0.0,0.8955,0.8,0.0,False
pdb-neg-L2,clean,G5,neg-L2,-,0.2,090-180,64,76,0.0,0.8684,0.8,0.0,False
pdb-neg-L2,clean,G5,neg-L2,-,0.2,180-270,70,69,5.0,0.971,0.8,10.0,False
pdb-neg-L2,clean,G5,neg-L2,-,0.2,270-360,66,84,0.0,0.8571,0.8,0.0,False
pdb-zscore-neg-L2,clean,G5,zscore-neg-L2,-,0.1,000-090,59,67,5.0,0.9403,0.9,10.0,False
pdb-zscore-neg-L2,clean,G5,zscore-neg-L2,-,0.1,090-180,64,76,180.0,1.0,0.9,360.0,False
pdb-zscore-neg-L2,clean,G5,zscore-neg-L2,-,0.1,180-270,70,69,5.0,0.971,0.9,10.0,False
pdb-zscore-neg-L2,clean,G5,zscore-neg-L2,-,0.1,270-360,66,84,95.0,0.9405,0.9,190.0,False
pdb-zscore-neg-L2,clean,G5,zscore-neg-L2,-,0.2,000-090,59,67,0.0,0.8806,0.8,0.0,False
pdb-zscore-neg-L2,clean,G5,zscore-neg-L2,-,0.2,090-180,64,76,0.0,0.8553,0.8,0.0,False
pdb-zscore-neg-L2,clean,G5,zscore-neg-L2,-,0.2,180-270,70,69,5.0,0.971,0.8,10.0,False
pdb-zscore-neg-L2,clean,G5,zscore-neg-L2,-,0.2,270-360,66,84,5.0,0.9048,0.8,10.0,False
pdb-neg-L2,degraded-mild,G1,neg-L2,-,0.1,000-090,59,67,175.0,1.0,0.9,350.0,False
pdb-neg-L2,degraded-mild,G1,neg-L2,-,0.1,090-180,64,76,170.0,0.9342,0.9,340.0,False
pdb-neg-L2,degraded-mild,G1,neg-L2,-,0.1,180-270,70,69,175.0,1.0,0.9,350.0,False
pdb-neg-L2,degraded-mild,G1,neg-L2,-,0.1,270-360,66,84,175.0,0.9286,0.9,350.0,False
pdb-neg-L2,degraded-mild,G1,neg-L2,-,0.2,000-090,59,67,170.0,0.9254,0.8,340.0,False
pdb-neg-L2,degraded-mild,G1,neg-L2,-,0.2,090-180,64,76,145.0,0.8289,0.8,290.0,False
pdb-neg-L2,degraded-mild,G1,neg-L2,-,0.2,180-270,70,69,170.0,0.8841,0.8,340.0,False
pdb-neg-L2,degraded-mild,G1,neg-L2,-,0.2,270-360,66,84,160.0,0.7976,0.8,320.0,False
pdb-zscore-neg-L2,degraded-mild,G1,zscore-neg-L2,-,0.1,000-090,59,67,175.0,1.0,0.9,350.0,False
pdb-zscore-neg-L2,degraded-mild,G1,zscore-neg-L2,-,0.1,090-180,64,76,170.0,0.9342,0.9,340.0,False
pdb-zscore-neg-L2,degraded-mild,G1,zscore-neg-L2,-,0.1,180-270,70,69,175.0,1.0,0.9,350.0,False
pdb-zscore-neg-L2,degraded-mild,G1,zscore-neg-L2,-,0.1,270-360,66,84,175.0,0.9286,0.9,350.0,False
pdb-zscore-neg-L2,degraded-mild,G1,zscore-neg-L2,-,0.2,000-090,59,67,170.0,0.9254,0.8,340.0,False
pdb-zscore-neg-L2,degraded-mild,G1,zscore-neg-L2,-,0.2,090-180,64,76,145.0,0.8289,0.8,290.0,False
pdb-zscore-neg-L2,degraded-mild,G1,zscore-neg-L2,-,0.2,180-270,70,69,170.0,0.8841,0.8,340.0,False
pdb-zscore-neg-L2,degraded-mild,G1,zscore-neg-L2,-,0.2,270-360,66,84,160.0,0.7976,0.8,320.0,False
pdb-neg-L2,degraded-mild,G3,neg-L2,-,0.1,000-090,59,67,175.0,1.0,0.9,350.0,False
pdb-neg-L2,degraded-mild,G3,neg-L2,-,0.1,090-180,64,76,175.0,0.9737,0.9,350.0,False
pdb-neg-L2,degraded-mild,G3,neg-L2,-,0.1,180-270,70,69,115.0,0.8986,0.9,230.0,False
pdb-neg-L2,degraded-mild,G3,neg-L2,-,0.1,270-360,66,84,175.0,0.9762,0.9,350.0,False
pdb-neg-L2,degraded-mild,G3,neg-L2,-,0.2,000-090,59,67,150.0,0.8806,0.8,300.0,False
pdb-neg-L2,degraded-mild,G3,neg-L2,-,0.2,090-180,64,76,80.0,0.7895,0.8,160.0,False
pdb-neg-L2,degraded-mild,G3,neg-L2,-,0.2,180-270,70,69,45.0,0.8116,0.8,90.0,False
pdb-neg-L2,degraded-mild,G3,neg-L2,-,0.2,270-360,66,84,160.0,0.869,0.8,320.0,False
pdb-zscore-neg-L2,degraded-mild,G3,zscore-neg-L2,-,0.1,000-090,59,67,175.0,1.0,0.9,350.0,False
pdb-zscore-neg-L2,degraded-mild,G3,zscore-neg-L2,-,0.1,090-180,64,76,175.0,0.9737,0.9,350.0,False
pdb-zscore-neg-L2,degraded-mild,G3,zscore-neg-L2,-,0.1,180-270,70,69,115.0,0.913,0.9,230.0,False
pdb-zscore-neg-L2,degraded-mild,G3,zscore-neg-L2,-,0.1,270-360,66,84,180.0,1.0,0.9,360.0,False
pdb-zscore-neg-L2,degraded-mild,G3,zscore-neg-L2,-,0.2,000-090,59,67,60.0,0.8507,0.8,120.0,False
pdb-zscore-neg-L2,degraded-mild,G3,zscore-neg-L2,-,0.2,090-180,64,76,105.0,0.8158,0.8,210.0,False
pdb-zscore-neg-L2,degraded-mild,G3,zscore-neg-L2,-,0.2,180-270,70,69,45.0,0.8261,0.8,90.0,False
pdb-zscore-neg-L2,degraded-mild,G3,zscore-neg-L2,-,0.2,270-360,66,84,160.0,0.8452,0.8,320.0,False
pdb-neg-L2,degraded-mild,G5,neg-L2,-,0.1,000-090,59,67,5.0,0.9104,0.9,10.0,False
pdb-neg-L2,degraded-mild,G5,neg-L2,-,0.1,090-180,64,76,175.0,0.9605,0.9,350.0,False
pdb-neg-L2,degraded-mild,G5,neg-L2,-,0.1,180-270,70,69,90.0,0.913,0.9,180.0,False
pdb-neg-L2,degraded-mild,G5,neg-L2,-,0.1,270-360,66,84,160.0,0.9048,0.9,320.0,False
pdb-neg-L2,degraded-mild,G5,neg-L2,-,0.2,000-090,59,67,5.0,0.9104,0.8,10.0,False
pdb-neg-L2,degraded-mild,G5,neg-L2,-,0.2,090-180,64,76,0.0,0.8421,0.8,0.0,False
pdb-neg-L2,degraded-mild,G5,neg-L2,-,0.2,180-270,70,69,5.0,0.8551,0.8,10.0,False
pdb-neg-L2,degraded-mild,G5,neg-L2,-,0.2,270-360,66,84,5.0,0.8452,0.8,10.0,False
pdb-zscore-neg-L2,degraded-mild,G5,zscore-neg-L2,-,0.1,000-090,59,67,5.0,0.8955,0.9,10.0,False
pdb-zscore-neg-L2,degraded-mild,G5,zscore-neg-L2,-,0.1,090-180,64,76,175.0,0.9605,0.9,350.0,False
pdb-zscore-neg-L2,degraded-mild,G5,zscore-neg-L2,-,0.1,180-270,70,69,170.0,0.913,0.9,340.0,False
pdb-zscore-neg-L2,degraded-mild,G5,zscore-neg-L2,-,0.1,270-360,66,84,170.0,0.9881,0.9,340.0,False
pdb-zscore-neg-L2,degraded-mild,G5,zscore-neg-L2,-,0.2,000-090,59,67,5.0,0.8955,0.8,10.0,False
pdb-zscore-neg-L2,degraded-mild,G5,zscore-neg-L2,-,0.2,090-180,64,76,0.0,0.8158,0.8,0.0,False
pdb-zscore-neg-L2,degraded-mild,G5,zscore-neg-L2,-,0.2,180-270,70,69,5.0,0.8406,0.8,10.0,False
pdb-zscore-neg-L2,degraded-mild,G5,zscore-neg-L2,-,0.2,270-360,66,84,5.0,0.8452,0.8,10.0,False
pdb-neg-L2,degraded-moderate,G1,neg-L2,-,0.1,000-090,59,67,175.0,1.0,0.9,350.0,False
pdb-neg-L2,degraded-moderate,G1,neg-L2,-,0.1,090-180,64,76,170.0,0.9211,0.9,340.0,False
pdb-neg-L2,degraded-moderate,G1,neg-L2,-,0.1,180-270,70,69,175.0,0.9565,0.9,350.0,False
pdb-neg-L2,degraded-moderate,G1,neg-L2,-,0.1,270-360,66,84,175.0,0.9643,0.9,350.0,False
pdb-neg-L2,degraded-moderate,G1,neg-L2,-,0.2,000-090,59,67,160.0,0.7761,0.8,320.0,False
pdb-neg-L2,degraded-moderate,G1,neg-L2,-,0.2,090-180,64,76,145.0,0.8026,0.8,290.0,False
pdb-neg-L2,degraded-moderate,G1,neg-L2,-,0.2,180-270,70,69,170.0,0.8986,0.8,340.0,False
pdb-neg-L2,degraded-moderate,G1,neg-L2,-,0.2,270-360,66,84,160.0,0.8571,0.8,320.0,False
pdb-zscore-neg-L2,degraded-moderate,G1,zscore-neg-L2,-,0.1,000-090,59,67,175.0,1.0,0.9,350.0,False
pdb-zscore-neg-L2,degraded-moderate,G1,zscore-neg-L2,-,0.1,090-180,64,76,170.0,0.9211,0.9,340.0,False
pdb-zscore-neg-L2,degraded-moderate,G1,zscore-neg-L2,-,0.1,180-270,70,69,175.0,0.9565,0.9,350.0,False
pdb-zscore-neg-L2,degraded-moderate,G1,zscore-neg-L2,-,0.1,270-360,66,84,175.0,0.9643,0.9,350.0,False
pdb-zscore-neg-L2,degraded-moderate,G1,zscore-neg-L2,-,0.2,000-090,59,67,160.0,0.7761,0.8,320.0,False
pdb-zscore-neg-L2,degraded-moderate,G1,zscore-neg-L2,-,0.2,090-180,64,76,145.0,0.8026,0.8,290.0,False
pdb-zscore-neg-L2,degraded-moderate,G1,zscore-neg-L2,-,0.2,180-270,70,69,170.0,0.8986,0.8,340.0,False
pdb-zscore-neg-L2,degraded-moderate,G1,zscore-neg-L2,-,0.2,270-360,66,84,160.0,0.8571,0.8,320.0,False
pdb-neg-L2,degraded-moderate,G3,neg-L2,-,0.1,000-090,59,67,175.0,1.0,0.9,350.0,False
pdb-neg-L2,degraded-moderate,G3,neg-L2,-,0.1,090-180,64,76,175.0,0.9474,0.9,350.0,False
pdb-neg-L2,degraded-moderate,G3,neg-L2,-,0.1,180-270,70,69,175.0,0.971,0.9,350.0,False
pdb-neg-L2,degraded-moderate,G3,neg-L2,-,0.1,270-360,66,84,180.0,1.0,0.9,360.0,False
pdb-neg-L2,degraded-moderate,G3,neg-L2,-,0.2,000-090,59,67,150.0,0.9104,0.8,300.0,False
pdb-neg-L2,degraded-moderate,G3,neg-L2,-,0.2,090-180,64,76,160.0,0.8289,0.8,320.0,False
pdb-neg-L2,degraded-moderate,G3,neg-L2,-,0.2,180-270,70,69,140.0,0.8116,0.8,280.0,False
pdb-neg-L2,degraded-moderate,G3,neg-L2,-,0.2,270-360,66,84,170.0,0.8571,0.8,340.0,False
pdb-zscore-neg-L2,degraded-moderate,G3,zscore-neg-L2,-,0.1,000-090,59,67,175.0,1.0,0.9,350.0,False
pdb-zscore-neg-L2,degraded-moderate,G3,zscore-neg-L2,-,0.1,090-180,64,76,175.0,0.9342,0.9,350.0,False
pdb-zscore-neg-L2,degraded-moderate,G3,zscore-neg-L2,-,0.1,180-270,70,69,175.0,0.971,0.9,350.0,False
pdb-zscore-neg-L2,degraded-moderate,G3,zscore-neg-L2,-,0.1,270-360,66,84,180.0,1.0,0.9,360.0,False
pdb-zscore-neg-L2,degraded-moderate,G3,zscore-neg-L2,-,0.2,000-090,59,67,150.0,0.9104,0.8,300.0,False
pdb-zscore-neg-L2,degraded-moderate,G3,zscore-neg-L2,-,0.2,090-180,64,76,150.0,0.7763,0.8,300.0,False
pdb-zscore-neg-L2,degraded-moderate,G3,zscore-neg-L2,-,0.2,180-270,70,69,150.0,0.8261,0.8,300.0,False
pdb-zscore-neg-L2,degraded-moderate,G3,zscore-neg-L2,-,0.2,270-360,66,84,170.0,0.8571,0.8,340.0,False
pdb-neg-L2,degraded-moderate,G5,neg-L2,-,0.1,000-090,59,67,175.0,0.9403,0.9,350.0,False
pdb-neg-L2,degraded-moderate,G5,neg-L2,-,0.1,090-180,64,76,175.0,0.9474,0.9,350.0,False
pdb-neg-L2,degraded-moderate,G5,neg-L2,-,0.1,180-270,70,69,175.0,0.942,0.9,350.0,False
pdb-neg-L2,degraded-moderate,G5,neg-L2,-,0.1,270-360,66,84,175.0,0.9405,0.9,350.0,False
pdb-neg-L2,degraded-moderate,G5,neg-L2,-,0.2,000-090,59,67,170.0,0.8657,0.8,340.0,False
pdb-neg-L2,degraded-moderate,G5,neg-L2,-,0.2,090-180,64,76,5.0,0.75,0.8,10.0,False
pdb-neg-L2,degraded-moderate,G5,neg-L2,-,0.2,180-270,70,69,170.0,0.8406,0.8,340.0,False
pdb-neg-L2,degraded-moderate,G5,neg-L2,-,0.2,270-360,66,84,175.0,0.9405,0.8,350.0,False
