method,degrade_level,geom,mode,select,alpha,stratum,val_n,test_n,q_deg,coverage,target,set_size_deg,fallback_pooled
neural,clean,G3,ocs_only,final,0.1,000-090,59,67,159.1898,0.9254,0.9,318.3795,False
neural,clean,G3,ocs_only,final,0.1,090-180,64,76,150.98,0.9737,0.9,301.9601,False
neural,clean,G3,ocs_only,final,0.1,180-270,70,69,63.1634,0.8986,0.9,126.3268,False
neural,clean,G3,ocs_only,final,0.1,270-360,66,84,119.7806,0.8333,0.9,239.5611,False
neural,clean,G3,ocs_only,final,0.2,000-090,59,67,64.9084,0.8806,0.8,129.8168,False
neural,clean,G3,ocs_only,final,0.2,090-180,64,76,101.0086,0.8947,0.8,202.0171,False
neural,clean,G3,ocs_only,final,0.2,180-270,70,69,37.7264,0.8696,0.8,75.4528,False
neural,clean,G3,ocs_only,final,0.2,270-360,66,84,90.7529,0.6667,0.8,181.5059,False
neural,clean,G3,image_only,best,0.1,000-090,59,67,5.6783,0.9104,0.9,11.3565,False
neural,clean,G3,image_only,best,0.1,090-180,64,76,13.7773,0.8816,0.9,27.5546,False
neural,clean,G3,image_only,best,0.1,180-270,70,69,12.4397,0.7826,0.9,24.8794,False
neural,clean,G3,image_only,best,0.1,270-360,66,84,12.2124,1.0,0.9,24.4247,False
neural,clean,G3,image_only,best,0.2,000-090,59,67,3.6255,0.6866,0.8,7.251,False
neural,clean,G3,image_only,best,0.2,090-180,64,76,9.9181,0.7368,0.8,19.8362,False
neural,clean,G3,image_only,best,0.2,180-270,70,69,9.6547,0.7101,0.8,19.3095,False
neural,clean,G3,image_only,best,0.2,270-360,66,84,6.6337,0.9286,0.8,13.2675,False
neural,clean,G3,image_only,final,0.1,000-090,59,67,5.6783,0.9104,0.9,11.3565,False
neural,clean,G3,image_only,final,0.1,090-180,64,76,13.7773,0.8816,0.9,27.5546,False
neural,clean,G3,image_only,final,0.1,180-270,70,69,12.4397,0.7826,0.9,24.8794,False
neural,clean,G3,image_only,final,0.1,270-360,66,84,12.2124,1.0,0.9,24.4247,False
neural,clean,G3,image_only,final,0.2,000-090,59,67,3.6255,0.6866,0.8,7.251,False
neural,clean,G3,image_only,final,0.2,090-180,64,76,9.9181,0.7368,0.8,19.8362,False
neural,clean,G3,image_only,final,0.2,180-270,70,69,9.6547,0.7101,0.8,19.3095,False
neural,clean,G3,image_only,final,0.2,270-360,66,84,6.6337,0.9286,0.8,13.2675,False
