seed_record_id,category,roll,ocs_total,delta_ocs_vs_roll0,rel_delta_pct,brightness_rank,rank_shift_vs_roll0,local_contrast,image_usable,glint_flag,saturation_flag
yaw150_pitch+085,roll-sensitive-seed,60,2.070131e-02,-9.382995e-03,-31.189,9,0,0.454187,1,0,0
yaw065_pitch+070,low-info-seed,-60,1.567676e-02,-3.703694e-02,-70.261,12,7,0.540865,1,0,0
yaw065_pitch+070,low-info-seed,-45,1.619356e-02,-3.652015e-02,-69.280,10,5,1.207434,1,1,0
yaw065_pitch+070,low-info-seed,-30,2.020393e-02,-3.250977e-02,-61.672,10,5,1.295167,1,1,0
yaw065_pitch+070,low-info-seed,-15,2.887275e-02,-2.384095e-02,-45.227,4,-1,0.485636,1,0,0
yaw065_pitch+070,low-info-seed,0,5.271370e-02,0.000000e+00,0.000,5,0,0.582001,1,0,0
yaw065_pitch+070,low-info-seed,15,3.427288e-02,-1.844082e-02,-34.983,8,3,0.452081,1,0,0
yaw065_pitch+070,low-info-seed,30,2.600912e-02,-2.670458e-02,-50.660,6,1,0.868595,1,1,0
yaw065_pitch+070,low-info-seed,45,1.985491e-02,-3.285880e-02,-62.334,10,5,1.255819,1,1,0
yaw065_pitch+070,low-info-seed,60,1.311526e-02,-3.959844e-02,-75.120,12,7,1.759636,1,1,0
yaw065_pitch+075,ocs-hard-seed,-60,1.611019e-02,-3.676785e-02,-69.533,11,7,0.424983,1,0,0
yaw065_pitch+075,ocs-hard-seed,-45,1.610878e-02,-3.676926e-02,-69.536,11,7,1.230776,1,1,0
yaw065_pitch+075,ocs-hard-seed,-30,1.989564e-02,-3.298240e-02,-62.374,11,7,1.291026,1,1,0
yaw065_pitch+075,ocs-hard-seed,-15,2.856570e-02,-2.431234e-02,-45.978,5,1,0.436060,1,0,0
yaw065_pitch+075,ocs-hard-seed,0,5.287804e-02,0.000000e+00,0.000,4,0,0.545443,1,0,0
yaw065_pitch+075,ocs-hard-seed,15,3.673418e-02,-1.614386e-02,-30.530,7,3,0.431891,1,0,0
yaw065_pitch+075,ocs-hard-seed,30,2.597766e-02,-2.690038e-02,-50.872,7,3,0.632696,1,1,0
yaw065_pitch+075,ocs-hard-seed,45,1.997233e-02,-3.290571e-02,-62.229,9,5,1.113973,1,1,0
yaw065_pitch+075,ocs-hard-seed,60,1.358642e-02,-3.929162e-02,-74.306,11,7,1.680609,1,1,0
yaw250_pitch-010,disagreement-seed,-60,1.903336e-02,-1.140483e-02,-37.469,9,1,0.789101,1,0,0
yaw250_pitch-010,disagreement-seed,-45,2.065179e-02,-9.786403e-03,-32.152,8,0,0.674196,1,0,0
yaw250_pitch-010,disagreement-seed,-30,2.184720e-02,-8.590991e-03,-28.224,7,-1,0.500158,1,0,0
yaw250_pitch-010,disagreement-seed,-15,2.414576e-02,-6.292433e-03,-20.673,8,0,0.346817,1,0,0
yaw250_pitch-010,disagreement-seed,0,3.043819e-02,0.000000e+00,0.000,8,0,0.488843,1,0,0
yaw250_pitch-010,disagreement-seed,15,3.789087e-02,7.452682e-03,24.485,6,-2,0.683636,1,0,0
yaw250_pitch-010,disagreement-seed,30,2.293768e-02,-7.500514e-03,-24.642,9,1,0.831209,1,1,0
yaw250_pitch-010,disagreement-seed,45,1.967323e-02,-1.076496e-02,-35.367,11,3,0.796662,1,1,0
yaw250_pitch-010,disagreement-seed,60,1.810268e-02,-1.233551e-02,-40.526,10,2,0.642463,1,1,0
yaw165_pitch-020,image-hard-seed,-60,1.725423e-02,-3.603556e-03,-17.277,10,0,1.047064,1,1,0
yaw165_pitch-020,image-hard-seed,-45,2.054885e-02,-3.089339e-04,-1.481,9,-1,0.761702,1,1,0
