select,geom_group,mode,status,yaw_circular_mae_deg,yaw_median_ae_deg,yaw_p90_ae_deg,yaw_hit@5,yaw_hit@10,yaw_hit@30,yaw_coarse45_acc,yaw_coarse90_acc,yaw_within_1bin_sentinel,pitch_mae_deg,pitch_median_ae_deg,pitch_hit@5,pitch_hit@10
final,G1,ocs_only,OK,78.30574727702785,78.35680389404297,162.5472412109375,0.037162162162162164,0.08445945945945946,0.2668918918918919,0.20608108108108109,0.33783783783783783,0.057432432432432436,45.270827082613074,47.05278277397156,0.06418918918918919,0.11148648648648649
final,G1,image_only,OK,12.064628067854288,10.284332275390625,25.243175506591797,0.28040540540540543,0.47635135135135137,0.9628378378378378,0.6554054054054054,0.7736486486486487,0.38175675675675674,15.000425563068003,13.762040615081787,0.17567567567567569,0.3277027027027027
final,G1,joint,OK,2.0985748222148097,1.6278018951416016,4.2749786376953125,0.9459459459459459,0.9831081081081081,1.0,0.8986486486486487,0.9358108108108109,0.972972972972973,2.0764516062430434,1.6621274948120117,0.9493243243243243,0.9966216216216216
final,G3,ocs_only,OK,38.55957271994369,16.39306640625,114.01403957605362,0.19932432432432431,0.36824324324324326,0.6351351351351351,0.5033783783783784,0.6317567567567568,0.2939189189189189,42.196435423511254,43.18341112136841,0.057432432432432436,0.11824324324324324
final,G3,image_only,OK,4.945347814946561,3.719158172607422,12.129852294921875,0.625,0.8614864864864865,1.0,0.8614864864864865,0.9121621621621622,0.7736486486486487,3.6413844413048513,2.79099702835083,0.7331081081081081,0.9695945945945946
final,G3,joint,OK,2.0315522052146293,1.4688034057617188,4.117160797119141,0.9222972972972973,0.9864864864864865,1.0,0.918918918918919,0.9358108108108109,0.972972972972973,2.852509029360639,2.3971996307373047,0.8648648648648649,0.9864864864864865
final,G5,ocs_only,OK,22.768993837003773,11.506095886230469,58.74951934814453,0.19594594594594594,0.44256756756756754,0.8108108108108109,0.625,0.75,0.3310810810810811,37.36348094062477,33.008389711380005,0.06756756756756757,0.14189189189189189
final,G5,image_only,OK,9.124051326835477,7.753761291503906,18.45458984375,0.33783783783783783,0.581081081081081,0.9966216216216216,0.8040540540540541,0.8682432432432432,0.4864864864864865,16.80392538756132,15.0,0.18243243243243243,0.35135135135135137
final,G5,joint,OK,3.196814734388042,2.6930999755859375,6.398509860038757,0.7905405405405406,0.9898648648648649,1.0,0.9054054054054054,0.9324324324324325,0.9391891891891891,4.006082584307453,3.3569765090942383,0.7094594594594594,0.9695945945945946
best,G1,ocs_only,OK,76.55876363290322,72.59346008300781,160.99987030029297,0.05067567567567568,0.125,0.27702702702702703,0.25675675675675674,0.3716216216216216,0.08783783783783784,45.95148004082384,46.52299630641937,0.057432432432432436,0.11486486486486487
best,G1,image_only,OK,2.4358688999672196,1.7923049926757812,5.139183044433594,0.8885135135135135,0.9864864864864865,1.0,0.918918918918919,0.9459459459459459,0.9628378378378378,2.043606738283022,1.533740222454071,0.9358108108108109,0.9898648648648649
best,G1,joint,OK,2.113740544866871,1.6353187561035156,4.3224945068359375,0.9324324324324325,0.9932432432432432,1.0,0.9087837837837838,0.9290540540540541,0.9797297297297297,2.1515291472645224,1.7517895698547363,0.9324324324324325,0.9966216216216216
best,G3,ocs_only,OK,38.22460422151395,14.18572998046875,116.82693481445312,0.1858108108108108,0.3783783783783784,0.6722972972972973,0.5337837837837838,0.6587837837837838,0.3141891891891892,41.78743349170514,41.20820903778076,0.057432432432432436,0.11824324324324324
best,G3,image_only,OK,4.945347814946561,3.719158172607422,12.129852294921875,0.625,0.8614864864864865,1.0,0.8614864864864865,0.9121621621621622,0.7736486486486487,3.6413844413048513,2.79099702835083,0.7331081081081081,0.9695945945945946
best,G3,joint,OK,2.0315522052146293,1.4688034057617188,4.117160797119141,0.9222972972972973,0.9864864864864865,1.0,0.918918918918919,0.9358108108108109,0.972972972972973,2.852509029360639,2.3971996307373047,0.8648648648648649,0.9864864864864865
best,G5,ocs_only,OK,22.768993837003773,11.506095886230469,58.74951934814453,0.19594594594594594,0.44256756756756754,0.8108108108108109,0.625,0.75,0.3310810810810811,37.36348094062477,33.008389711380005,0.06756756756756757,0.14189189189189189
best,G5,image_only,OK,8.572833132904929,6.574117660522461,19.664093017578125,0.38175675675675674,0.6925675675675675,0.9932432432432432,0.8108108108108109,0.8885135135135135,0.5608108108108109,8.246240314800996,5.437115594744682,0.47297297297297297,0.7601351351351351
best,G5,joint,OK,3.196814734388042,2.6930999755859375,6.398509860038757,0.7905405405405406,0.9898648648648649,1.0,0.9054054054054054,0.9324324324324325,0.9391891891891891,4.006082584307453,3.3569765090942383,0.7094594594594594,0.9695945945945946
