select,mode,G1_cmae,G3_cmae,G5_cmae,G1_gain_vs_G1,G3_gain_vs_G1,G5_gain_vs_G1
final,ocs_only,78.30574727702785,38.55957271994369,22.768993837003773,0.0,39.746,55.537
final,image_only,12.064628067854288,4.945347814946561,9.124051326835477,0.0,7.119,2.941
final,joint,2.0985748222148097,2.0315522052146293,3.196814734388042,0.0,0.067,-1.098
best,ocs_only,76.55876363290322,38.22460422151395,22.768993837003773,0.0,38.334,53.79
best,image_only,2.4358688999672196,4.945347814946561,8.572833132904929,0.0,-2.509,-6.137
best,joint,2.113740544866871,2.0315522052146293,3.196814734388042,0.0,0.082,-1.083
