geom,degrade_level,query_split,similarity,template_mode,stratum_type,stratum,n,top1_yaw_cmae,top1_yaw_hit@30
G3,degraded-mild,val,zscore-neg-L2,matched-degraded,pitch_bin,+00..+45,63,31.3492,0.746
G3,degraded-mild,val,zscore-neg-L2,matched-degraded,pitch_bin,+45..+90,63,31.1111,0.8095
G3,degraded-mild,val,zscore-neg-L2,matched-degraded,pitch_bin,+90..+135,7,112.8571,0.1429
G3,degraded-mild,val,zscore-neg-L2,matched-degraded,pitch_bin,-45..+00,63,33.4127,0.7778
G3,degraded-mild,val,zscore-neg-L2,matched-degraded,pitch_bin,-90..-45,63,38.8095,0.7302
G3,degraded-mild,test,neg-L2,matched-degraded,yaw_sector,000-090,67,25.2985,0.8358
G3,degraded-mild,test,neg-L2,matched-degraded,yaw_sector,090-180,76,35.1316,0.7632
G3,degraded-mild,test,neg-L2,matched-degraded,yaw_sector,180-270,69,27.6087,0.7681
G3,degraded-mild,test,neg-L2,matched-degraded,yaw_sector,270-360,84,36.7262,0.7381
G3,degraded-mild,test,neg-L2,matched-degraded,pitch_bin,+00..+45,72,39.1667,0.6944
G3,degraded-mild,test,neg-L2,matched-degraded,pitch_bin,+45..+90,72,30.4167,0.7917
G3,degraded-mild,test,neg-L2,matched-degraded,pitch_bin,+90..+135,8,23.75,0.875
G3,degraded-mild,test,neg-L2,matched-degraded,pitch_bin,-45..+00,72,23.8889,0.8472
G3,degraded-mild,test,neg-L2,matched-degraded,pitch_bin,-90..-45,72,33.8194,0.75
G3,degraded-mild,test,cosine,matched-degraded,yaw_sector,000-090,67,50.3731,0.6418
G3,degraded-mild,test,cosine,matched-degraded,yaw_sector,090-180,76,65.4605,0.5789
G3,degraded-mild,test,cosine,matched-degraded,yaw_sector,180-270,69,58.9855,0.5507
G3,degraded-mild,test,cosine,matched-degraded,yaw_sector,270-360,84,57.9167,0.5952
G3,degraded-mild,test,cosine,matched-degraded,pitch_bin,+00..+45,72,51.6667,0.6528
G3,degraded-mild,test,cosine,matched-degraded,pitch_bin,+45..+90,72,54.3056,0.6389
G3,degraded-mild,test,cosine,matched-degraded,pitch_bin,+90..+135,8,103.75,0.375
G3,degraded-mild,test,cosine,matched-degraded,pitch_bin,-45..+00,72,65.4167,0.5139
G3,degraded-mild,test,cosine,matched-degraded,pitch_bin,-90..-45,72,57.1528,0.5833
G3,degraded-mild,test,zscore-neg-L2,matched-degraded,yaw_sector,000-090,67,22.7612,0.8507
G3,degraded-mild,test,zscore-neg-L2,matched-degraded,yaw_sector,090-180,76,35.5263,0.7632
G3,degraded-mild,test,zscore-neg-L2,matched-degraded,yaw_sector,180-270,69,24.7826,0.7826
G3,degraded-mild,test,zscore-neg-L2,matched-degraded,yaw_sector,270-360,84,39.5833,0.7262
G3,degraded-mild,test,zscore-neg-L2,matched-degraded,pitch_bin,+00..+45,72,41.875,0.6806
G3,degraded-mild,test,zscore-neg-L2,matched-degraded,pitch_bin,+45..+90,72,28.5417,0.8056
G3,degraded-mild,test,zscore-neg-L2,matched-degraded,pitch_bin,+90..+135,8,23.75,0.875
G3,degraded-mild,test,zscore-neg-L2,matched-degraded,pitch_bin,-45..+00,72,24.0278,0.8472
G3,degraded-mild,test,zscore-neg-L2,matched-degraded,pitch_bin,-90..-45,72,31.5278,0.7639
G3,degraded-mild,val,neg-L2,clean-template,yaw_sector,000-090,59,26.2712,0.8305
G3,degraded-mild,val,neg-L2,clean-template,yaw_sector,090-180,64,42.9688,0.7031
G3,degraded-mild,val,neg-L2,clean-template,yaw_sector,180-270,70,25.7857,0.8143
G3,degraded-mild,val,neg-L2,clean-template,yaw_sector,270-360,66,45.303,0.697
G3,degraded-mild,val,neg-L2,clean-template,pitch_bin,+00..+45,63,40.6349,0.7302
G3,degraded-mild,val,neg-L2,clean-template,pitch_bin,+45..+90,63,30.0,0.8095
G3,degraded-mild,val,neg-L2,clean-template,pitch_bin,+90..+135,7,62.8571,0.4286
G3,degraded-mild,val,neg-L2,clean-template,pitch_bin,-45..+00,63,22.381,0.8571
G3,degraded-mild,val,neg-L2,clean-template,pitch_bin,-90..-45,63,44.3651,0.6825
G3,degraded-mild,val,cosine,clean-template,yaw_sector,000-090,59,70.5932,0.5254
G3,degraded-mild,val,cosine,clean-template,yaw_sector,090-180,64,25.4688,0.7969
G3,degraded-mild,val,cosine,clean-template,yaw_sector,180-270,70,48.5,0.6571
G3,degraded-mild,val,cosine,clean-template,yaw_sector,270-360,66,59.0909,0.6061
G3,degraded-mild,val,cosine,clean-template,pitch_bin,+00..+45,63,47.8571,0.6667
G3,degraded-mild,val,cosine,clean-template,pitch_bin,+45..+90,63,52.381,0.6508
G3,degraded-mild,val,cosine,clean-template,pitch_bin,+90..+135,7,51.4286,0.5714
G3,degraded-mild,val,cosine,clean-template,pitch_bin,-45..+00,63,51.1905,0.6349
G3,degraded-mild,val,cosine,clean-template,pitch_bin,-90..-45,63,50.6349,0.6508
G3,degraded-mild,val,zscore-neg-L2,clean-template,yaw_sector,000-090,59,26.2712,0.8305
G3,degraded-mild,val,zscore-neg-L2,clean-template,yaw_sector,090-180,64,43.0469,0.7031
G3,degraded-mild,val,zscore-neg-L2,clean-template,yaw_sector,180-270,70,26.5714,0.8
G3,degraded-mild,val,zscore-neg-L2,clean-template,yaw_sector,270-360,66,44.3182,0.697
G3,degraded-mild,val,zscore-neg-L2,clean-template,pitch_bin,+00..+45,63,40.1587,0.7302
G3,degraded-mild,val,zscore-neg-L2,clean-template,pitch_bin,+45..+90,63,30.0,0.8095
G3,degraded-mild,val,zscore-neg-L2,clean-template,pitch_bin,+90..+135,7,62.8571,0.4286
G3,degraded-mild,val,zscore-neg-L2,clean-template,pitch_bin,-45..+00,63,22.381,0.8571
G3,degraded-mild,val,zscore-neg-L2,clean-template,pitch_bin,-90..-45,63,44.7619,0.6667
G3,degraded-mild,test,neg-L2,clean-template,yaw_sector,000-090,67,18.2836,0.8657
G3,degraded-mild,test,neg-L2,clean-template,yaw_sector,090-180,76,36.8421,0.7632
G3,degraded-mild,test,neg-L2,clean-template,yaw_sector,180-270,69,33.1884,0.7246
G3,degraded-mild,test,neg-L2,clean-template,yaw_sector,270-360,84,41.369,0.7381
G3,degraded-mild,test,neg-L2,clean-template,pitch_bin,+00..+45,72,45.1389,0.7083
G3,degraded-mild,test,neg-L2,clean-template,pitch_bin,+45..+90,72,29.3056,0.7639
G3,degraded-mild,test,neg-L2,clean-template,pitch_bin,+90..+135,8,38.75,0.75
G3,degraded-mild,test,neg-L2,clean-template,pitch_bin,-45..+00,72,25.2778,0.8472
G3,degraded-mild,test,neg-L2,clean-template,pitch_bin,-90..-45,72,31.9444,0.7639
G3,degraded-mild,test,cosine,clean-template,yaw_sector,000-090,67,62.8358,0.5522
G3,degraded-mild,test,cosine,clean-template,yaw_sector,090-180,76,47.3026,0.7105
G3,degraded-mild,test,cosine,clean-template,yaw_sector,180-270,69,43.6232,0.6087
G3,degraded-mild,test,cosine,clean-template,yaw_sector,270-360,84,49.2262,0.619
G3,degraded-mild,test,cosine,clean-template,pitch_bin,+00..+45,72,44.3056,0.6806
G3,degraded-mild,test,cosine,clean-template,pitch_bin,+45..+90,72,43.5417,0.6944
G3,degraded-mild,test,cosine,clean-template,pitch_bin,+90..+135,8,67.5,0.5
G3,degraded-mild,test,cosine,clean-template,pitch_bin,-45..+00,72,54.5139,0.5833
G3,degraded-mild,test,cosine,clean-template,pitch_bin,-90..-45,72,57.7778,0.5556
G3,degraded-mild,test,zscore-neg-L2,clean-template,yaw_sector,000-090,67,18.3582,0.8657
G3,degraded-mild,test,zscore-neg-L2,clean-template,yaw_sector,090-180,76,36.8421,0.7632
G3,degraded-mild,test,zscore-neg-L2,clean-template,yaw_sector,180-270,69,33.1884,0.7246
G3,degraded-mild,test,zscore-neg-L2,clean-template,yaw_sector,270-360,84,40.5357,0.7381
G3,degraded-mild,test,zscore-neg-L2,clean-template,pitch_bin,+00..+45,72,45.1389,0.7083
G3,degraded-mild,test,zscore-neg-L2,clean-template,pitch_bin,+45..+90,72,27.0139,0.7778
G3,degraded-mild,test,zscore-neg-L2,clean-template,pitch_bin,+90..+135,8,38.75,0.75
G3,degraded-mild,test,zscore-neg-L2,clean-template,pitch_bin,-45..+00,72,26.875,0.8333
G3,degraded-mild,test,zscore-neg-L2,clean-template,pitch_bin,-90..-45,72,31.7361,0.7639
G5,degraded-mild,val,neg-L2,matched-degraded,yaw_sector,000-090,59,9.661,0.9492
G5,degraded-mild,val,neg-L2,matched-degraded,yaw_sector,090-180,64,19.7656,0.875
G5,degraded-mild,val,neg-L2,matched-degraded,yaw_sector,180-270,70,14.6429,0.9
G5,degraded-mild,val,neg-L2,matched-degraded,yaw_sector,270-360,66,17.8788,0.8788
G5,degraded-mild,val,neg-L2,matched-degraded,pitch_bin,+00..+45,63,16.4286,0.8889
G5,degraded-mild,val,neg-L2,matched-degraded,pitch_bin,+45..+90,63,14.3651,0.9206
G5,degraded-mild,val,neg-L2,matched-degraded,pitch_bin,+90..+135,7,75.0,0.5714
G5,degraded-mild,val,neg-L2,matched-degraded,pitch_bin,-45..+00,63,14.5238,0.9048
G5,degraded-mild,val,neg-L2,matched-degraded,pitch_bin,-90..-45,63,10.4762,0.9206
G5,degraded-mild,val,cosine,matched-degraded,yaw_sector,000-090,59,25.0,0.8644
G5,degraded-mild,val,cosine,matched-degraded,yaw_sector,090-180,64,25.0781,0.8281
G5,degraded-mild,val,cosine,matched-degraded,yaw_sector,180-270,70,29.7857,0.8
G5,degraded-mild,val,cosine,matched-degraded,yaw_sector,270-360,66,27.197,0.8182
G5,degraded-mild,val,cosine,matched-degraded,pitch_bin,+00..+45,63,33.0952,0.7778
G5,degraded-mild,val,cosine,matched-degraded,pitch_bin,+45..+90,63,25.3968,0.8413
G5,degraded-mild,val,cosine,matched-degraded,pitch_bin,+90..+135,7,25.7143,0.8571
G5,degraded-mild,val,cosine,matched-degraded,pitch_bin,-45..+00,63,17.1429,0.8889
G5,degraded-mild,val,cosine,matched-degraded,pitch_bin,-90..-45,63,31.9841,0.7937
G5,degraded-mild,val,zscore-neg-L2,matched-degraded,yaw_sector,000-090,59,9.5763,0.9492
G5,degraded-mild,val,zscore-neg-L2,matched-degraded,yaw_sector,090-180,64,19.7656,0.875
G5,degraded-mild,val,zscore-neg-L2,matched-degraded,yaw_sector,180-270,70,22.2143,0.8571
G5,degraded-mild,val,zscore-neg-L2,matched-degraded,yaw_sector,270-360,66,19.9242,0.8788
G5,degraded-mild,val,zscore-neg-L2,matched-degraded,pitch_bin,+00..+45,63,15.0794,0.9048
G5,degraded-mild,val,zscore-neg-L2,matched-degraded,pitch_bin,+45..+90,63,19.9206,0.8889
G5,degraded-mild,val,zscore-neg-L2,matched-degraded,pitch_bin,+90..+135,7,75.0,0.5714
G5,degraded-mild,val,zscore-neg-L2,matched-degraded,pitch_bin,-45..+00,63,20.3175,0.873
G5,degraded-mild,val,zscore-neg-L2,matched-degraded,pitch_bin,-90..-45,63,10.9524,0.9206
G5,degraded-mild,test,neg-L2,matched-degraded,yaw_sector,000-090,67,16.0448,0.9104
G5,degraded-mild,test,neg-L2,matched-degraded,yaw_sector,090-180,76,13.5526,0.9211
G5,degraded-mild,test,neg-L2,matched-degraded,yaw_sector,180-270,69,18.7681,0.8696
G5,degraded-mild,test,neg-L2,matched-degraded,yaw_sector,270-360,84,20.8929,0.869
G5,degraded-mild,test,neg-L2,matched-degraded,pitch_bin,+00..+45,72,18.0556,0.875
G5,degraded-mild,test,neg-L2,matched-degraded,pitch_bin,+45..+90,72,22.4306,0.875
G5,degraded-mild,test,neg-L2,matched-degraded,pitch_bin,+90..+135,8,43.125,0.75
G5,degraded-mild,test,neg-L2,matched-degraded,pitch_bin,-45..+00,72,12.0833,0.9306
G5,degraded-mild,test,neg-L2,matched-degraded,pitch_bin,-90..-45,72,14.2361,0.9028
G5,degraded-mild,test,cosine,matched-degraded,yaw_sector,000-090,67,37.8358,0.791
G5,degraded-mild,test,cosine,matched-degraded,yaw_sector,090-180,76,21.4474,0.8684
G5,degraded-mild,test,cosine,matched-degraded,yaw_sector,180-270,69,34.058,0.7826
G5,degraded-mild,test,cosine,matched-degraded,yaw_sector,270-360,84,29.1667,0.8095
G5,degraded-mild,test,cosine,matched-degraded,pitch_bin,+00..+45,72,28.8889,0.8194
G5,degraded-mild,test,cosine,matched-degraded,pitch_bin,+45..+90,72,29.9306,0.8194
G5,degraded-mild,test,cosine,matched-degraded,pitch_bin,+90..+135,8,1.875,1.0
G5,degraded-mild,test,cosine,matched-degraded,pitch_bin,-45..+00,72,21.5972,0.8472
G5,degraded-mild,test,cosine,matched-degraded,pitch_bin,-90..-45,72,43.8889,0.75
G5,degraded-mild,test,zscore-neg-L2,matched-degraded,yaw_sector,000-090,67,18.5821,0.8955
G5,degraded-mild,test,zscore-neg-L2,matched-degraded,yaw_sector,090-180,76,9.4079,0.9474
G5,degraded-mild,test,zscore-neg-L2,matched-degraded,yaw_sector,180-270,69,22.3188,0.8551
G5,degraded-mild,test,zscore-neg-L2,matched-degraded,yaw_sector,270-360,84,17.8571,0.881
G5,degraded-mild,test,zscore-neg-L2,matched-degraded,pitch_bin,+00..+45,72,18.6111,0.875
G5,degraded-mild,test,zscore-neg-L2,matched-degraded,pitch_bin,+45..+90,72,21.1111,0.875
G5,degraded-mild,test,zscore-neg-L2,matched-degraded,pitch_bin,+90..+135,8,43.125,0.75
G5,degraded-mild,test,zscore-neg-L2,matched-degraded,pitch_bin,-45..+00,72,9.7917,0.9444
G5,degraded-mild,test,zscore-neg-L2,matched-degraded,pitch_bin,-90..-45,72,15.1389,0.9028
G5,degraded-mild,val,neg-L2,clean-template,yaw_sector,000-090,59,3.6441,0.9831
G5,degraded-mild,val,neg-L2,clean-template,yaw_sector,090-180,64,19.8438,0.875
G5,degraded-mild,val,neg-L2,clean-template,yaw_sector,180-270,70,8.5,0.9429
G5,degraded-mild,val,neg-L2,clean-template,yaw_sector,270-360,66,15.2273,0.8939
G5,degraded-mild,val,neg-L2,clean-template,pitch_bin,+00..+45,63,12.381,0.9206
G5,degraded-mild,val,neg-L2,clean-template,pitch_bin,+45..+90,63,11.4286,0.9365
G5,degraded-mild,val,neg-L2,clean-template,pitch_bin,+90..+135,7,50.7143,0.7143
G5,degraded-mild,val,neg-L2,clean-template,pitch_bin,-45..+00,63,9.0476,0.9365
G5,degraded-mild,val,neg-L2,clean-template,pitch_bin,-90..-45,63,10.4762,0.9206
G5,degraded-mild,val,cosine,clean-template,yaw_sector,000-090,59,18.8136,0.8983
G5,degraded-mild,val,cosine,clean-template,yaw_sector,090-180,64,21.4844,0.8594
G5,degraded-mild,val,cosine,clean-template,yaw_sector,180-270,70,28.5,0.8143
G5,degraded-mild,val,cosine,clean-template,yaw_sector,270-360,66,22.6515,0.8485
G5,degraded-mild,val,cosine,clean-template,pitch_bin,+00..+45,63,24.0476,0.8413
G5,degraded-mild,val,cosine,clean-template,pitch_bin,+45..+90,63,16.9841,0.8889
G5,degraded-mild,val,cosine,clean-template,pitch_bin,+90..+135,7,25.7143,0.8571
G5,degraded-mild,val,cosine,clean-template,pitch_bin,-45..+00,63,23.5714,0.8571
G5,degraded-mild,val,cosine,clean-template,pitch_bin,-90..-45,63,27.381,0.8254
G5,degraded-mild,val,zscore-neg-L2,clean-template,yaw_sector,000-090,59,9.661,0.9492
G5,degraded-mild,val,zscore-neg-L2,clean-template,yaw_sector,090-180,64,26.4844,0.8438
G5,degraded-mild,val,zscore-neg-L2,clean-template,yaw_sector,180-270,70,11.0714,0.9286
G5,degraded-mild,val,zscore-neg-L2,clean-template,yaw_sector,270-360,66,14.1667,0.8939
G5,degraded-mild,val,zscore-neg-L2,clean-template,pitch_bin,+00..+45,63,22.0635,0.8571
G5,degraded-mild,val,zscore-neg-L2,clean-template,pitch_bin,+45..+90,63,14.127,0.9206
G5,degraded-mild,val,zscore-neg-L2,clean-template,pitch_bin,+90..+135,7,75.7143,0.5714
G5,degraded-mild,val,zscore-neg-L2,clean-template,pitch_bin,-45..+00,63,9.4444,0.9365
G5,degraded-mild,val,zscore-neg-L2,clean-template,pitch_bin,-90..-45,63,9.0476,0.9365
G5,degraded-mild,test,neg-L2,clean-template,yaw_sector,000-090,67,13.4328,0.9254
G5,degraded-mild,test,neg-L2,clean-template,yaw_sector,090-180,76,13.4211,0.9211
G5,degraded-mild,test,neg-L2,clean-template,yaw_sector,180-270,69,13.2609,0.913
G5,degraded-mild,test,neg-L2,clean-template,yaw_sector,270-360,84,13.9881,0.9167
G5,degraded-mild,test,neg-L2,clean-template,pitch_bin,+00..+45,72,10.4861,0.9306
G5,degraded-mild,test,neg-L2,clean-template,pitch_bin,+45..+90,72,17.2917,0.9028
G5,degraded-mild,test,neg-L2,clean-template,pitch_bin,+90..+135,8,43.125,0.75
G5,degraded-mild,test,neg-L2,clean-template,pitch_bin,-45..+00,72,12.6389,0.9306
G5,degraded-mild,test,neg-L2,clean-template,pitch_bin,-90..-45,72,10.4861,0.9306
G5,degraded-mild,test,cosine,clean-template,yaw_sector,000-090,67,22.0149,0.8806
G5,degraded-mild,test,cosine,clean-template,yaw_sector,090-180,76,10.9211,0.9342
G5,degraded-mild,test,cosine,clean-template,yaw_sector,180-270,69,24.9275,0.8406
G5,degraded-mild,test,cosine,clean-template,yaw_sector,270-360,84,31.131,0.7976
G5,degraded-mild,test,cosine,clean-template,pitch_bin,+00..+45,72,21.5278,0.875
G5,degraded-mild,test,cosine,clean-template,pitch_bin,+45..+90,72,21.0417,0.875
G5,degraded-mild,test,cosine,clean-template,pitch_bin,+90..+135,8,34.375,0.75
G5,degraded-mild,test,cosine,clean-template,pitch_bin,-45..+00,72,21.875,0.8472
G5,degraded-mild,test,cosine,clean-template,pitch_bin,-90..-45,72,23.9583,0.8611
G5,degraded-mild,test,zscore-neg-L2,clean-template,yaw_sector,000-090,67,18.5821,0.8955
G5,degraded-mild,test,zscore-neg-L2,clean-template,yaw_sector,090-180,76,13.1579,0.9211
G5,degraded-mild,test,zscore-neg-L2,clean-template,yaw_sector,180-270,69,15.7246,0.8986
G5,degraded-mild,test,zscore-neg-L2,clean-template,yaw_sector,270-360,84,15.4762,0.9048
G5,degraded-mild,test,zscore-neg-L2,clean-template,pitch_bin,+00..+45,72,13.0556,0.9167
G5,degraded-mild,test,zscore-neg-L2,clean-template,pitch_bin,+45..+90,72,21.9444,0.875
G5,degraded-mild,test,zscore-neg-L2,clean-template,pitch_bin,+90..+135,8,24.375,0.875
G5,degraded-mild,test,zscore-neg-L2,clean-template,pitch_bin,-45..+00,72,11.4583,0.9306
G5,degraded-mild,test,zscore-neg-L2,clean-template,pitch_bin,-90..-45,72,15.1389,0.9028
G1,degraded-moderate,val,neg-L2,matched-degraded,yaw_sector,000-090,59,73.9831,0.3898
G1,degraded-moderate,val,neg-L2,matched-degraded,yaw_sector,090-180,64,90.9375,0.1562
G1,degraded-moderate,val,neg-L2,matched-degraded,yaw_sector,180-270,70,91.5,0.2857
G1,degraded-moderate,val,neg-L2,matched-degraded,yaw_sector,270-360,66,85.0,0.303
G1,degraded-moderate,val,neg-L2,matched-degraded,pitch_bin,+00..+45,63,92.3016,0.1746
G1,degraded-moderate,val,neg-L2,matched-degraded,pitch_bin,+45..+90,63,71.746,0.3968
G1,degraded-moderate,val,neg-L2,matched-degraded,pitch_bin,+90..+135,7,102.8571,0.4286
G1,degraded-moderate,val,neg-L2,matched-degraded,pitch_bin,-45..+00,63,94.127,0.2381
G1,degraded-moderate,val,neg-L2,matched-degraded,pitch_bin,-90..-45,63,82.7778,0.3016
G1,degraded-moderate,val,cosine,matched-degraded,yaw_sector,000-090,59,98.6441,0.0
G1,degraded-moderate,val,cosine,matched-degraded,yaw_sector,090-180,64,26.9531,0.625
G1,degraded-moderate,val,cosine,matched-degraded,yaw_sector,180-270,70,79.3571,0.0
G1,degraded-moderate,val,cosine,matched-degraded,yaw_sector,270-360,66,153.5606,0.0
G1,degraded-moderate,val,cosine,matched-degraded,pitch_bin,+00..+45,63,83.4127,0.1429
G1,degraded-moderate,val,cosine,matched-degraded,pitch_bin,+45..+90,63,95.873,0.1111
G1,degraded-moderate,val,cosine,matched-degraded,pitch_bin,+90..+135,7,71.4286,0.2857
G1,degraded-moderate,val,cosine,matched-degraded,pitch_bin,-45..+00,63,96.5873,0.1587
G1,degraded-moderate,val,cosine,matched-degraded,pitch_bin,-90..-45,63,85.0,0.1905
G1,degraded-moderate,val,zscore-neg-L2,matched-degraded,yaw_sector,000-090,59,73.9831,0.3898
G1,degraded-moderate,val,zscore-neg-L2,matched-degraded,yaw_sector,090-180,64,90.9375,0.1562
G1,degraded-moderate,val,zscore-neg-L2,matched-degraded,yaw_sector,180-270,70,91.5,0.2857
G1,degraded-moderate,val,zscore-neg-L2,matched-degraded,yaw_sector,270-360,66,85.0,0.303
G1,degraded-moderate,val,zscore-neg-L2,matched-degraded,pitch_bin,+00..+45,63,92.3016,0.1746
G1,degraded-moderate,val,zscore-neg-L2,matched-degraded,pitch_bin,+45..+90,63,71.746,0.3968
G1,degraded-moderate,val,zscore-neg-L2,matched-degraded,pitch_bin,+90..+135,7,102.8571,0.4286
G1,degraded-moderate,val,zscore-neg-L2,matched-degraded,pitch_bin,-45..+00,63,94.127,0.2381
G1,degraded-moderate,val,zscore-neg-L2,matched-degraded,pitch_bin,-90..-45,63,82.7778,0.3016
G1,degraded-moderate,test,neg-L2,matched-degraded,yaw_sector,000-090,67,92.4627,0.194
G1,degraded-moderate,test,neg-L2,matched-degraded,yaw_sector,090-180,76,85.5263,0.25
G1,degraded-moderate,test,neg-L2,matched-degraded,yaw_sector,180-270,69,97.4638,0.2464
G1,degraded-moderate,test,neg-L2,matched-degraded,yaw_sector,270-360,84,91.8452,0.2262
G1,degraded-moderate,test,neg-L2,matched-degraded,pitch_bin,+00..+45,72,80.4167,0.2778
G1,degraded-moderate,test,neg-L2,matched-degraded,pitch_bin,+45..+90,72,103.125,0.1806
G1,degraded-moderate,test,neg-L2,matched-degraded,pitch_bin,+90..+135,8,121.25,0.0
G1,degraded-moderate,test,neg-L2,matched-degraded,pitch_bin,-45..+00,72,93.5417,0.25
G1,degraded-moderate,test,neg-L2,matched-degraded,pitch_bin,-90..-45,72,86.3194,0.2361
G1,degraded-moderate,test,cosine,matched-degraded,yaw_sector,000-090,67,105.2239,0.0
G1,degraded-moderate,test,cosine,matched-degraded,yaw_sector,090-180,76,24.1447,0.7632
G1,degraded-moderate,test,cosine,matched-degraded,yaw_sector,180-270,69,74.4928,0.0
G1,degraded-moderate,test,cosine,matched-degraded,yaw_sector,270-360,84,155.7143,0.0
G1,degraded-moderate,test,cosine,matched-degraded,pitch_bin,+00..+45,72,89.2361,0.2361
G1,degraded-moderate,test,cosine,matched-degraded,pitch_bin,+45..+90,72,89.375,0.2083
G1,degraded-moderate,test,cosine,matched-degraded,pitch_bin,+90..+135,8,86.875,0.25
G1,degraded-moderate,test,cosine,matched-degraded,pitch_bin,-45..+00,72,91.9444,0.1806
G1,degraded-moderate,test,cosine,matched-degraded,pitch_bin,-90..-45,72,96.25,0.1528
G1,degraded-moderate,test,zscore-neg-L2,matched-degraded,yaw_sector,000-090,67,92.4627,0.194
G1,degraded-moderate,test,zscore-neg-L2,matched-degraded,yaw_sector,090-180,76,85.5263,0.25
G1,degraded-moderate,test,zscore-neg-L2,matched-degraded,yaw_sector,180-270,69,97.4638,0.2464
G1,degraded-moderate,test,zscore-neg-L2,matched-degraded,yaw_sector,270-360,84,91.8452,0.2262
G1,degraded-moderate,test,zscore-neg-L2,matched-degraded,pitch_bin,+00..+45,72,80.4167,0.2778
G1,degraded-moderate,test,zscore-neg-L2,matched-degraded,pitch_bin,+45..+90,72,103.125,0.1806
G1,degraded-moderate,test,zscore-neg-L2,matched-degraded,pitch_bin,+90..+135,8,121.25,0.0
G1,degraded-moderate,test,zscore-neg-L2,matched-degraded,pitch_bin,-45..+00,72,93.5417,0.25
G1,degraded-moderate,test,zscore-neg-L2,matched-degraded,pitch_bin,-90..-45,72,86.3194,0.2361
G1,degraded-moderate,val,neg-L2,clean-template,yaw_sector,000-090,59,67.5424,0.3729
G1,degraded-moderate,val,neg-L2,clean-template,yaw_sector,090-180,64,83.3594,0.2656
G1,degraded-moderate,val,neg-L2,clean-template,yaw_sector,180-270,70,87.3571,0.2286
G1,degraded-moderate,val,neg-L2,clean-template,yaw_sector,270-360,66,80.9848,0.2879
G1,degraded-moderate,val,neg-L2,clean-template,pitch_bin,+00..+45,63,91.9841,0.2063
G1,degraded-moderate,val,neg-L2,clean-template,pitch_bin,+45..+90,63,77.2222,0.2222
G1,degraded-moderate,val,neg-L2,clean-template,pitch_bin,+90..+135,7,89.2857,0.2857
G1,degraded-moderate,val,neg-L2,clean-template,pitch_bin,-45..+00,63,81.9048,0.3333
G1,degraded-moderate,val,neg-L2,clean-template,pitch_bin,-90..-45,63,68.8095,0.381
G1,degraded-moderate,val,cosine,clean-template,yaw_sector,000-090,59,98.6441,0.0
G1,degraded-moderate,val,cosine,clean-template,yaw_sector,090-180,64,26.9531,0.625
G1,degraded-moderate,val,cosine,clean-template,yaw_sector,180-270,70,79.3571,0.0
G1,degraded-moderate,val,cosine,clean-template,yaw_sector,270-360,66,153.5606,0.0
G1,degraded-moderate,val,cosine,clean-template,pitch_bin,+00..+45,63,83.4127,0.1429
G1,degraded-moderate,val,cosine,clean-template,pitch_bin,+45..+90,63,95.873,0.1111
G1,degraded-moderate,val,cosine,clean-template,pitch_bin,+90..+135,7,71.4286,0.2857
G1,degraded-moderate,val,cosine,clean-template,pitch_bin,-45..+00,63,96.5873,0.1587
G1,degraded-moderate,val,cosine,clean-template,pitch_bin,-90..-45,63,85.0,0.1905
G1,degraded-moderate,val,zscore-neg-L2,clean-template,yaw_sector,000-090,59,67.5424,0.3729
G1,degraded-moderate,val,zscore-neg-L2,clean-template,yaw_sector,090-180,64,83.3594,0.2656
G1,degraded-moderate,val,zscore-neg-L2,clean-template,yaw_sector,180-270,70,87.3571,0.2286
G1,degraded-moderate,val,zscore-neg-L2,clean-template,yaw_sector,270-360,66,80.9848,0.2879
G1,degraded-moderate,val,zscore-neg-L2,clean-template,pitch_bin,+00..+45,63,91.9841,0.2063
G1,degraded-moderate,val,zscore-neg-L2,clean-template,pitch_bin,+45..+90,63,77.2222,0.2222
G1,degraded-moderate,val,zscore-neg-L2,clean-template,pitch_bin,+90..+135,7,89.2857,0.2857
G1,degraded-moderate,val,zscore-neg-L2,clean-template,pitch_bin,-45..+00,63,81.9048,0.3333
G1,degraded-moderate,val,zscore-neg-L2,clean-template,pitch_bin,-90..-45,63,68.8095,0.381
G1,degraded-moderate,test,neg-L2,clean-template,yaw_sector,000-090,67,85.6716,0.2836
G1,degraded-moderate,test,neg-L2,clean-template,yaw_sector,090-180,76,82.7632,0.3289
G1,degraded-moderate,test,neg-L2,clean-template,yaw_sector,180-270,69,83.5507,0.2174
G1,degraded-moderate,test,neg-L2,clean-template,yaw_sector,270-360,84,84.881,0.25
G1,degraded-moderate,test,neg-L2,clean-template,pitch_bin,+00..+45,72,80.7639,0.3056
G1,degraded-moderate,test,neg-L2,clean-template,pitch_bin,+45..+90,72,88.6806,0.25
G1,degraded-moderate,test,neg-L2,clean-template,pitch_bin,+90..+135,8,64.375,0.25
G1,degraded-moderate,test,neg-L2,clean-template,pitch_bin,-45..+00,72,78.8889,0.2778
G1,degraded-moderate,test,neg-L2,clean-template,pitch_bin,-90..-45,72,90.6944,0.25
G1,degraded-moderate,test,cosine,clean-template,yaw_sector,000-090,67,105.2239,0.0
G1,degraded-moderate,test,cosine,clean-template,yaw_sector,090-180,76,24.1447,0.7632
