geom,degrade_level,query_split,similarity,template_mode,n_template,n_query,top1_yaw_cmae,top1_yaw_hit@15,top1_yaw_hit@30,top1_yaw_hit@45,top1_pitch_mae,nn_distance_mean,margin_mean,topk1_best_yaw_cmae,topk3_best_yaw_cmae,topk5_best_yaw_cmae,topk10_best_yaw_cmae,topk1_best_yaw_hit@30,topk3_best_yaw_hit@30,topk5_best_yaw_hit@30,topk10_best_yaw_hit@30
G1,degraded-mild,test,zscore-neg-L2,clean-template,2109,296,81.7736,0.2365,0.2905,0.3615,55.2534,0.000107,0.00028,81.7736,32.4324,21.1824,10.0338,0.2905,0.6385,0.7466,0.8784
G3,degraded-mild,val,neg-L2,matched-degraded,2109,259,35.7722,0.7143,0.749,0.7645,44.1892,3e-06,6e-06,35.7722,11.2548,5.8108,2.2008,0.749,0.9151,0.9537,0.9768
G3,degraded-mild,val,cosine,matched-degraded,2109,259,61.6988,0.4942,0.556,0.5792,58.0309,-0.999947,6.7e-05,61.6988,25.5792,13.3784,4.7683,0.556,0.7992,0.8919,0.9575
G3,degraded-mild,val,zscore-neg-L2,matched-degraded,2109,259,35.8108,0.7104,0.749,0.7645,43.8996,0.00833,0.015831,35.8108,11.6409,5.5598,2.2201,0.749,0.9112,0.9575,0.9768
G3,degraded-mild,test,neg-L2,matched-degraded,2109,296,31.6047,0.7466,0.7736,0.7872,45.0845,3e-06,5e-06,31.6047,8.5473,4.5608,2.6182,0.7736,0.9358,0.9628,0.9797
G3,degraded-mild,test,cosine,matched-degraded,2109,296,58.3953,0.5439,0.5912,0.6115,55.2365,-0.999945,8.2e-05,58.3953,24.7804,13.5304,3.8345,0.5912,0.8074,0.8953,0.9696
G3,degraded-mild,test,zscore-neg-L2,matched-degraded,2109,296,31.2838,0.75,0.777,0.7905,47.3649,0.008047,0.012899,31.2838,8.8345,4.7128,2.5845,0.777,0.9324,0.9595,0.9797
G3,degraded-mild,val,neg-L2,clean-template,2109,259,35.1158,0.7297,0.7606,0.7645,44.1699,3e-06,6e-06,35.1158,14.0154,8.8224,3.2239,0.7606,0.8958,0.9305,0.9691
G3,degraded-mild,val,cosine,clean-template,2109,259,50.5405,0.5946,0.6486,0.6525,54.7876,-0.999955,8.4e-05,50.5405,23.9382,16.8533,5.4247,0.6486,0.8031,0.861,0.9614
G3,degraded-mild,val,zscore-neg-L2,clean-template,2109,259,35.0965,0.7259,0.7568,0.7606,44.6525,0.009867,0.015325,35.0965,15.0579,8.9189,3.2239,0.7568,0.8919,0.9305,0.9691
G3,degraded-mild,test,neg-L2,clean-template,2109,296,33.0743,0.7432,0.7703,0.7736,41.9257,3e-06,6e-06,33.0743,11.5541,5.7939,2.6182,0.7703,0.9189,0.9527,0.9797
G3,degraded-mild,test,cosine,clean-template,2109,296,50.5068,0.5845,0.625,0.6385,50.9122,-0.999948,8.6e-05,50.5068,24.527,12.2297,5.5574,0.625,0.7973,0.8851,0.9527
G3,degraded-mild,test,zscore-neg-L2,clean-template,2109,296,32.8547,0.7432,0.7703,0.7736,42.5169,0.008001,0.015453,32.8547,11.098,5.8108,2.6351,0.7703,0.9223,0.9527,0.9797
G5,degraded-mild,val,neg-L2,matched-degraded,2109,259,15.5985,0.8996,0.8996,0.8996,34.3436,1.6e-05,2e-05,15.5985,4.556,1.2741,0.4633,0.8996,0.9653,0.9923,0.9961
G5,degraded-mild,val,cosine,matched-degraded,2109,259,26.8726,0.8263,0.8263,0.8263,42.2973,-0.999494,0.000444,26.8726,7.4131,4.2471,2.8571,0.8263,0.9421,0.9691,0.9768
G5,degraded-mild,val,zscore-neg-L2,matched-degraded,2109,259,18.1467,0.888,0.888,0.888,36.2741,0.034973,0.038802,18.1467,4.9807,1.6795,0.5019,0.888,0.9691,0.9884,0.9961
G5,degraded-mild,test,neg-L2,matched-degraded,2109,296,17.4155,0.8919,0.8919,0.8919,35.2365,1.7e-05,2e-05,17.4155,4.0709,1.4189,0.4054,0.8919,0.973,0.9899,0.9966
G5,degraded-mild,test,cosine,matched-degraded,2109,296,30.2872,0.8142,0.8142,0.8142,42.9899,-0.999465,0.000462,30.2872,9.0372,3.1081,1.3007,0.8142,0.9459,0.9764,0.9865
G5,degraded-mild,test,zscore-neg-L2,matched-degraded,2109,296,16.8919,0.8953,0.8953,0.8953,36.3514,0.031901,0.036141,16.8919,4.3919,1.7399,0.7264,0.8953,0.9696,0.9865,0.9932
G5,degraded-mild,val,neg-L2,clean-template,2109,259,11.9112,0.9228,0.9228,0.9228,32.2394,1.4e-05,2e-05,11.9112,3.6293,2.7799,0.7722,0.9228,0.973,0.9807,0.9923
G5,degraded-mild,val,cosine,clean-template,2109,259,23.0695,0.8533,0.8533,0.8533,36.8147,-0.999501,0.00046,23.0695,8.0888,3.5328,2.1429,0.8533,0.9421,0.973,0.9846
G5,degraded-mild,val,zscore-neg-L2,clean-template,2109,259,15.3475,0.9035,0.9035,0.9035,33.1467,0.027406,0.039393,15.3475,4.112,2.6448,0.4826,0.9035,0.973,0.9807,0.9961
G5,degraded-mild,test,neg-L2,clean-template,2109,296,13.5473,0.9189,0.9189,0.9189,31.1655,1.5e-05,2.2e-05,13.5473,3.0405,0.6081,0.4561,0.9189,0.9831,0.9966,0.9966
G5,degraded-mild,test,cosine,clean-template,2109,296,22.4324,0.8615,0.8615,0.8615,38.6486,-0.999465,0.000431,22.4324,8.2095,2.9561,1.5034,0.8615,0.9493,0.9797,0.9865
G5,degraded-mild,test,zscore-neg-L2,clean-template,2109,296,15.6419,0.902,0.9054,0.9054,33.8682,0.027018,0.039788,15.6419,5.3885,1.4358,0.4054,0.9054,0.9662,0.9899,0.9966
G1,degraded-moderate,val,neg-L2,matched-degraded,2109,259,85.7143,0.2201,0.2819,0.3205,60.8108,0.0,0.0,85.7143,38.2625,20.1931,8.7645,0.2819,0.5792,0.7838,0.9266
G1,degraded-moderate,val,cosine,matched-degraded,2109,259,89.7104,0.0811,0.1544,0.2432,46.7568,-1.0,0.0,89.7104,48.2625,46.9305,45.7143,0.1544,0.3205,0.3359,0.3475
G1,degraded-moderate,val,zscore-neg-L2,matched-degraded,2109,259,85.7143,0.2201,0.2819,0.3205,60.8108,0.00018,0.000127,85.7143,38.2625,20.1931,8.7645,0.2819,0.5792,0.7838,0.9266
G1,degraded-moderate,test,neg-L2,matched-degraded,2109,296,91.6723,0.1959,0.2297,0.2703,62.6014,0.0,0.0,91.6723,38.4459,22.973,10.152,0.2297,0.5709,0.7432,0.9155
G1,degraded-moderate,test,cosine,matched-degraded,2109,296,91.5709,0.098,0.1959,0.2804,46.7568,-1.0,0.0,91.5709,42.4493,41.0304,39.8311,0.1959,0.3953,0.4155,0.4392
G1,degraded-moderate,test,zscore-neg-L2,matched-degraded,2109,296,91.6723,0.1959,0.2297,0.2703,62.6014,0.000188,0.000139,91.6723,38.4459,22.973,10.152,0.2297,0.5709,0.7432,0.9155
G1,degraded-moderate,val,neg-L2,clean-template,2109,259,80.2317,0.2239,0.2857,0.3359,61.0232,0.0,0.0,80.2317,35.4054,23.61,12.4517,0.2857,0.6062,0.7336,0.8803
G1,degraded-moderate,val,cosine,clean-template,2109,259,89.7104,0.0811,0.1544,0.2432,47.4324,-1.0,0.0,89.7104,87.1622,45.7143,45.7143,0.1544,0.166,0.3475,0.3475
G1,degraded-moderate,val,zscore-neg-L2,clean-template,2109,259,80.2317,0.2239,0.2857,0.3359,61.0232,0.000692,0.000344,80.2317,35.4054,23.61,12.4517,0.2857,0.6062,0.7336,0.8803
G1,degraded-moderate,test,neg-L2,clean-template,2109,296,84.2061,0.223,0.2703,0.3209,56.402,0.0,0.0,84.2061,41.8074,28.4966,15.6588,0.2703,0.527,0.6791,0.8345
G1,degraded-moderate,test,cosine,clean-template,2109,296,91.5709,0.098,0.1959,0.2804,47.4324,-1.0,0.0,91.5709,88.9527,39.8311,39.8311,0.1959,0.2196,0.4392,0.4392
G1,degraded-moderate,test,zscore-neg-L2,clean-template,2109,296,84.2061,0.223,0.2703,0.3209,56.402,0.000712,0.000632,84.2061,41.8074,28.4966,15.6588,0.2703,0.527,0.6791,0.8345
G3,degraded-moderate,val,neg-L2,matched-degraded,2109,259,51.6988,0.5714,0.6332,0.6525,60.2124,6e-06,6e-06,51.6988,17.973,9.4402,3.668,0.6332,0.8417,0.9151,0.9653
G3,degraded-moderate,val,cosine,matched-degraded,2109,259,78.3398,0.3784,0.4479,0.4672,59.8069,-0.999925,4.4e-05,78.3398,30.7529,19.0347,9.4015,0.4479,0.7452,0.8417,0.9189
G3,degraded-moderate,val,zscore-neg-L2,matched-degraded,2109,259,51.5637,0.5676,0.6332,0.6525,60.2124,0.017705,0.014867,51.5637,17.1815,9.0734,4.0154,0.6332,0.8456,0.9151,0.9614
G3,degraded-moderate,test,neg-L2,matched-degraded,2109,296,51.5709,0.5777,0.625,0.6453,55.4054,6e-06,3e-06,51.5709,19.7297,10.3378,2.6014,0.625,0.848,0.9088,0.9797
G3,degraded-moderate,test,cosine,matched-degraded,2109,296,74.0034,0.3851,0.4459,0.4831,58.2095,-0.999929,7.2e-05,74.0034,27.4155,16.5372,7.3818,0.4459,0.7568,0.8514,0.9426
G3,degraded-moderate,test,zscore-neg-L2,matched-degraded,2109,296,52.3649,0.5642,0.6182,0.6385,55.4561,0.01774,0.009322,52.3649,19.375,9.527,2.8041,0.6182,0.8514,0.9155,0.9764
