epoch,train_loss,grad_norm_mean,grad_finite,val_yaw_cmae_deg,val_yaw_hit@10,val_pitch_mae_deg,val_yaw_exact_sentinel
1,0.46825418287310105,0.39820319729575715,True,152.0275834131425,0.0,46.36644820172814,0.0
2,0.4446897434777227,0.24359187645253613,True,138.679924865487,0.0,46.328983885901316,0.0
3,0.444535859699907,0.2558724776667025,True,140.16321219072378,0.0,46.45752233704085,0.0
4,0.4442442527105068,0.24412390247024912,True,133.8514657628122,0.0,46.54037754876273,0.0
5,0.4420967086635787,0.20992641268861928,True,152.19836773375286,0.0,46.36595710732302,0.0
6,0.4436964690685272,0.21621987572824233,True,140.18380637150474,0.0,46.28868243052232,0.0
7,0.44283219452562006,0.20897754111652692,True,147.5522265931354,0.0,46.320290645117005,0.0
8,0.4434966290819234,0.2171958678791724,True,149.01474175766168,0.0,46.32951410057232,0.0
9,0.4424281418323517,0.19612083380505255,True,140.2037904952944,0.0,46.34345641237428,0.0
10,0.4415757203924245,0.23162640422160813,True,137.32432190884035,0.0,46.404028796781446,0.0
11,0.4411203028826878,0.21118535655270038,True,151.17121262716051,0.0,46.391608913116244,0.0
12,0.43993106587179776,0.23960475293374656,True,153.24993825787283,0.0,46.65872207340788,0.0
13,0.4386183568115892,0.2566837127536377,True,146.72548760962763,0.0,46.70636591612106,0.0
14,0.43639831244945526,0.3989767524825656,True,140.21659185343267,0.0,47.014131157036914,0.0
15,0.43002656256330424,0.4259295407362734,True,166.22490860044266,0.0,46.72945416885568,0.0
16,0.41924905365911025,0.8527498771619983,True,169.71194946996033,0.0,47.039510243647804,0.0
17,0.40148666603811856,1.2687179392111982,True,168.64123541047675,0.0,47.05986139605462,0.0
18,0.3824552919330268,2.005730237314723,True,167.0914574995004,0.0,46.94563976595085,0.0
19,0.36809945312039605,2.4048051211591757,True,146.07756122014698,0.0,47.23462659302509,0.0
20,0.3592007211570082,2.920783003474173,True,154.58074618306398,0.0,47.0100825403648,0.0
