label,yaw_deg,pitch_deg,roll,ocs_total,ocs_jinshuzhuti,ocs_taiyangnengban,ocs_yinshenban,n_pixels_contributing,source
yaw2425_pitchp0225_roll+015,242.5,22.5,15.0,0.20368336141109467,0.19327542185783386,0.0016338954446837306,0.008774029091000557,4146,23B_new
yaw2450_pitchp0250_roll+015,245.0,25.0,15.0,0.20322741568088531,0.1928253471851349,0.001646331395022571,0.008755774237215519,4062,23B_new
yaw2425_pitchp0250_roll+015,242.5,25.0,15.0,0.20202982425689697,0.19164752960205078,0.0016502690268680453,0.008732018060982227,4178,23B_new
yaw2450_pitchp0225_roll+015,245.0,22.5,15.0,0.20067910850048065,0.1903761923313141,0.0015279846265912056,0.008774944581091404,4058,23B_new
yaw2475_pitchp0250_roll+015,247.5,25.0,15.0,0.18273191154003143,0.17265839874744415,0.0014460866805166006,0.008627427741885185,3978,23B_new
yaw2475_pitchp0225_roll+015,247.5,22.5,15.0,0.1742192804813385,0.16409169137477875,0.0015417347894981503,0.00858583115041256,3960,23B_new
