yaw,pitch,total_ocs_m2,metal_body_ocs_m2,solar_panel_ocs_m2,baffle_ocs_m2,occlusion_ratio_frac
0.0,-90.0,0.0119999790347302,0.0024330038096705,0.0093455576077246,0.000221417617335,0.6855209518030154
5.0,-90.0,0.0109165882246384,0.0014376959116889,0.0090755788017479,0.0004033135112015,0.6886177456869866
10.0,-90.0,0.0105773807988124,0.000950361428946,0.0090333393919489,0.0005936799779174,0.7235613524602025
15.0,-90.0,0.0112607987571555,0.0014652027925658,0.0090191533532349,0.0007764426113547,0.7467253462915213
20.0,-90.0,0.0120951600440466,0.0021157357971181,0.0090257416890616,0.0009536825578667,0.8339343606090532
25.0,-90.0,0.0127920967792919,0.0026585631360123,0.0090375153142552,0.0010960183290243,0.8424025381375129
30.0,-90.0,0.0134613768495583,0.0031824040822733,0.0090497397341181,0.0012292330331669,0.7447220198478055
35.0,-90.0,0.011985525008289,0.0015849804705039,0.0090744302701836,0.0013261142676014,0.7291236597890993
40.0,-90.0,0.0112145968597414,0.0007502649878797,0.0090811642170154,0.0013831676548462,0.7273144261938579
45.0,-90.0,0.0111661113058105,0.0006686119655773,0.0090770623205768,0.0014204370196563,0.7065053133821011
50.0,-90.0,0.0112183073062892,0.0007120434833546,0.0090815525170484,0.0014247113058861,0.6925529917184299
55.0,-90.0,0.0110378704849643,0.0005629863965911,0.0090783548842777,0.0013965292040954,0.6815877880828771
60.0,-90.0,0.0109303317950694,0.0005200250290685,0.0090720890985444,0.0013382176674564,0.6823009550670839
65.0,-90.0,0.0108291970011877,0.0005246272938074,0.0090644575347299,0.0012401121726503,0.6723202904035638
70.0,-90.0,0.0107350617196468,0.0005760641647199,0.0090353406929729,0.0011236568619539,0.6712793275279234
75.0,-90.0,0.0108310996763624,0.0009052374250975,0.0089526586928405,0.0009732035584243,0.6684623557014728
80.0,-90.0,0.0104270127089556,0.0006751077059143,0.0089411722282117,0.0008107327748295,0.6775238067712641
85.0,-90.0,0.0102452685186411,0.000680938862799,0.0089251572431554,0.0006391724126866,0.6834945876544194
90.0,-90.0,0.010528271521081,0.0015224079075834,0.0085742657680199,0.0004315978454776,0.6789376986576285
95.0,-90.0,0.0118283349033651,0.0026908471945112,0.008901320422104,0.0002361672867497,0.6514432050272911
100.0,-90.0,0.0095598173438078,0.0007126235466524,0.0086244307456656,0.0002227630514897,0.7096100560850196
105.0,-90.0,0.0095678520192065,0.0010126291006558,0.0083163595519708,0.0002388633665798,0.7389477442192955
110.0,-90.0,0.0096105821602865,0.0020844107402881,0.0072693306341429,0.0002568407858555,0.827482711837026
115.0,-90.0,0.0096859127257897,0.0025840268855639,0.0068315581701733,0.0002703276700524,0.8369665604283167
120.0,-90.0,0.0085781254307312,0.0014750936292203,0.0068206576454337,0.0002823741560772,0.7836061543380288
125.0,-90.0,0.0078263237085204,0.0007631071684817,0.0067718980226639,0.0002913185173747,0.767708170627383
130.0,-90.0,0.0072298484829125,0.0008779296109882,0.0060451805472051,0.0003067383247191,0.7864304374786287
135.0,-90.0,0.0075880559288385,0.0017489823054746,0.0055340711004859,0.0003050025228779,0.798006286697448
140.0,-90.0,0.0059890511867651,0.0007541689872577,0.0049382517926743,0.000296630406833,0.8314088369424676
145.0,-90.0,0.0058572327741051,0.0006283879146443,0.0049262647074958,0.0003025801519648,0.819619510485243
150.0,-90.0,0.006037571804009,0.0007940877326983,0.0049460650353772,0.0002974190359334,0.8126655333200541
155.0,-90.0,0.0068753910226604,0.0011950521836742,0.0053908554843337,0.0002894833546524,0.7905038909711384
160.0,-90.0,0.0071122466905331,0.0017327285719731,0.0050917847021265,0.0002877334164334,0.7886227807828848
165.0,-90.0,0.0078475330016226,0.0024213826862777,0.0051458521081778,0.0002802982071669,0.774850721849008
170.0,-90.0,0.0089426976009942,0.0029919813326128,0.0056947940568525,0.0002559222115287,0.749555309207022
175.0,-90.0,0.0070343013939714,0.0013168753538898,0.0054809584155828,0.0002364676244987,0.7964241971454632
180.0,-90.0,0.0082205848828678,0.0023071691619017,0.0056933684248618,0.0002200472961042,0.7659326657573307
185.0,-90.0,0.0071099799424059,0.0011745747247356,0.0055623405377156,0.0003730646799546,0.7981893162629599
190.0,-90.0,0.0068708765310621,0.0006895679650429,0.0056439565248298,0.0005373520411893,0.8325169411198025
195.0,-90.0,0.0074267092058631,0.0011085753277352,0.0056219585453569,0.0006961753327708,0.8736475995273002
200.0,-90.0,0.0080994854668657,0.0015277438284387,0.0057240439956368,0.00084769764279,0.9568028612522524
205.0,-90.0,0.0073580252518785,0.0012502527513262,0.0051304473470914,0.0009773251534608,0.9707154354467888
210.0,-90.0,0.0081011381050788,0.0013101916663041,0.0056864295998092,0.0011045168389655,0.8957032804463788
215.0,-90.0,0.0091374983526554,0.0023323233880122,0.0056160444561507,0.0011891305084924,0.8176872754496854
220.0,-90.0,0.0091829983575281,0.0010811947636901,0.0068626092169967,0.0012391943768413,0.7815107903408489
225.0,-90.0,0.0085220839235325,0.001098296669233,0.0061616625279916,0.0012621247263077,0.823371364684011
230.0,-90.0,0.009219512632018,0.0019172672698886,0.0060338354476022,0.0012684099145272,0.7883676417488635
235.0,-90.0,0.0104573019210993,0.0025000676347206,0.0067003150109587,0.00125691927542,0.7446452174725153
240.0,-90.0,0.0215151799988211,0.0129604310438267,0.0073485639025502,0.0012061850524441,0.5812146025681582
245.0,-90.0,0.0236444032718269,0.0151974429213356,0.0073406123371845,0.0011063480133067,0.5356071340543768
250.0,-90.0,0.0118986828769176,0.0037309282555281,0.0071750228651403,0.0009927317562491,0.6845087773522673
255.0,-90.0,0.0104171880727285,0.0024479273348929,0.0071100390875326,0.000859221650303,0.7147325146931318
260.0,-90.0,0.0097381548743382,0.0019190538573671,0.0070937152276805,0.0007253857892905,0.7425703508589054
265.0,-90.0,0.009609510542073,0.0019631051265696,0.007078780483101,0.0005676249324023,0.7476234740074897
270.0,-90.0,0.0097126797262777,0.0021006818983552,0.0072286497345046,0.0003833480934178,0.7393788968877588
275.0,-90.0,0.0110991348472865,0.0041702422994452,0.0067113519034035,0.0002175406444377,0.732207293408077
280.0,-90.0,0.0195866293746859,0.0126516624902494,0.0067258768205487,0.0002090900638877,0.6104882843051141
285.0,-90.0,0.0125320172748661,0.0051079769862577,0.0071970733883944,0.0002269669002139,0.7122616406717253
290.0,-90.0,0.0110552365172904,0.0038152679151183,0.0069736701279742,0.0002662984741978,0.8217801242941875
295.0,-90.0,0.0110021927863212,0.0030282616215022,0.0076735117826012,0.0003004193822177,0.8366342513406768
300.0,-90.0,0.0101382316123082,0.0020269257020376,0.0078000889079132,0.0003112170023573,0.7525032692427835
305.0,-90.0,0.009600758599462,0.0014851885599013,0.0077966954029707,0.0003188746365899,0.7258328586378965
310.0,-90.0,0.0104335545909426,0.0016090632809384,0.0085214474905012,0.0003030438195029,0.6942997903591928
315.0,-90.0,0.0114478479804489,0.0025516624210132,0.0085803765246639,0.0003158090347717,0.6777517455900535
320.0,-90.0,0.0104147710320868,0.0013817999978282,0.0087356830909053,0.0002972879433532,0.7099774959867435
325.0,-90.0,0.0101157793670376,0.001116676823784,0.0087261221336855,0.0002729804095681,0.7040569082639709
330.0,-90.0,0.0099780020259955,0.0010623875431905,0.0086376640774437,0.0002779504053611,0.6988310572590836
335.0,-90.0,0.0108372330282921,0.0015921962260987,0.0089738019222873,0.000271234879906,0.677634427330626
340.0,-90.0,0.0152015431091022,0.0059095774615863,0.0090273435641034,0.0002646220834124,0.6394274622797191
345.0,-90.0,0.0179340153418746,0.0086587177924753,0.009019400593063,0.0002558969563362,0.6205031483655906
350.0,-90.0,0.0128189407781012,0.0035610420121197,0.0090134408232462,0.0002444579427352,0.6564912293938656
355.0,-90.0,0.0107151715745844,0.0014293312487844,0.0090542467488075,0.0002315935769924,0.6958231720891009
360.0,-90.0,0.0119999790347301,0.0024330038096703,0.0093455576077246,0.000221417617335,0.6855209518030176
0.0,-85.0,0.0109637314879088,0.001038639490627,0.0097045152432524,0.0002205767540293,0.6946164945055973
5.0,-85.0,0.0109539763663594,0.0011674202998814,0.0094342350333426,0.0003523210331354,0.7244118623005054
10.0,-85.0,0.0123650751329899,0.0024704941057563,0.0094098374100425,0.0004847436171911,0.7479306135871655
15.0,-85.0,0.012680132603406,0.0027004301466129,0.009367377938686,0.000612324518107,0.8292500757120225
20.0,-85.0,0.0150350790500754,0.0049325841874774,0.0093678755330643,0.0007346193295335,0.7638982662432947
25.0,-85.0,0.0125463245671328,0.0023348830045684,0.0093751566040467,0.0008362849585176,0.730749031191793
30.0,-85.0,0.0112740307691119,0.0009704203046675,0.0093833426622302,0.000920267802214,0.7186007089626296
35.0,-85.0,0.0110344480048588,0.0006645235095258,0.0093897461409482,0.0009801783543846,0.708631544922502
40.0,-85.0,0.0110463633318489,0.0006440383930062,0.0093860237873416,0.0010163011515009,0.7066596361554778
45.0,-85.0,0.01103950163931,0.0005993908500108,0.009391979686149,0.0010481311031501,0.7112217230239145
50.0,-85.0,0.0109759584914767,0.0005225814817785,0.0094074871619098,0.0010458898477884,0.688026758166701
55.0,-85.0,0.0109231701715748,0.0004971744695718,0.0094049085410066,0.0010210871609963,0.681948473297781
60.0,-85.0,0.0108615831690485,0.0004935799484837,0.0094018234590173,0.0009661797615474,0.6775752119459378
65.0,-85.0,0.0108012705232596,0.0005080916117695,0.0093946895956238,0.0008984893158662,0.6778990883347389
70.0,-85.0,0.010719252952504,0.0005791721014694,0.0093284618511942,0.0008116189998404,0.6792731544404494
75.0,-85.0,0.0105142775143998,0.0005318592462161,0.0092844845347884,0.0006979337333952,0.6845924880169152
80.0,-85.0,0.0105621149368002,0.0007139850349299,0.0092604707260456,0.0005876591758246,0.68368347291099
85.0,-85.0,0.010555118724548,0.0012221367812339,0.0088908725346802,0.0004421094086338,0.6886812246700855
90.0,-85.0,0.0103402850052383,0.0010827708165775,0.0089600158551973,0.0002974983334634,0.6955695276853627
95.0,-85.0,0.0100418976490583,0.0009340860886396,0.0089002734412266,0.000207538119192,0.7182663889615533
100.0,-85.0,0.0108408336031692,0.001467760056489,0.009153438094303,0.0002196354523771,0.7599372027057172
105.0,-85.0,0.0112482098682223,0.0026333480543009,0.0083825389839737,0.0002323228299475,0.8316954027445498
110.0,-85.0,0.009565692731943,0.0017894290791758,0.007537202702126,0.0002390609506411,0.8155752134304805
115.0,-85.0,0.0080148908599495,0.0009875884859121,0.0067793818997293,0.000247920474308,0.7940412835096603
120.0,-85.0,0.0080305835405902,0.0008298942718067,0.0069457635874672,0.0002549256813162,0.7703797899612717
125.0,-85.0,0.0084996254190036,0.0018463896810902,0.0063831817341366,0.0002700540037767,0.7930257704592252
130.0,-85.0,0.00827684502408,0.0018388461990243,0.0061643144795099,0.0002736843455458,0.8267520413312132
135.0,-85.0,0.0062275458088071,0.0007642738477847,0.0051877966010488,0.0002754753599735,0.8274156063671387
140.0,-85.0,0.0060772979111871,0.0007139436642724,0.0050975144683665,0.0002658397785482,0.8195510396660248
145.0,-85.0,0.006703971104952,0.0010149830113937,0.0054171601298278,0.0002718279637304,0.8022826210974705
150.0,-85.0,0.0068461916066977,0.0012431614953433,0.0053350562633817,0.0002679738479726,0.8006586726510165
155.0,-85.0,0.0071132925196825,0.0013467055723038,0.005504142029844,0.0002624449175346,0.7921274404274063
160.0,-85.0,0.0074439117636422,0.0017541533844589,0.005426702414701,0.0002630559644821,0.7911268943892783
165.0,-85.0,0.0079732464250806,0.0013716308112006,0.0063621893875554,0.0002394262263246,0.7879066122793855
170.0,-85.0,0.007493687046407,0.0012006331014269,0.0060638779618243,0.0002291759831557,0.7960419814535039
175.0,-85.0,0.0077868519065793,0.0018171193111558,0.005751901007752,0.0002178315876714,0.7843327410298412
180.0,-85.0,0.0076745373462403,0.0008277537691493,0.0066410007074647,0.0002057828696262,0.7917566170284487
185.0,-85.0,0.0069091404890854,0.0008075922890815,0.0057825401853097,0.0003190080146941,0.8445391906683263
190.0,-85.0,0.0083661215173879,0.0021050151569142,0.0058267037655038,0.0004344025949698,0.882928802007429
195.0,-85.0,0.0081806828891671,0.001756108977892,0.0058795123217164,0.0005450615895586,0.9505240200680096
200.0,-85.0,0.0084937617321961,0.0018218488848518,0.0060061799704947,0.0006657328768495,0.9252924055269356
205.0,-85.0,0.0080582312863842,0.0011340230572556,0.0061701046310742,0.0007541035980544,0.8717914985538978
210.0,-85.0,0.0084739086232835,0.0008246490826728,0.006821134453199,0.0008281250874116,0.8245088892369854
215.0,-85.0,0.0091396719330794,0.001318666860335,0.0069363232368885,0.0008846818358558,0.7889650332506857
220.0,-85.0,0.009610679408915,0.0016055665018338,0.0070857033222952,0.0009194095847859,0.7853865356718759
225.0,-85.0,0.0093144502007787,0.0015221242818857,0.0068492697893271,0.0009430561295658,0.7841825759209862
230.0,-85.0,0.010356994950659,0.0025506676616104,0.0068645477565508,0.0009417795324977,0.7521588331511484
235.0,-85.0,0.012989552892202,0.0039308532537706,0.0081388253267921,0.0009198743116392,0.7049580060116261
240.0,-85.0,0.0122380666255865,0.0031858263916078,0.0081936988343541,0.0008585413996245,0.699202503244168
245.0,-85.0,0.0115739815827486,0.0024398862453498,0.008346420367117,0.0007876749702818,0.704906702130292
250.0,-85.0,0.0115032528335474,0.002458364849539,0.0083374583725971,0.0007074296114112,0.7223681110902913
255.0,-85.0,0.0115994083023232,0.0031775161885143,0.0078052500186312,0.0006166420951776,0.7392733844971335
260.0,-85.0,0.0127883739724032,0.0044741780393588,0.0077933828138231,0.0005208131192212,0.7034326037030764
265.0,-85.0,0.0119342885067152,0.0037475804887763,0.0077836301625683,0.0004030778553705,0.7400844951399568
270.0,-85.0,0.0183734406204293,0.0104452152927349,0.007664596693195,0.0002636286344993,0.6917358418072741
275.0,-85.0,0.0195815372226011,0.011452438771952,0.0079407165290171,0.0001883819216319,0.6166170001051192
280.0,-85.0,0.0122272732689157,0.0043691583160191,0.0076563709757467,0.0002017439771499,0.7495631045171816
285.0,-85.0,0.0122901459120647,0.0038338479422211,0.0082426025567741,0.0002136954130694,0.8217029008979957
290.0,-85.0,0.0121718162357905,0.0032302247947667,0.0086830337280342,0.0002585577129894,0.7675713503339623
295.0,-85.0,0.0114219277543714,0.0023700116201857,0.0087841788811059,0.0002677372530797,0.7168921501470783
300.0,-85.0,0.0110139803944537,0.001924558779446,0.0088219603738577,0.0002674612411498,0.6969632412749237
305.0,-85.0,0.0120787341205916,0.0029994929613014,0.0088146238386692,0.0002646173206208,0.6791474182495879
310.0,-85.0,0.0123045791660746,0.0029958200726841,0.009043870880498,0.0002648882128925,0.6845578447809681
315.0,-85.0,0.010968927016797,0.001653940833512,0.0090441488921812,0.0002708372911037,0.718072140010814
320.0,-85.0,0.0106504137828508,0.0014367191711261,0.0089528844912128,0.0002608101205118,0.7154421725370127
325.0,-85.0,0.0108836279705566,0.0013727467668536,0.0092561215212437,0.0002547596824592,0.6926105733935162
330.0,-85.0,0.0114540640268111,0.001889840853262,0.0093043155327097,0.0002599076408392,0.6800241117844477
335.0,-85.0,0.0128501480703247,0.0032785049493792,0.0093172288592021,0.0002544142617433,0.6634490730918114
340.0,-85.0,0.0125916961104815,0.0029829651898031,0.0093588876414625,0.0002498432792159,0.667999571381278
345.0,-85.0,0.0111398502999816,0.0015496466367344,0.0093473249623564,0.0002428787008907,0.7114102958985276
350.0,-85.0,0.0108453683477484,0.0012678792758115,0.0093430050336331,0.0002344840383037,0.7198010816346412
355.0,-85.0,0.0115048622435268,0.0018847418436944,0.0093921198677595,0.0002280005320727,0.6890172900323258
360.0,-85.0,0.0109637314879088,0.001038639490627,0.0097045152432524,0.0002205767540293,0.6946164945055974
0.0,-80.0,0.0117809053576277,0.0016468360195305,0.009919918800807,0.00021415053729,0.717849499311191
5.0,-80.0,0.0122809598652483,0.002339584940218,0.0096497691005732,0.0002916058244571,0.8063617317512428
10.0,-80.0,0.0139175043290729,0.0038928186805025,0.0096573404360905,0.0003673452124799,0.8191350438709386
15.0,-80.0,0.0135491428960779,0.003458043097634,0.0096523950562282,0.0004387047422155,0.748143022897846
20.0,-80.0,0.0113642166926113,0.001298768249036,0.0095665235047374,0.0004989249388378,0.7280231053199248
25.0,-80.0,0.0109163256688736,0.0007928628226006,0.0095674523230094,0.0005560105232634,0.712357590284821
30.0,-80.0,0.0108734957901459,0.0006996730309312,0.0095719147819817,0.0006019079772328,0.7081068981824621
35.0,-80.0,0.0108315843068473,0.0006145225092385,0.009575322106717,0.0006417396908916,0.7304618900793918
40.0,-80.0,0.0108184925699928,0.0005850192104302,0.009569304699681,0.0006641686598816,0.7039793896000381
45.0,-80.0,0.0107886739952456,0.000539085633728,0.0095747649628352,0.0006748233986824,0.6887959672591535
50.0,-80.0,0.0107881643083575,0.000542746850229,0.0095742181091081,0.0006711993490203,0.68324455238269
55.0,-80.0,0.0107636248336752,0.0005356752785714,0.0095735995750941,0.0006543499800096,0.6827362496640956
60.0,-80.0,0.0107997478752326,0.0006120704009604,0.0095713339239512,0.0006163435503208,0.6812783257629769
65.0,-80.0,0.0107308996754245,0.0006105311498469,0.0095458042386663,0.0005745642869113,0.6827264545619689
70.0,-80.0,0.0105647549400618,0.0005789689340154,0.0094709887812441,0.0005147972248023,0.6877526416628597
75.0,-80.0,0.0106474293073317,0.0007417412100666,0.0094539854660371,0.0004517026312278,0.6872055642833212
80.0,-80.0,0.0107526124981879,0.0010151415366038,0.009354719223439,0.000382751738145,0.6884428208638933
85.0,-80.0,0.0104618044866092,0.001076726833897,0.0090891756523099,0.0002959020004022,0.7069428969766831
90.0,-80.0,0.0114126174270953,0.0017662849901178,0.0094440154915379,0.0002023169454395,0.7195748200536418
95.0,-80.0,0.0129878726210083,0.0036568817783698,0.0091345066710618,0.0001964841715766,0.8110439312610472
100.0,-80.0,0.013134125129385,0.0043743281497875,0.0085567229377345,0.0002030740418629,0.8149899470959725
105.0,-80.0,0.009327186056784,0.0014316277267307,0.0076861163399411,0.0002094419901121,0.799243256154426
110.0,-80.0,0.0083553582748113,0.0010333203177426,0.007107535913604,0.0002145020434646,0.773772288055603
115.0,-80.0,0.0091006668961384,0.001742511176376,0.0071389139718707,0.0002192417478916,0.7562668430941927
120.0,-80.0,0.0141481723881441,0.0068392984560394,0.0070855140470815,0.0002233598850231,0.7424602722455499
125.0,-80.0,0.0087219942586016,0.0021397939998975,0.0063459474149044,0.0002362528437996,0.7865875337498172
130.0,-80.0,0.0069363636575012,0.0009243056725377,0.0057738358138164,0.000238222171147,0.8049644358486294
135.0,-80.0,0.0064737604905377,0.0009850824985926,0.0052499136475414,0.0002387643444036,0.8125837582334879
140.0,-80.0,0.0070016769522517,0.0015361358456074,0.0052187044418238,0.0002468366648203,0.8034359794365002
145.0,-80.0,0.007040230649022,0.001222270568338,0.0055724166816774,0.0002455433990066,0.7987427637392238
150.0,-80.0,0.0070871978900316,0.001251396265189,0.0056024300562014,0.0002333715686411,0.797585295819091
155.0,-80.0,0.0069568647032559,0.0012355880361355,0.0054834725270955,0.0002378041400248,0.8222014045268415
160.0,-80.0,0.0068578863909594,0.0010803674159894,0.0055439724897488,0.0002335464852211,0.815877378302148
165.0,-80.0,0.0076574980976062,0.0012763263597186,0.0061532071071697,0.0002279646307177,0.7908922633868144
170.0,-80.0,0.0073539283571405,0.0009631794776704,0.0061688091206236,0.0002219397588464,0.8006901872006437
175.0,-80.0,0.0071793088392755,0.0008244511090334,0.0061396372881859,0.0002152204420561,0.8196016357430729
