panel,condition,ocs_only_flat_deg,naive_fusion_deg,u1_fusion_deg,image_only_deg,ocs_noise_pct,ocs_only_deg,ocs_only_std,fusion_deg,fusion_std,fusion_gain_deg
a_image_degradation,clean,5.91,1.56501239529446,1.9479903189734051,1.7242356126410971,,,,,,
a_image_degradation,noise_0.01,5.91,75.08479712897481,1.948779679449769,,,,,,,
a_image_degradation,noise_0.10,5.91,72.48093819847836,2.3091065089804994,,,,,,,
b_ocs_degradation,ocs_noise_0pct,,,,,0.0,5.908899199145058,0.2183636167479932,3.9343623617745194,0.4550502238050026,1.9745368373705383
b_ocs_degradation,ocs_noise_1pct,,,,,1.0,5.501255236020787,0.39242944169080424,3.7690105090706334,0.4894043019753694,1.732244726950154
b_ocs_degradation,ocs_noise_5pct,,,,,5.0,7.2692715134015415,0.645952993852743,4.653302846415414,0.5722903379214557,2.6159686669861273
b_ocs_degradation,ocs_noise_10pct,,,,,10.0,9.987204686626612,0.349208522309113,6.690400795808327,1.3373151621284254,3.2968038908182846
b_ocs_degradation,ocs_noise_20pct,,,,,20.0,17.252038317545225,0.7149001727720158,10.957293018167821,2.506280707604428,6.294745299377404
