geom_id,pose_id,label,camera_exr_src,sun_exr_src,ocs_total,image_usable,status,failed_reason
Hsm_v0,F3_edge,yaw240_pitch+015_roll+015,REUSED_BASELINE,REUSED_26/G2_sun_minus,0.1944742351770401,True,COMPLETE,
Hs0_vp,A_top1,yaw2450_pitchp0275_roll+015,REUSED_26/G3_view_plus,REUSED_BASELINE,0.1875115931034088,True,COMPLETE,
Hs0_vp,B_R4,yaw1475_pitchp0125_roll+000,REUSED_26/G3_view_plus,REUSED_BASELINE,0.1689455658197403,True,COMPLETE,
Hs0_vp,C_R3,yaw055_pitch+060_roll+000,REUSED_26/G3_view_plus,REUSED_BASELINE,0.03979351371526718,True,COMPLETE,
Hs0_vp,D1,yaw2450_pitchp0300_roll+015,REUSED_26/G3_view_plus,REUSED_BASELINE,0.18114528059959412,True,COMPLETE,
Hs0_vp,D2,yaw2450_pitchp0325_roll+015,REUSED_26/G3_view_plus,REUSED_BASELINE,0.17550508677959442,True,COMPLETE,
Hs0_vp,D3,yaw2475_pitchp0375_roll+015,REUSED_26/G3_view_plus,REUSED_BASELINE,0.1644652634859085,True,COMPLETE,
Hs0_vp,D4,yaw2425_pitchp0225_roll+015,REUSED_26/G3_view_plus,REUSED_BASELINE,0.190316304564476,True,COMPLETE,
Hs0_vp,D5_roll125,yaw2450_pitchp0275_roll+0125,REUSED_26/G3_view_plus,REUSED_BASELINE,0.14897216856479645,True,COMPLETE,
Hs0_vp,D6_roll175,yaw2475_pitchp0300_roll+0175,REUSED_26/G3_view_plus,REUSED_BASELINE,0.20491532981395721,True,COMPLETE,
Hs0_vp,E1_R4roll-15,yaw1475_pitchp0125_roll-015,REUSED_26/G3_view_plus,REUSED_BASELINE,0.16874389350414276,True,COMPLETE,
Hs0_vp,E2_R4roll+15,yaw1475_pitchp0125_roll+015,REUSED_26/G3_view_plus,REUSED_BASELINE,0.1665172576904297,True,COMPLETE,
Hs0_vp,F1_edge,yaw2425_pitchp0275_roll+015,REUSED_26/G3_view_plus,REUSED_BASELINE,0.17654801905155182,True,COMPLETE,
Hs0_vp,F2_edge,yaw2475_pitchp0300_roll+015,REUSED_26/G3_view_plus,REUSED_BASELINE,0.17492923140525818,True,COMPLETE,
