geom_id,pose_id,recomputed_ocs_total,ref_ocs_total,rel_diff,verdict
Hsp_vm,A_top1,0.1003870463,0.1003870443,2.051e-08,OK
Hsp_vm,B_R4,0.1009691628,0.1009691581,4.643e-08,OK
Hsp_vm,C_R3,0.2255567476,0.2255567312,7.281e-08,OK
Hsp_vm,D1,0.1043638479,0.1043638438,3.897e-08,OK
Hsp_vm,D2,0.1092217728,0.1092217639,8.121e-08,OK
Hsp_vm,D3,0.1215590932,0.1215590909,1.874e-08,OK
Hsp_vm,D4,0.0897265990,0.0897265971,2.107e-08,OK
Hsp_vm,D5_roll125,0.1326932329,0.1326932311,1.339e-08,OK
Hsp_vm,D6_roll175,0.0747757935,0.0747757927,1.145e-08,OK
Hsp_vm,E1_R4roll-15,0.1040169539,0.1040169522,1.588e-08,OK
Hsp_vm,E2_R4roll+15,0.0995948187,0.0995948166,2.106e-08,OK
Hsp_vm,F1_edge,0.0947229835,0.0947229788,4.963e-08,OK
Hsp_vm,F2_edge,0.1009039520,0.1009039432,8.783e-08,OK
Hsp_vm,F3_edge,0.0781462393,0.0781462342,6.648e-08,OK
Hsm_vp,A_top1,0.1217312147,0.1217312142,3.753e-09,OK
Hsm_vp,B_R4,0.1025274725,0.1025274694,3.045e-08,OK
Hsm_vp,C_R3,0.0329631476,0.0329631492,4.938e-08,OK
Hsm_vp,D1,0.1158465982,0.1158465967,1.365e-08,OK
Hsm_vp,D2,0.1109302589,0.1109302565,2.163e-08,OK
Hsm_vp,D3,0.0975852005,0.0975852087,8.394e-08,OK
Hsm_vp,D4,0.1308184584,0.1308184564,1.542e-08,OK
Hsm_vp,D5_roll125,0.0845491507,0.0845491439,8.087e-08,OK
Hsm_vp,D6_roll175,0.1499152184,0.1499152035,9.941e-08,OK
Hsm_vp,E1_R4roll-15,0.1030990824,0.1030990854,2.908e-08,OK
Hsm_vp,E2_R4roll+15,0.1005048105,0.1005048081,2.350e-08,OK
Hsm_vp,F1_edge,0.1189088734,0.1189088672,5.182e-08,OK
Hsm_vp,F2_edge,0.1089840286,0.1089840233,4.789e-08,OK
Hsm_vp,F3_edge,0.1418304092,0.1418304145,3.778e-08,OK
Hsm_vm,A_top1,0.1966460798,0.1966460943,7.360e-08,OK
Hsm_vm,B_R4,0.1874964669,0.1874964684,8.289e-09,OK
Hsm_vm,C_R3,0.0660535175,0.0660535172,4.497e-09,OK
Hsm_vm,D1,0.1982841453,0.1982841343,5.575e-08,OK
Hsm_vm,D2,0.2001110748,0.2001110613,6.713e-08,OK
Hsm_vm,D3,0.1921626708,0.1921626776,3.583e-08,OK
Hsm_vm,D4,0.1947553270,0.1947553307,1.897e-08,OK
Hsm_vm,D5_roll125,0.1819402193,0.1819402128,3.534e-08,OK
Hsm_vm,D6_roll175,0.1815331222,0.1815331131,4.986e-08,OK
Hsm_vm,E1_R4roll-15,0.1912106404,0.1912106425,1.076e-08,OK
Hsm_vm,E2_R4roll+15,0.1860510810,0.1860510856,2.474e-08,OK
Hsm_vm,F1_edge,0.1948120650,0.1948120743,4.752e-08,OK
Hsm_vm,F2_edge,0.1799203770,0.1799203604,9.201e-08,OK
Hsm_vm,F3_edge,0.1848067897,0.1848067790,5.792e-08,OK
