pose_label,yaw,pitch,roll,ocs_total,src_pkg,region,category,selection_reason
yaw2475_pitchp0250_roll+015,247.5,25.0,15.0,0.18273191,23B,R1_pitch_boundary,23B_combined_topN,topN_R1_pitch_boundary
yaw2475_pitchp0225_roll+015,247.5,22.5,15.0,0.17421928,23B,R1_pitch_boundary,23B_combined_topN,topN_R1_pitch_boundary
yaw140_pitch+015_roll-015,140.0,15.0,-15.0,0.10935809,P2,R4_bright_robust,bright/robust-easy,region_top_R4_bright_robust
yaw140_pitch+015_roll-030,140.0,15.0,-30.0,0.10932171,P2,R4_bright_robust,bright/robust-easy,region_top_R4_bright_robust
yaw140_pitch+015_roll-045,140.0,15.0,-45.0,0.10854892,P2,R4_bright_robust,bright/robust-easy,region_top_R4_bright_robust
yaw140_pitch+015_roll+015,140.0,15.0,15.0,0.10823275,P2,R4_bright_robust,bright/robust-easy,region_top_R4_bright_robust
yaw140_pitch+015_roll+000,140.0,15.0,0.0,0.10820001,01,R4_bright_robust,bright/robust-easy,region_top_R4_bright_robust
yaw140_pitch+010_roll+000,140.0,10.0,0.0,0.10699173,01,R4_bright_robust,bright/robust-easy,region_top_R4_bright_robust
yaw140_pitch+010_roll-030,140.0,10.0,-30.0,0.10690706,P2,R4_bright_robust,bright/robust-easy,region_top_R4_bright_robust
yaw140_pitch+010_roll-015,140.0,10.0,-15.0,0.10616039,P2,R4_bright_robust,bright/robust-easy,region_top_R4_bright_robust
yaw0550_pitchp0600_roll-015,55.0,60.0,-15.0,0.08550375,P3,R3_low_info_connectivity,low-info/ocs-hard,region_top_R3_low_info_connectivity
yaw0550_pitchp0625_roll-015,55.0,62.5,-15.0,0.07717834,P3,R3_low_info_connectivity,low-info/ocs-hard,region_top_R3_low_info_connectivity
yaw0550_pitchp0650_roll-015,55.0,65.0,-15.0,0.07112510,P3,R3_low_info_connectivity,low-info/ocs-hard,region_top_R3_low_info_connectivity
yaw0575_pitchp0700_roll+000,57.5,70.0,0.0,0.07026403,P3,R3_low_info_connectivity,low-info/ocs-hard,region_top_R3_low_info_connectivity
yaw0575_pitchp0650_roll+000,57.5,65.0,0.0,0.06997713,P3,R3_low_info_connectivity,low-info/ocs-hard,region_top_R3_low_info_connectivity
