pose_label,yaw,pitch,roll,ocs_total,n_metal_px,metal_body_contrib,dark_panel_contrib,solar_panel_contrib,metal_body_pct,dark_panel_pct,solar_panel_pct
yaw240_pitch+020_roll+015,240.0,20.0,15.0,0.19111824,2711,0.18067310,0.00871361,0.00173152,94.535,4.559,0.906
yaw1475_pitchp0150_roll-030,147.5,15.0,-30.0,0.19036753,2567,0.18810898,0.00095754,0.00130101,98.814,0.503,0.683
yaw2475_pitchp0275_roll+0175,247.5,27.5,17.5,0.18898836,2593,0.17867277,0.00868196,0.00163363,94.542,4.594,0.864
yaw2450_pitchp0350_roll+0175,245.0,35.0,17.5,0.18849724,2732,0.17831892,0.00871766,0.00146066,94.600,4.625,0.775
yaw2475_pitchp0250_roll+015,247.5,25.0,15.0,0.18273193,2553,0.17265841,0.00862743,0.00144609,94.487,4.721,0.791
yaw2475_pitchp0225_roll+015,247.5,22.5,15.0,0.17421928,2540,0.16409171,0.00858583,0.00154173,94.187,4.928,0.885
yaw140_pitch+015_roll-015,140.0,15.0,-15.0,0.10935810,2763,0.10708385,0.00090483,0.00136942,97.920,0.827,1.252
yaw140_pitch+015_roll-030,140.0,15.0,-30.0,0.10932171,2710,0.10722419,0.00089655,0.00120097,98.081,0.820,1.099
yaw140_pitch+015_roll-045,140.0,15.0,-45.0,0.10854892,2713,0.10642573,0.00088932,0.00123387,98.044,0.819,1.137
yaw140_pitch+015_roll+015,140.0,15.0,15.0,0.10823276,2637,0.10575038,0.00088119,0.00160120,97.706,0.814,1.479
yaw140_pitch+015_roll+000,140.0,15.0,0.0,0.10820001,2691,0.10593732,0.00089668,0.00136601,97.909,0.829,1.262
yaw140_pitch+010_roll+000,140.0,10.0,0.0,0.10699173,2818,0.10468019,0.00084526,0.00146628,97.840,0.790,1.370
yaw140_pitch+010_roll-030,140.0,10.0,-30.0,0.10690707,2787,0.10490564,0.00087353,0.00112790,98.128,0.817,1.055
yaw140_pitch+010_roll-015,140.0,10.0,-15.0,0.10616039,2774,0.10404582,0.00092221,0.00119236,98.008,0.869,1.123
yaw0550_pitchp0600_roll-015,55.0,60.0,-15.0,0.08550375,3522,0.08443041,0.00000000,0.00107334,98.745,0.000,1.255
yaw0550_pitchp0625_roll-015,55.0,62.5,-15.0,0.07717834,4124,0.07618440,0.00000000,0.00099394,98.712,0.000,1.288
yaw0550_pitchp0650_roll-015,55.0,65.0,-15.0,0.07112510,4079,0.07010757,0.00000000,0.00101753,98.569,0.000,1.431
yaw0575_pitchp0700_roll+000,57.5,70.0,0.0,0.07026403,4536,0.06920436,0.00000000,0.00105966,98.492,0.000,1.508
yaw0575_pitchp0650_roll+000,57.5,65.0,0.0,0.06997714,4647,0.06895771,0.00000000,0.00101943,98.543,0.000,1.457
yaw0575_pitchp0675_roll+000,57.5,67.5,0.0,0.06973055,4593,0.06873881,0.00000000,0.00099174,98.578,0.000,1.422
