pose_label,yaw,pitch,roll,ocs_total,avgN_vs_sun_deg,avgN_vs_det_deg,avgN_vs_H_deg,weighted_metal_NH,reflect_vs_det_deg,pct_NoH_ge_0.99,mean_NoH_pow_n_metal
yaw240_pitch+020_roll+015,240.0,20.0,15.0,0.19111824,33.965,29.235,2.950,0.99621,5.606,82.331,7.36765e-01
yaw1475_pitchp0150_roll-030,147.5,15.0,-30.0,0.19036753,31.243,32.005,2.220,0.99727,3.804,83.911,7.91167e-01
yaw2475_pitchp0275_roll+0175,247.5,27.5,17.5,0.18898836,29.659,33.596,2.986,0.99617,5.492,81.566,7.26027e-01
yaw2450_pitchp0350_roll+0175,245.0,35.0,17.5,0.18849724,33.976,29.243,3.061,0.99614,5.776,80.893,7.20675e-01
yaw2475_pitchp0250_roll+015,247.5,25.0,15.0,0.18273193,28.252,34.860,3.306,0.99566,6.611,81.003,7.00079e-01
yaw2475_pitchp0225_roll+015,247.5,22.5,15.0,0.17421928,27.668,35.445,3.895,0.99484,7.787,80.551,6.60139e-01
yaw140_pitch+015_roll-015,140.0,15.0,-15.0,0.10935810,38.005,25.499,7.273,0.98767,14.033,83.279,4.13287e-01
yaw140_pitch+015_roll-030,140.0,15.0,-30.0,0.10932171,38.040,25.480,7.335,0.98810,14.141,85.018,4.21929e-01
yaw140_pitch+015_roll-045,140.0,15.0,-45.0,0.10854892,38.121,25.396,7.398,0.98800,14.275,84.630,4.18419e-01
yaw140_pitch+015_roll+015,140.0,15.0,15.0,0.10823276,37.909,25.583,7.166,0.98749,13.828,87.107,4.27531e-01
yaw140_pitch+015_roll+000,140.0,15.0,0.0,0.10820001,37.977,25.531,7.257,0.98737,13.995,84.467,4.19073e-01
yaw140_pitch+010_roll+000,140.0,10.0,0.0,0.10699173,38.813,24.328,7.313,0.98626,14.590,83.428,3.96275e-01
yaw140_pitch+010_roll-030,140.0,10.0,-30.0,0.10690707,38.879,24.262,7.379,0.98761,14.721,84.499,4.02997e-01
yaw140_pitch+010_roll-015,140.0,10.0,-15.0,0.10616039,38.881,24.260,7.381,0.98726,14.724,84.895,4.01150e-01
yaw0550_pitchp0600_roll-015,55.0,60.0,-15.0,0.08550375,23.685,40.749,10.930,0.97460,20.727,0.738,1.72163e-01
yaw0550_pitchp0625_roll-015,55.0,62.5,-15.0,0.07717834,23.658,40.999,11.394,0.97204,21.515,0.582,1.24947e-01
yaw0550_pitchp0650_roll-015,55.0,65.0,-15.0,0.07112510,23.636,41.174,11.704,0.96757,22.045,0.662,1.08805e-01
yaw0575_pitchp0700_roll+000,57.5,70.0,0.0,0.07026403,35.825,30.891,11.683,0.96321,20.061,0.220,1.06212e-01
yaw0575_pitchp0650_roll+000,57.5,65.0,0.0,0.06997714,35.873,30.979,11.894,0.96573,20.412,0.258,1.03513e-01
yaw0575_pitchp0675_roll+000,57.5,67.5,0.0,0.06973055,35.867,30.928,11.808,0.96368,20.272,0.152,1.03725e-01
yaw0575_pitchp0625_roll+000,57.5,62.5,0.0,0.06947677,35.910,31.030,12.030,0.96745,20.640,0.171,1.02368e-01
yaw0575_pitchp0600_roll+000,57.5,60.0,0.0,0.06942465,35.897,31.164,12.201,0.96894,20.918,0.203,1.20967e-01
yaw060_pitch+080_roll+000,60.0,80.0,0.0,0.06887131,33.464,33.206,11.348,0.95951,19.305,0.634,1.05253e-01
yaw060_pitch+075_roll+000,60.0,75.0,0.0,0.06868044,33.609,33.103,11.418,0.95988,19.426,0.459,1.02433e-01
yaw055_pitch+080_roll+000,55.0,80.0,0.0,0.06783147,37.791,28.548,11.730,0.95978,20.595,0.225,1.03107e-01
yaw055_pitch+075_roll+000,55.0,75.0,0.0,0.06736573,37.873,28.543,11.869,0.96046,20.836,0.177,1.00638e-01
yaw055_pitch+060_roll+000,55.0,60.0,0.0,0.06625763,37.977,28.849,12.455,0.96789,21.781,0.198,1.11616e-01
yaw065_pitch+080_roll+000,65.0,80.0,0.0,0.05331339,29.193,37.636,12.340,0.94799,21.505,0.790,6.13367e-02
yaw065_pitch+075_roll+000,65.0,75.0,0.0,0.05287804,29.375,37.476,12.317,0.94733,21.426,0.649,5.85061e-02
yaw055_pitch+075_roll-015,55.0,75.0,-15.0,0.05145379,23.863,41.766,13.028,0.95065,24.220,0.573,5.80863e-02
