pose_label,yaw,pitch,roll,ocs_total,ocs_rank,role,region,near_specular_metal,strong_surface_highlight,dark_panel_increment
yaw055_pitch+080_roll+000,55.0,80.0,0.0,0.06783147,69,,,0,0,0
yaw055_pitch+075_roll+000,55.0,75.0,0.0,0.06736573,70,,,0,0,0
yaw055_pitch+060_roll+000,55.0,60.0,0.0,0.06625763,71,R3_negative,,0,0,0
yaw065_pitch+080_roll+000,65.0,80.0,0.0,0.05331339,72,,,0,0,0
yaw065_pitch+075_roll+000,65.0,75.0,0.0,0.05287804,73,,,0,0,0
yaw055_pitch+075_roll-015,55.0,75.0,-15.0,0.05145379,74,,,0,0,0
yaw075_pitch+080_roll+015,75.0,80.0,15.0,0.04813331,75,,,0,0,0
yaw2850_pitchm0850_roll+045,285.0,-85.0,45.0,0.03591157,76,,,0,0,0
yaw2800_pitchm0850_roll+045,280.0,-85.0,45.0,0.03566181,77,,,0,0,0
yaw140_pitch+025_roll+045,140.0,25.0,45.0,0.03442476,78,,,0,0,0
yaw275_pitch-085_roll+060,275.0,-85.0,60.0,0.03441612,79,,,0,0,0
yaw140_pitch+025_roll-060,140.0,25.0,-60.0,0.03437422,80,,,0,0,1
yaw295_pitch-085_roll+030,295.0,-85.0,30.0,0.03392995,81,,,0,0,0
yaw160_pitch+005_roll+045,160.0,5.0,45.0,0.03250931,82,,,0,0,1
yaw290_pitch-085_roll+045,290.0,-85.0,45.0,0.03250524,83,,,0,0,0
yaw2800_pitchm0850_roll-045,280.0,-85.0,-45.0,0.03242260,84,,,0,0,1
yaw160_pitch+005_roll+060,160.0,5.0,60.0,0.03186044,85,,,0,0,1
yaw2850_pitchm0800_roll+045,285.0,-80.0,45.0,0.03157381,86,,,0,0,0
yaw2850_pitchm0850_roll-045,285.0,-85.0,-45.0,0.03154576,87,,,0,0,1
yaw275_pitch-085_roll+045,275.0,-85.0,45.0,0.03150469,88,,,0,0,0
yaw275_pitch-080_roll+060,275.0,-80.0,60.0,0.03108933,89,,,0,0,0
yaw295_pitch-085_roll-060,295.0,-85.0,-60.0,0.03049311,90,,,0,0,1
yaw290_pitch-085_roll+030,290.0,-85.0,30.0,0.03048280,91,,,0,0,0
yaw2800_pitchm0800_roll+045,280.0,-80.0,45.0,0.03037510,92,,,0,0,0
yaw2800_pitchm0850_roll+060,280.0,-85.0,60.0,0.02976344,93,,,0,0,0
yaw295_pitch-085_roll+045,295.0,-85.0,45.0,0.02933454,94,,,0,0,0
yaw2800_pitchm0800_roll+060,280.0,-80.0,60.0,0.02740198,95,,,0,0,0
yaw1600_pitchp0250_roll+015,160.0,25.0,15.0,0.02485918,96,,,0,0,1
yaw2100_pitchm0050_roll+015,210.0,-5.0,15.0,0.02404943,97,,,0,0,1
yaw1600_pitchp0250_roll+030,160.0,25.0,30.0,0.02392282,98,,,0,0,1
yaw1600_pitchp0250_roll+045,160.0,25.0,45.0,0.02383017,99,,,0,0,1
yaw210_pitch+000_roll+015,210.0,0.0,15.0,0.02362855,100,,,0,0,1
