pose_label,yaw,pitch,roll,ocs_total,ocs_rank,dominant_part,metal_body_contrib,dark_panel_contrib,solar_panel_contrib,metal_body_pct,dark_panel_pct,solar_panel_pct,weighted_metal_NH,avgN_vs_H_deg,reflect_vs_det_deg,pct_NoH_ge_0.99,mean_NoH_pow_n_metal,glint_flag,saturation_flag,src_pkg
yaw2425_pitchp0300_roll+0125,242.5,30.0,12.5,0.19711169,28,jinshuzhuti,0.18685544,0.00873241,0.00152384,94.797,4.430,0.773,0.99676,2.382,4.436,81.315,7.60150e-01,0.0,0.0,23A
yaw2450_pitchp0325_roll+0125,245.0,32.5,12.5,0.19685951,29,jinshuzhuti,0.18647333,0.00874959,0.00163659,94.724,4.445,0.831,0.99669,2.315,3.950,80.202,7.54523e-01,0.0,0.0,23A
yaw2475_pitchp0300_roll+0175,247.5,30.0,17.5,0.19526323,30,jinshuzhuti,0.18503790,0.00869214,0.00153319,94.763,4.451,0.785,0.99673,2.403,4.312,81.116,7.53681e-01,0.0,0.0,23A
yaw245_pitch+020_roll+015,245.0,20.0,15.0,0.19484701,31,jinshuzhuti,0.18457119,0.00870616,0.00156966,94.726,4.468,0.806,0.99675,2.373,4.665,81.850,7.57400e-01,0,0,P2
yaw2425_pitchp0300_roll+015,242.5,30.0,15.0,0.19471524,32,jinshuzhuti,0.18458037,0.00868696,0.00144791,94.795,4.461,0.744,0.99657,2.581,5.115,81.698,7.49560e-01,0,0,P3
yaw1475_pitchp0125_roll+030,147.5,12.5,30.0,0.19414049,33,jinshuzhuti,0.19135210,0.00091304,0.00187535,98.564,0.470,0.966,0.99799,0.203,0.347,86.703,8.72423e-01,0,1,P3
yaw2450_pitchp0350_roll+0125,245.0,35.0,12.5,0.19404736,34,jinshuzhuti,0.18376333,0.00871959,0.00156445,94.700,4.494,0.806,0.99653,2.525,4.316,80.300,7.45681e-01,,,23A
yaw2450_pitchp0400_roll+015,245.0,40.0,15.0,0.19323077,35,jinshuzhuti,0.18293179,0.00869609,0.00160289,94.670,4.500,0.830,0.99641,2.561,5.048,80.321,7.38376e-01,0,0,P3
yaw2450_pitchp0275_roll+0175,245.0,27.5,17.5,0.19307745,36,jinshuzhuti,0.18292529,0.00873058,0.00142158,94.742,4.522,0.736,0.99642,2.694,4.602,81.194,7.38310e-01,,,23A
yaw1475_pitchp0125_roll+045,147.5,12.5,45.0,0.19273490,37,jinshuzhuti,0.19002079,0.00088473,0.00182938,98.592,0.459,0.949,0.99820,0.254,0.433,87.606,8.79857e-01,0,1,P3
yaw1475_pitchp0150_roll-015,147.5,15.0,-15.0,0.19263733,38,jinshuzhuti,0.19034587,0.00097044,0.00132102,98.810,0.504,0.686,0.99717,2.231,3.823,83.072,7.85239e-01,0,1,P3
yaw2475_pitchp0275_roll+015,247.5,27.5,15.0,0.19189716,39,jinshuzhuti,0.18161032,0.00869474,0.00159209,94.639,4.531,0.830,0.99641,2.726,5.451,81.100,7.36690e-01,,,23A
yaw2425_pitchp0325_roll+0125,242.5,32.5,12.5,0.19175608,40,jinshuzhuti,0.18157872,0.00867089,0.00150647,94.693,4.522,0.786,0.99631,2.827,5.325,81.197,7.35888e-01,,,23A
yaw2450_pitchp0325_roll+0175,245.0,32.5,17.5,0.19171192,41,jinshuzhuti,0.18151368,0.00874083,0.00145740,94.680,4.559,0.760,0.99645,2.780,5.054,80.752,7.34688e-01,,,23A
yaw1475_pitchp0150_roll-045,147.5,15.0,-45.0,0.19165733,42,jinshuzhuti,0.18953910,0.00087727,0.00124096,98.895,0.458,0.647,0.99717,2.200,3.770,83.969,7.88333e-01,0,1,P3
yaw2450_pitchp0300_roll+0175,245.0,30.0,17.5,0.19156877,43,jinshuzhuti,0.18125153,0.00873309,0.00158415,94.614,4.559,0.827,0.99648,2.669,4.669,80.508,7.37988e-01,,,23A
yaw1475_pitchp0125_roll+060,147.5,12.5,60.0,0.19139913,44,jinshuzhuti,0.18878551,0.00073226,0.00188136,98.634,0.383,0.983,0.99840,0.288,0.492,87.986,8.84115e-01,0,1,P3
yaw240_pitch+020_roll+015,240.0,20.0,15.0,0.19111824,45,jinshuzhuti,0.18067310,0.00871361,0.00173152,94.535,4.559,0.906,0.99621,2.950,5.606,82.331,7.36765e-01,0,0,P2
yaw1475_pitchp0150_roll-030,147.5,15.0,-30.0,0.19036753,46,jinshuzhuti,0.18810898,0.00095754,0.00130101,98.814,0.503,0.683,0.99727,2.220,3.804,83.911,7.91167e-01,0,1,P3
yaw2475_pitchp0275_roll+0175,247.5,27.5,17.5,0.18898836,47,jinshuzhuti,0.17867277,0.00868196,0.00163363,94.542,4.594,0.864,0.99617,2.986,5.492,81.566,7.26027e-01,,,23A
yaw2450_pitchp0350_roll+0175,245.0,35.0,17.5,0.18849724,48,jinshuzhuti,0.17831892,0.00871766,0.00146066,94.600,4.625,0.775,0.99614,3.061,5.776,80.893,7.20675e-01,,,23A
yaw2475_pitchp0250_roll+015,247.5,25.0,15.0,0.18273193,49,jinshuzhuti,0.17265841,0.00862743,0.00144609,94.487,4.721,0.791,0.99566,3.306,6.611,81.003,7.00079e-01,,,23B
yaw2475_pitchp0225_roll+015,247.5,22.5,15.0,0.17421928,50,jinshuzhuti,0.16409171,0.00858583,0.00154173,94.187,4.928,0.885,0.99484,3.895,7.787,80.551,6.60139e-01,,,23B
yaw140_pitch+015_roll-015,140.0,15.0,-15.0,0.10935810,51,jinshuzhuti,0.10708385,0.00090483,0.00136942,97.920,0.827,1.252,0.98767,7.273,14.033,83.279,4.13287e-01,0,0,P2
yaw140_pitch+015_roll-030,140.0,15.0,-30.0,0.10932171,52,jinshuzhuti,0.10722419,0.00089655,0.00120097,98.081,0.820,1.099,0.98810,7.335,14.141,85.018,4.21929e-01,0,0,P2
yaw140_pitch+015_roll-045,140.0,15.0,-45.0,0.10854892,53,jinshuzhuti,0.10642573,0.00088932,0.00123387,98.044,0.819,1.137,0.98800,7.398,14.275,84.630,4.18419e-01,0,0,P2
yaw140_pitch+015_roll+015,140.0,15.0,15.0,0.10823276,54,jinshuzhuti,0.10575038,0.00088119,0.00160120,97.706,0.814,1.479,0.98749,7.166,13.828,87.107,4.27531e-01,0,0,P2
yaw140_pitch+015_roll+000,140.0,15.0,0.0,0.10820001,55,jinshuzhuti,0.10593732,0.00089668,0.00136601,97.909,0.829,1.262,0.98737,7.257,13.995,84.467,4.19073e-01,0,0,01
yaw140_pitch+010_roll+000,140.0,10.0,0.0,0.10699173,56,jinshuzhuti,0.10468019,0.00084526,0.00146628,97.840,0.790,1.370,0.98626,7.313,14.590,83.428,3.96275e-01,0,0,01
yaw140_pitch+010_roll-030,140.0,10.0,-30.0,0.10690707,57,jinshuzhuti,0.10490564,0.00087353,0.00112790,98.128,0.817,1.055,0.98761,7.379,14.721,84.499,4.02997e-01,0,0,P2
yaw140_pitch+010_roll-015,140.0,10.0,-15.0,0.10616039,58,jinshuzhuti,0.10404582,0.00092221,0.00119236,98.008,0.869,1.123,0.98726,7.381,14.724,84.895,4.01150e-01,0,0,P2
yaw0550_pitchp0600_roll-015,55.0,60.0,-15.0,0.08550375,59,jinshuzhuti,0.08443041,0.00000000,0.00107334,98.745,0.000,1.255,0.97460,10.930,20.727,0.738,1.72163e-01,0,0,P3
yaw0550_pitchp0625_roll-015,55.0,62.5,-15.0,0.07717834,60,jinshuzhuti,0.07618440,0.00000000,0.00099394,98.712,0.000,1.288,0.97204,11.394,21.515,0.582,1.24947e-01,0,0,P3
yaw0550_pitchp0650_roll-015,55.0,65.0,-15.0,0.07112510,61,jinshuzhuti,0.07010757,0.00000000,0.00101753,98.569,0.000,1.431,0.96757,11.704,22.045,0.662,1.08805e-01,0,0,P3
yaw0575_pitchp0700_roll+000,57.5,70.0,0.0,0.07026403,62,jinshuzhuti,0.06920436,0.00000000,0.00105966,98.492,0.000,1.508,0.96321,11.683,20.061,0.220,1.06212e-01,0,0,P3
yaw0575_pitchp0650_roll+000,57.5,65.0,0.0,0.06997714,63,jinshuzhuti,0.06895771,0.00000000,0.00101943,98.543,0.000,1.457,0.96573,11.894,20.412,0.258,1.03513e-01,0,0,P3
yaw0575_pitchp0675_roll+000,57.5,67.5,0.0,0.06973055,64,jinshuzhuti,0.06873881,0.00000000,0.00099174,98.578,0.000,1.422,0.96368,11.808,20.272,0.152,1.03725e-01,0,0,P3
yaw0575_pitchp0625_roll+000,57.5,62.5,0.0,0.06947677,65,jinshuzhuti,0.06840193,0.00000000,0.00107484,98.453,0.000,1.547,0.96745,12.030,20.640,0.171,1.02368e-01,0,0,P3
yaw0575_pitchp0600_roll+000,57.5,60.0,0.0,0.06942465,66,jinshuzhuti,0.06826966,0.00000000,0.00115499,98.336,0.000,1.664,0.96894,12.201,20.918,0.203,1.20967e-01,0,0,P3
yaw060_pitch+080_roll+000,60.0,80.0,0.0,0.06887131,67,jinshuzhuti,0.06789150,0.00000000,0.00097981,98.577,0.000,1.423,0.95951,11.348,19.305,0.634,1.05253e-01,0,0,01
yaw060_pitch+075_roll+000,60.0,75.0,0.0,0.06868044,68,jinshuzhuti,0.06754958,0.00000000,0.00113086,98.353,0.000,1.647,0.95988,11.418,19.426,0.459,1.02433e-01,0,0,01
yaw055_pitch+080_roll+000,55.0,80.0,0.0,0.06783147,69,jinshuzhuti,0.06673472,0.00000000,0.00109674,98.383,0.000,1.617,0.95978,11.730,20.595,0.225,1.03107e-01,0,0,01
yaw055_pitch+075_roll+000,55.0,75.0,0.0,0.06736573,70,jinshuzhuti,0.06627258,0.00000000,0.00109316,98.377,0.000,1.623,0.96046,11.869,20.836,0.177,1.00638e-01,0,0,01
yaw055_pitch+060_roll+000,55.0,60.0,0.0,0.06625763,71,jinshuzhuti,0.06526623,0.00000000,0.00099140,98.504,0.000,1.496,0.96789,12.455,21.781,0.198,1.11616e-01,0,0,01
yaw065_pitch+080_roll+000,65.0,80.0,0.0,0.05331339,72,jinshuzhuti,0.05241039,0.00000000,0.00090300,98.306,0.000,1.694,0.94799,12.340,21.505,0.790,6.13367e-02,0,0,01
yaw065_pitch+075_roll+000,65.0,75.0,0.0,0.05287804,73,jinshuzhuti,0.05188324,0.00000000,0.00099480,98.119,0.000,1.881,0.94733,12.317,21.426,0.649,5.85061e-02,0,0,01
yaw055_pitch+075_roll-015,55.0,75.0,-15.0,0.05145379,74,jinshuzhuti,0.05051350,0.00000000,0.00094030,98.173,0.000,1.827,0.95065,13.028,24.220,0.573,5.80863e-02,0,0,P2
yaw075_pitch+080_roll+015,75.0,80.0,15.0,0.04813331,75,jinshuzhuti,0.04727969,0.00000000,0.00085361,98.227,0.000,1.773,0.93927,12.595,21.422,0.742,4.55024e-02,0,0,P2
yaw2850_pitchm0850_roll+045,285.0,-85.0,45.0,0.03591157,76,taiyangnengban,0.00816225,0.00001381,0.02773551,22.729,0.038,77.233,0.90062,3.426,5.911,0.795,3.89894e-02,0,0,P3
yaw2800_pitchm0850_roll+045,280.0,-85.0,45.0,0.03566181,77,taiyangnengban,0.00795587,0.00001472,0.02769122,22.309,0.041,77.649,0.89961,5.731,11.043,0.772,3.67391e-02,0,0,P3
yaw140_pitch+025_roll+045,140.0,25.0,45.0,0.03442476,78,jinshuzhuti,0.03263686,0.00057025,0.00121765,94.806,1.657,3.537,0.96317,13.285,22.924,0.297,7.96057e-02,0,0,P2
yaw275_pitch-085_roll+060,275.0,-85.0,60.0,0.03441612,79,taiyangnengban,0.00719269,0.00001197,0.02721146,20.899,0.035,79.066,0.88212,5.347,9.298,0.230,2.51317e-02,0,0,P2
yaw140_pitch+025_roll-060,140.0,25.0,-60.0,0.03437422,80,jinshuzhuti,0.03282359,0.00070609,0.00084454,95.489,2.054,2.457,0.96303,14.125,24.454,0.082,7.62775e-02,0,0,P2
yaw295_pitch-085_roll+030,295.0,-85.0,30.0,0.03392995,81,taiyangnengban,0.00745438,0.00001836,0.02645721,21.970,0.054,77.976,0.88849,5.330,10.247,0.220,2.91727e-02,0,0,P2
yaw160_pitch+005_roll+045,160.0,5.0,45.0,0.03250931,82,jinshuzhuti,0.03057584,0.00071279,0.00122069,94.053,2.193,3.755,0.95940,13.813,25.940,0.345,6.89932e-02,0,0,P2
yaw290_pitch-085_roll+045,290.0,-85.0,45.0,0.03250524,83,taiyangnengban,0.00714665,0.00001412,0.02534447,21.986,0.043,77.970,0.87421,5.077,9.063,0.000,2.19035e-02,0,0,P2
yaw2800_pitchm0850_roll-045,280.0,-85.0,-45.0,0.03242260,84,jinshuzhuti,0.02440888,0.00698189,0.00103183,75.284,21.534,3.182,0.91928,11.961,20.987,0.687,3.24445e-02,1,0,P3
yaw160_pitch+005_roll+060,160.0,5.0,60.0,0.03186044,85,jinshuzhuti,0.02998439,0.00071089,0.00116516,94.112,2.231,3.657,0.95675,13.934,26.139,0.222,5.02676e-02,0,0,P2
yaw2850_pitchm0800_roll+045,285.0,-80.0,45.0,0.03157381,86,taiyangnengban,0.00888734,0.00004182,0.02264465,28.148,0.132,71.720,0.87670,1.386,2.546,4.440,3.90409e-02,0,0,P3
yaw2850_pitchm0850_roll-045,285.0,-85.0,-45.0,0.03154576,87,jinshuzhuti,0.02348566,0.00697548,0.00108461,74.450,22.112,3.438,0.91770,11.939,20.308,0.490,3.07203e-02,1,0,P3
yaw275_pitch-085_roll+045,275.0,-85.0,45.0,0.03150469,88,taiyangnengban,0.00639825,0.00001629,0.02509016,20.309,0.052,79.639,0.88317,9.219,18.263,0.000,2.03843e-02,0,0,P2
yaw275_pitch-080_roll+060,275.0,-80.0,60.0,0.03108933,89,taiyangnengban,0.00744437,0.00003406,0.02361089,23.945,0.110,75.945,0.85859,1.885,3.678,2.935,2.37139e-02,0,0,P2
yaw295_pitch-085_roll-060,295.0,-85.0,-60.0,0.03049311,90,jinshuzhuti,0.02273162,0.00688181,0.00087969,74.547,22.568,2.885,0.90960,12.179,21.334,0.607,2.36971e-02,1,0,P2
yaw290_pitch-085_roll+030,290.0,-85.0,30.0,0.03048280,91,taiyangnengban,0.00637081,0.00001963,0.02409236,20.900,0.064,79.036,0.87009,8.186,16.325,0.000,1.81498e-02,0,0,P2
yaw2800_pitchm0800_roll+045,280.0,-80.0,45.0,0.03037510,92,taiyangnengban,0.00765615,0.00003741,0.02268153,25.205,0.123,74.671,0.85513,5.147,10.064,3.968,2.78106e-02,0,0,P3
yaw2800_pitchm0850_roll+060,280.0,-85.0,60.0,0.02976344,93,taiyangnengban,0.00705628,0.00001349,0.02269367,23.708,0.045,76.247,0.87055,5.325,10.107,1.970,2.29773e-02,0,0,P3
