quantile,n_in_quantile,n_near_specular,frac_in_quantile,base_rate,enrichment_x,n_near_specular_rest,frac_rest
top_10pct,16,16,1.000,0.157,6.36,9,0.063
top_25pct,40,24,0.600,0.157,3.82,1,0.008
