region,category,yaw,pitch,roll,source,ocs_total,brightness_rank,rank_shift_vs_roll0,pixel_local_contrast,neighbor_contrast_ypr,roll_sensitivity_score,n_pixels_camera_visible,n_pixels_contributing,mean_lit,image_usable,glint_flag,saturation_flag
R3_low_info,low-info/ocs-hard,55,75,45,20_pack,1.560234e-02,107,86,1.379450,0.599642,1.830445,6052,5655,1.722738e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,75,60,20_pack,1.471166e-02,86,65,0.609504,0.313755,1.830445,6015,2113,4.347346e-02,1,0,0
R3_low_info,low-info/ocs-hard,55,80,-60,20_pack,1.432826e-02,122,104,0.986694,0.294824,1.887830,3831,3729,2.399182e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,80,-45,20_pack,1.876038e-02,80,62,1.203521,0.600624,1.887830,4886,4806,2.437361e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,80,-30,20_pack,2.524701e-02,32,14,0.420582,1.243462,1.887830,5715,2917,5.404249e-02,1,0,0
R3_low_info,low-info/ocs-hard,55,80,-15,20_pack,4.534636e-02,25,7,0.499853,1.060703,1.887830,6160,3835,7.383103e-02,1,0,0
R3_low_info,low-info/ocs-hard,55,80,0,01_fullrun,6.783147e-02,18,0,0.404099,0.842212,1.887830,6249,4556,9.296285e-02,1,0,0
R3_low_info,low-info/ocs-hard,55,80,15,20_pack,2.995920e-02,69,51,0.583174,1.142325,1.887830,5945,4946,3.782144e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,80,30,20_pack,2.267009e-02,79,61,0.795205,0.727159,1.887830,5627,5395,2.623758e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,80,45,20_pack,1.611961e-02,102,84,1.300939,0.592206,1.887830,5981,5573,1.806041e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,80,60,20_pack,1.480757e-02,85,67,0.592228,0.306686,1.887830,5976,2027,4.561334e-02,1,0,0
R3_low_info,low-info/ocs-hard,60,60,-60,20_pack,1.429260e-02,123,99,1.017911,0.405761,1.917099,4101,3992,2.235541e-02,1,1,0
R3_low_info,low-info/ocs-hard,60,60,-45,20_pack,1.853450e-02,83,59,1.235662,0.693740,1.917099,5047,4986,2.321082e-02,1,1,0
R3_low_info,low-info/ocs-hard,60,60,-30,20_pack,2.382787e-02,49,25,0.692193,2.256512,1.917099,5835,3221,4.619091e-02,1,0,0
R3_low_info,low-info/ocs-hard,60,60,-15,20_pack,4.222377e-02,26,2,0.647696,1.443042,1.917099,6299,4115,6.406917e-02,1,0,0
R3_low_info,low-info/ocs-hard,60,60,0,01_fullrun,6.654182e-02,24,0,0.557960,1.205689,1.917099,6398,4758,8.732371e-02,1,0,0
