record_id,region,all_regions,category,yaw,pitch,roll,geom,label,render_needed,roll0_reuse_source,source_seed
R3_low_info__yaw055_pitch+060,R3_low_info,R3_low_info,low-info/ocs-hard,55,60,-60,phase63(L1-G1),yaw055_pitch+060_roll-060,YES,20_pack (new render),low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info__yaw055_pitch+060,R3_low_info,R3_low_info,low-info/ocs-hard,55,60,-45,phase63(L1-G1),yaw055_pitch+060_roll-045,YES,20_pack (new render),low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info__yaw055_pitch+060,R3_low_info,R3_low_info,low-info/ocs-hard,55,60,-30,phase63(L1-G1),yaw055_pitch+060_roll-030,YES,20_pack (new render),low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info__yaw055_pitch+060,R3_low_info,R3_low_info,low-info/ocs-hard,55,60,-15,phase63(L1-G1),yaw055_pitch+060_roll-015,YES,20_pack (new render),low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info__yaw055_pitch+060,R3_low_info,R3_low_info,low-info/ocs-hard,55,60,0,phase63(L1-G1),yaw055_pitch+060_roll+000,NO,"01_fullrun (roll+000, 复用不重渲)",low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info__yaw055_pitch+060,R3_low_info,R3_low_info,low-info/ocs-hard,55,60,15,phase63(L1-G1),yaw055_pitch+060_roll+015,YES,20_pack (new render),low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info__yaw055_pitch+060,R3_low_info,R3_low_info,low-info/ocs-hard,55,60,30,phase63(L1-G1),yaw055_pitch+060_roll+030,YES,20_pack (new render),low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info__yaw055_pitch+060,R3_low_info,R3_low_info,low-info/ocs-hard,55,60,45,phase63(L1-G1),yaw055_pitch+060_roll+045,YES,20_pack (new render),low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info__yaw055_pitch+060,R3_low_info,R3_low_info,low-info/ocs-hard,55,60,60,phase63(L1-G1),yaw055_pitch+060_roll+060,YES,20_pack (new render),low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info__yaw055_pitch+065,R3_low_info,R3_low_info,low-info/ocs-hard,55,65,-60,phase63(L1-G1),yaw055_pitch+065_roll-060,YES,20_pack (new render),low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info__yaw055_pitch+065,R3_low_info,R3_low_info,low-info/ocs-hard,55,65,-45,phase63(L1-G1),yaw055_pitch+065_roll-045,YES,20_pack (new render),low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info__yaw055_pitch+065,R3_low_info,R3_low_info,low-info/ocs-hard,55,65,-30,phase63(L1-G1),yaw055_pitch+065_roll-030,YES,20_pack (new render),low-info/ocs-hard-seed yaw065 pitch+70/+75
