epoch,train_loss,grad_norm_mean,grad_finite,val_yaw_cmae_deg,val_yaw_hit@10,val_pitch_mae_deg,val_yaw_exact_sentinel
1,0.714928185631489,3.14158796349945,True,151.94488961356026,0.0,57.66918647979677,0.0
2,0.33680941087418587,2.498644666226988,True,115.00036020168467,0.0,43.34994966090876,0.0
3,0.21241596932041235,1.6267923692819748,True,71.63943552142405,0.04633204633204633,57.146549431053366,0.0
4,0.15726666512160464,1.2316100608370766,True,117.44593109955659,0.0,44.39173855871307,0.0
5,0.14767503205301433,1.148984187527444,True,115.0,0.0,83.35451638652552,0.0
6,0.17314288244935974,1.4366661959680673,True,102.84436312053194,0.03861003861003861,57.16216216216216,0.0
7,0.11062116085969169,0.9080087678842773,True,115.0,0.0,55.98336834705014,0.0
8,0.12510054860392522,1.203878756536871,True,144.51257518635754,0.0,57.16216216216216,0.0
9,0.09928800846482146,0.8297130424426507,True,115.00000088371365,0.0,54.46116112373971,0.0
10,0.09350690226359613,1.0941339034255546,True,144.07743505529456,0.0,38.025007748350674,0.0
11,0.0902693195846574,0.9094188306861452,True,155.0,0.0,57.16216216216216,0.0
12,0.11538114392294965,0.8219350891758976,True,115.41446105485717,0.0,78.90376508558118,0.0
13,0.0821273693943332,0.6794414349043554,True,115.00000983867866,0.0,50.31603833423158,0.0
14,0.06995432419252806,0.4976456684447024,True,135.57875550023377,0.0,57.08805050352826,0.0
15,0.050506471816835735,0.6351892654958176,True,115.0,0.0,57.16216216216216,0.0
16,0.07229000821324258,0.8364398266794211,True,119.0787045983274,0.0,56.98844218898464,0.0
17,0.06098926385286553,0.48114723120497727,True,119.09231290485869,0.0,55.892161126532606,0.0
18,0.042528944732300164,0.4346994642526523,True,115.09005254207891,0.0,56.81443536235559,0.0
19,0.04398910351226042,0.3414214648243283,True,116.37081296471555,0.0,56.81507517103983,0.0
20,0.037012187153871716,0.41368634859045306,True,115.0,0.0,53.45574781793425,0.0
