geom_id,pose_id,label,recomputed_ocs_total,ref_ocs_total,rel_diff,verdict
sp7_vm7,D6_roll175,yaw2475_pitchp0300_roll+0175,0.0747757935,0.0747757927,1.145e-08,OK
sp7_vm9,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,0.2623109530,0.2623109519,3.851e-09,OK
sp7_vm9,C_R3,yaw055_pitch+060_roll+000,0.2492092140,0.2492092103,1.477e-08,OK
sp7_vm9,B_R4,yaw1475_pitchp0125_roll+000,0.0831006889,0.0831006840,5.916e-08,OK
sp7_vm9,D5_roll125,yaw2450_pitchp0275_roll+0125,0.1140399314,0.1140399277,3.217e-08,OK
sp7_vm9,A_top1,yaw2450_pitchp0275_roll+015,0.0833664282,0.0833664238,5.164e-08,OK
sp7_vm9,D6_roll175,yaw2475_pitchp0300_roll+0175,0.0625385350,0.0625385419,1.093e-07,OK
sp9_vm5,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,0.2704142060,0.2704142034,9.677e-09,OK
sp9_vm5,C_R3,yaw055_pitch+060_roll+000,0.2248906274,0.2248906344,3.136e-08,OK
sp9_vm5,B_R4,yaw1475_pitchp0125_roll+000,0.1021414727,0.1021414772,4.415e-08,OK
sp9_vm5,D5_roll125,yaw2450_pitchp0275_roll+0125,0.1347661524,0.1347661614,6.733e-08,OK
sp9_vm5,A_top1,yaw2450_pitchp0275_roll+015,0.1000366594,0.1000366583,1.075e-08,OK
sp9_vm5,D6_roll175,yaw2475_pitchp0300_roll+0175,0.0761717283,0.0761717334,6.696e-08,OK
sp9_vm7,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,0.2620114489,0.2620114386,3.946e-08,OK
sp9_vm7,C_R3,yaw055_pitch+060_roll+000,0.2485524440,0.2485524416,9.829e-09,OK
sp9_vm7,B_R4,yaw1475_pitchp0125_roll+000,0.0839527449,0.0839527398,5.988e-08,OK
sp9_vm7,D5_roll125,yaw2450_pitchp0275_roll+0125,0.1142284214,0.1142284200,1.251e-08,OK
sp9_vm7,A_top1,yaw2450_pitchp0275_roll+015,0.0842698377,0.0842698365,1.387e-08,OK
sp9_vm7,D6_roll175,yaw2475_pitchp0300_roll+0175,0.0625878711,0.0625878721,1.672e-08,OK
sp9_vm9,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,0.2466220999,0.2466220856,5.793e-08,OK
sp9_vm9,C_R3,yaw055_pitch+060_roll+000,0.2670272650,0.2670272589,2.289e-08,OK
sp9_vm9,B_R4,yaw1475_pitchp0125_roll+000,0.0683215888,0.0683215857,4.600e-08,OK
sp9_vm9,D5_roll125,yaw2450_pitchp0275_roll+0125,0.0966730996,0.0966730937,6.050e-08,OK
sp9_vm9,A_top1,yaw2450_pitchp0275_roll+015,0.0698095036,0.0698095039,3.148e-09,OK
sp9_vm9,D6_roll175,yaw2475_pitchp0300_roll+0175,0.0529392651,0.0529392622,5.438e-08,OK
