record_id,yaw,pitch,ocs_total_phase63,n_pix_contrib,ocs_g1_err,ocs_g5_err,gain_g1_to_g5,hardcase_labels,neural_entropy,neural_margin,pdb_nearest_distance,pdb_cand_yaw_spread,roll_err_mean15,roll_err_mean30,roll_sensitivity_30_minus_15,local_contrast,glint_flag
yaw005_pitch-070,5.0,-70.0,0.01575889407997577,5786,,,,,,,,,149.115,131.961,-17.153999999999996,0.0012179608935746628,0
yaw005_pitch-065,5.0,-65.0,0.01508912363314685,5800,,,,,,,,,134.409,126.025,-8.383999999999986,0.0012910145861449313,0
yaw005_pitch-060,5.0,-60.0,0.01503288543728415,5856,,,,,,,,,120.4375,111.5425,-8.894999999999996,0.0013126386343243444,0
yaw005_pitch-055,5.0,-55.0,0.01477808459733193,5837,,,,,,,,,109.46000000000001,93.572,-15.888000000000005,0.0013656368656864495,0
yaw005_pitch-050,5.0,-50.0,0.014820865019561646,5859,,,,,,,,,107.439,85.662,-21.776999999999987,0.0013661060671641204,0
yaw005_pitch-045,5.0,-45.0,0.01478040127962793,5817,,,,,,,,,108.73750000000001,81.22800000000001,-27.509500000000003,0.0013708356547154077,0
yaw005_pitch-040,5.0,-40.0,0.014777231725895956,5785,,,,,,,,,111.07849999999999,87.5035,-23.57499999999999,0.0015386434554633642,0
yaw005_pitch-035,5.0,-35.0,0.01555204587541728,5772,,,,,,,,,113.4235,107.6035,-5.820000000000007,0.0016436767721855587,0
yaw005_pitch-030,5.0,-30.0,0.015954555983679897,5751,,,,,,,,,111.86,114.401,2.540999999999997,0.0017118757873574655,0
yaw005_pitch-025,5.0,-25.0,0.016857782268863558,5632,,,,,,,,,108.1505,95.9765,-12.173999999999992,0.0016341145010551755,0
yaw005_pitch-020,5.0,-20.0,0.01724108810727057,5544,,,,,,,,,93.704,67.327,-26.376999999999995,0.0014630267192743476,0
yaw005_pitch-015,5.0,-15.0,0.018007859850213692,5406,,,,,,,,,80.74549999999999,53.7255,-27.019999999999996,0.0013638067966417061,0
yaw005_pitch-010,5.0,-10.0,0.01692395433976132,5512,,,,,,,,,84.346,57.961,-26.385000000000005,0.0012072986260112765,0
yaw005_pitch-005,5.0,-5.0,0.01612918446489281,5536,,,,,,,,,101.6685,81.808,-19.860499999999988,0.001157969544095163,0
yaw005_pitch+000,5.0,0.0,0.01494883483508097,5501,,,,,,,,,103.47550000000001,107.162,3.6864999999999952,0.0011475724242418148,0
yaw005_pitch+005,5.0,5.0,0.014882235106586372,5539,,,,,,,,,102.878,116.84700000000001,13.969000000000008,0.0010469368022287921,0
yaw005_pitch+010,5.0,10.0,0.014758611514129744,5532,,,,,,,,,103.85950000000001,117.6345,13.774999999999991,0.0011492864147959886,0
yaw005_pitch+015,5.0,15.0,0.014890796811675017,5536,,,,,,,,,105.355,112.64699999999999,7.291999999999987,0.0011798098648306901,0
yaw005_pitch+020,5.0,20.0,0.01479314914165017,5511,,,,,,,,,106.6885,105.3675,-1.320999999999998,0.0012224818453126368,0
yaw005_pitch+025,5.0,25.0,0.01460313354010312,5506,,,,,,,,,109.62349999999999,106.1175,-3.505999999999986,0.0012935333366554357,0
yaw005_pitch+030,5.0,30.0,0.014899060378324724,5594,,,,,,,,,114.2315,99.627,-14.604500000000002,0.0013431064888714574,0
