epoch,train_loss,grad_norm_mean,grad_finite,val_yaw_cmae_deg,val_yaw_hit@10,val_pitch_mae_deg,val_yaw_exact_sentinel
1,0.8417444218849314,1.2416133349555554,True,125.63418590884412,0.0,57.162130451570604,0.0
2,0.6549865038230501,1.8026915406555017,True,115.00000164959881,0.0,57.16216216216216,0.0
3,0.29685206081846666,1.5193505572728274,True,97.98047546622375,0.0,35.84184327272835,0.0
4,0.1778259732086083,1.130192235014797,True,131.03864367864307,0.0,53.15057496030358,0.0
5,0.15258939410078115,1.9728493086671357,True,114.89204936966473,0.0,63.02195034984456,0.0
6,0.12988462716597934,1.4153999929241352,True,123.27667678184952,0.0,35.65725283307459,0.0
7,0.1649890973650176,1.3079551190519032,True,87.52537295072696,0.0,77.74265678140648,0.0
8,0.10561640387208297,0.8098426252409187,True,80.28531013400398,0.0,33.82233122451425,0.0
9,0.0751368291033753,0.32687457604786824,True,76.04457269027887,0.0,23.85672615117548,0.0
10,0.09080949933107557,0.6038414790126735,True,65.07026171592211,0.0,26.014441035659157,0.0
11,0.0913386626875606,0.4127247542965616,True,69.65211757821926,0.0,16.61165981541269,0.0
12,0.10814922868177809,1.13675113796234,True,91.31978745626206,0.0,30.865964556752946,0.0
13,0.08657851262853064,0.5982261162538843,True,84.1122621514162,0.0,63.662092871647545,0.0
14,0.09632711160671094,0.4561168463806346,True,60.29481058599406,0.0,20.205405681980164,0.0
15,0.1126043491450877,0.8007370611083261,True,57.617556715563914,0.0,20.72039425473761,0.0
16,0.07209602884691337,0.4345686316989218,True,76.8069326039907,0.0,22.431882400511544,0.0
17,0.0588981833244706,0.2940543796050179,True,63.73834475955448,0.0,21.613782887983508,0.0
18,0.07036116160452366,0.24732845518787966,True,53.4505429654508,0.06177606177606178,19.486873553986715,0.007722007722007722
19,0.10229622990149877,0.5862069252545423,True,44.381032406133116,0.06177606177606178,39.55652033039962,0.0
20,0.06842651288827946,0.35240955828937137,True,48.295516437545245,0.0,20.716390204705785,0.0
