fold_id,mode,yaw_exact_acc,yaw_circular_mae_deg,yaw_within_3_bins_rate,yaw_within_6_bins_rate,yaw_coarse_45deg_acc,pitch_exact_acc,pitch_within_3_bins_rate,n_samples
0,image_only,0.0,104.45945945945945,0.1981981981981982,0.3153153153153153,0.3153153153153153,0.218018018018018,0.6234234234234234,555
1,image_only,0.0,72.13513513513513,0.14054054054054055,0.1891891891891892,0.14054054054054055,0.15675675675675677,0.5333333333333333,555
2,image_only,0.0,107.86679536679536,0.10810810810810811,0.1640926640926641,0.20656370656370657,0.1583011583011583,0.33204633204633205,518
3,image_only,0.0,73.44594594594595,0.1969111969111969,0.2606177606177606,0.23552123552123552,0.24517374517374518,0.5926640926640927,518
4,image_only,0.0,49.2953667953668,0.21235521235521235,0.34942084942084944,0.0,0.28185328185328185,0.722007722007722,518
0,joint,0.0,100.79279279279278,0.2,0.34234234234234234,0.34234234234234234,0.2702702702702703,0.6252252252252253,555
1,joint,0.0,75.75675675675676,0.13693693693693693,0.18018018018018017,0.13693693693693693,0.13873873873873874,0.5117117117117117,555
2,joint,0.0,95.15444015444017,0.16216216216216217,0.17567567567567569,0.19498069498069498,0.18146718146718147,0.4362934362934363,518
3,joint,0.0,88.54247104247105,0.17953667953667954,0.2722007722007722,0.2335907335907336,0.13513513513513514,0.34555984555984554,518
4,joint,0.0,46.71814671814672,0.2084942084942085,0.3552123552123552,0.0,0.24517374517374518,0.6698841698841699,518
