roll,ocs_total,glint_flag,saturation_flag,brightness_rank,rank_shift_vs_roll0
-60,0.2015818,0,1,1,0
-45,0.2015407,0,1,1,0
-30,0.2010284,0,1,1,0
-15,0.2018225,0,1,1,0
0,0.2011461,0,1,1,0
15,0.1974041,0,1,10,9
30,0.1941405,0,1,1,0
45,0.1927349,0,1,1,0
60,0.1913991,0,1,1,0
