yaw_deg,pitch_deg,roll,label,cluster,ocs_total,glint_flag,saturation_flag,source,ocs_ok
245.0,35.0,17.5,yaw2450_pitchp0350_roll+0175,R1_top,0.18849723041057587,0.0,0.0,23A_new,True
245.0,35.0,20.0,yaw2450_pitchp0350_roll+020,R1_top,0.15318641066551208,0.0,0.0,23A_new,True
245.0,35.0,25.0,yaw2450_pitchp0350_roll+025,R1_top,0.07754239439964294,0.0,0.0,23A_new,True
247.5,27.5,5.0,yaw2475_pitchp0275_roll+005,R1_top,0.06658433377742767,1.0,0.0,23A_new,True
247.5,27.5,10.0,yaw2475_pitchp0275_roll+010,R1_top,0.13485991954803467,0.0,0.0,23A_new,True
247.5,27.5,12.5,yaw2475_pitchp0275_roll+0125,R1_top,0.171909362077713,0.0,0.0,23A_new,True
247.5,27.5,15.0,yaw2475_pitchp0275_roll+015,R1_top,0.1918971687555313,0.0,0.0,23A_new,True
247.5,27.5,17.5,yaw2475_pitchp0275_roll+0175,R1_top,0.1889883428812027,0.0,0.0,23A_new,True
247.5,27.5,20.0,yaw2475_pitchp0275_roll+020,R1_top,0.16471001505851746,0.0,0.0,23A_new,True
247.5,27.5,25.0,yaw2475_pitchp0275_roll+025,R1_top,0.08968111872673035,0.0,0.0,23A_new,True
247.5,30.0,5.0,yaw2475_pitchp0300_roll+005,R1_top,0.06712444871664047,0.0,0.0,23A_new,True
247.5,30.0,10.0,yaw2475_pitchp0300_roll+010,R1_top,0.1379542201757431,0.0,0.0,23A_new,True
247.5,30.0,12.5,yaw2475_pitchp0300_roll+0125,R1_top,0.17561425268650055,0.0,0.0,23A_new,True
247.5,30.0,15.0,yaw2475_pitchp0300_roll+015,R1_top,0.1982623,0.0,1.0,P3_reuse,True
247.5,30.0,17.5,yaw2475_pitchp0300_roll+0175,R1_top,0.19526323676109314,0.0,0.0,23A_new,True
247.5,30.0,20.0,yaw2475_pitchp0300_roll+020,R1_top,0.16987556219100952,0.0,0.0,23A_new,True
247.5,30.0,25.0,yaw2475_pitchp0300_roll+025,R1_top,0.09306423366069794,0.0,0.0,23A_new,True
247.5,32.5,5.0,yaw2475_pitchp0325_roll+005,R1_top,0.06748652458190918,0.0,0.0,23A_new,True
247.5,32.5,10.0,yaw2475_pitchp0325_roll+010,R1_top,0.13982200622558594,0.0,0.0,23A_new,True
247.5,32.5,12.5,yaw2475_pitchp0325_roll+0125,R1_top,0.1802377551794052,0.0,0.0,23A_new,True
247.5,32.5,15.0,yaw2475_pitchp0325_roll+015,R1_top,0.2025427,0.0,1.0,P3_reuse,True
247.5,32.5,17.5,yaw2475_pitchp0325_roll+0175,R1_top,0.20157746970653534,0.0,1.0,23A_new,True
247.5,32.5,20.0,yaw2475_pitchp0325_roll+020,R1_top,0.17508721351623535,0.0,0.0,23A_new,True
247.5,32.5,25.0,yaw2475_pitchp0325_roll+025,R1_top,0.09615351259708405,0.0,0.0,23A_new,True
247.5,35.0,5.0,yaw2475_pitchp0350_roll+005,R1_top,0.06863773614168167,0.0,0.0,23A_new,True
247.5,35.0,10.0,yaw2475_pitchp0350_roll+010,R1_top,0.14180736243724823,0.0,0.0,23A_new,True
247.5,35.0,12.5,yaw2475_pitchp0350_roll+0125,R1_top,0.18119215965270996,0.0,0.0,23A_new,True
247.5,35.0,15.0,yaw2475_pitchp0350_roll+015,R1_top,0.2023581,0.0,1.0,P3_reuse,True
247.5,35.0,17.5,yaw2475_pitchp0350_roll+0175,R1_top,0.20010019838809967,0.0,1.0,23A_new,True
247.5,35.0,20.0,yaw2475_pitchp0350_roll+020,R1_top,0.17554238438606262,0.0,0.0,23A_new,True
247.5,35.0,25.0,yaw2475_pitchp0350_roll+025,R1_top,0.09826139360666275,0.0,0.0,23A_new,True
147.5,12.5,-30.0,yaw1475_pitchp0125_roll-030,R4_control,0.2010284,0.0,1.0,P3_reuse,True
147.5,12.5,-15.0,yaw1475_pitchp0125_roll-015,R4_control,0.2018225,0.0,1.0,P3_reuse,True
147.5,12.5,0.0,yaw1475_pitchp0125_roll+000,R4_control,0.2011461,0.0,1.0,P3_reuse,True
147.5,12.5,15.0,yaw1475_pitchp0125_roll+015,R4_control,0.1974041,0.0,1.0,P3_reuse,True
147.5,12.5,30.0,yaw1475_pitchp0125_roll+030,R4_control,0.1941405,0.0,1.0,P3_reuse,True
