seed_id,record_id,yaw,pitch,roll,category,geom,render_needed,roll0_reuse,planned_metrics
high-info-seed__yaw240_pitch+020,yaw240_pitch+020,240.0,20.0,-45,high-info-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
high-info-seed__yaw240_pitch+020,yaw240_pitch+020,240.0,20.0,-30,high-info-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
high-info-seed__yaw240_pitch+020,yaw240_pitch+020,240.0,20.0,-15,high-info-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
high-info-seed__yaw240_pitch+020,yaw240_pitch+020,240.0,20.0,15,high-info-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
high-info-seed__yaw240_pitch+020,yaw240_pitch+020,240.0,20.0,30,high-info-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
high-info-seed__yaw240_pitch+020,yaw240_pitch+020,240.0,20.0,45,high-info-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
high-info-seed__yaw240_pitch+020,yaw240_pitch+020,240.0,20.0,60,high-info-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
roll-sensitive-seed__yaw285_pitch-085,yaw285_pitch-085,285.0,-85.0,-60,roll-sensitive-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
roll-sensitive-seed__yaw285_pitch-085,yaw285_pitch-085,285.0,-85.0,-45,roll-sensitive-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
roll-sensitive-seed__yaw285_pitch-085,yaw285_pitch-085,285.0,-85.0,-30,roll-sensitive-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
roll-sensitive-seed__yaw285_pitch-085,yaw285_pitch-085,285.0,-85.0,-15,roll-sensitive-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
roll-sensitive-seed__yaw285_pitch-085,yaw285_pitch-085,285.0,-85.0,15,roll-sensitive-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
roll-sensitive-seed__yaw285_pitch-085,yaw285_pitch-085,285.0,-85.0,30,roll-sensitive-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
roll-sensitive-seed__yaw285_pitch-085,yaw285_pitch-085,285.0,-85.0,45,roll-sensitive-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
roll-sensitive-seed__yaw285_pitch-085,yaw285_pitch-085,285.0,-85.0,60,roll-sensitive-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
roll-sensitive-seed__yaw150_pitch+085,yaw150_pitch+085,150.0,85.0,-60,roll-sensitive-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
roll-sensitive-seed__yaw150_pitch+085,yaw150_pitch+085,150.0,85.0,-45,roll-sensitive-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
roll-sensitive-seed__yaw150_pitch+085,yaw150_pitch+085,150.0,85.0,-30,roll-sensitive-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
roll-sensitive-seed__yaw150_pitch+085,yaw150_pitch+085,150.0,85.0,-15,roll-sensitive-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
roll-sensitive-seed__yaw150_pitch+085,yaw150_pitch+085,150.0,85.0,15,roll-sensitive-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
roll-sensitive-seed__yaw150_pitch+085,yaw150_pitch+085,150.0,85.0,30,roll-sensitive-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
roll-sensitive-seed__yaw150_pitch+085,yaw150_pitch+085,150.0,85.0,45,roll-sensitive-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
roll-sensitive-seed__yaw150_pitch+085,yaw150_pitch+085,150.0,85.0,60,roll-sensitive-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
low-info-seed__yaw065_pitch+070,yaw065_pitch+070,65.0,70.0,-60,low-info-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
low-info-seed__yaw065_pitch+070,yaw065_pitch+070,65.0,70.0,-45,low-info-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
low-info-seed__yaw065_pitch+070,yaw065_pitch+070,65.0,70.0,-30,low-info-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
low-info-seed__yaw065_pitch+070,yaw065_pitch+070,65.0,70.0,-15,low-info-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
low-info-seed__yaw065_pitch+070,yaw065_pitch+070,65.0,70.0,15,low-info-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
low-info-seed__yaw065_pitch+070,yaw065_pitch+070,65.0,70.0,30,low-info-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
low-info-seed__yaw065_pitch+070,yaw065_pitch+070,65.0,70.0,45,low-info-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
low-info-seed__yaw065_pitch+070,yaw065_pitch+070,65.0,70.0,60,low-info-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
ocs-hard-seed__yaw065_pitch+075,yaw065_pitch+075,65.0,75.0,-60,ocs-hard-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
ocs-hard-seed__yaw065_pitch+075,yaw065_pitch+075,65.0,75.0,-45,ocs-hard-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
ocs-hard-seed__yaw065_pitch+075,yaw065_pitch+075,65.0,75.0,-30,ocs-hard-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
ocs-hard-seed__yaw065_pitch+075,yaw065_pitch+075,65.0,75.0,-15,ocs-hard-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
ocs-hard-seed__yaw065_pitch+075,yaw065_pitch+075,65.0,75.0,15,ocs-hard-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
ocs-hard-seed__yaw065_pitch+075,yaw065_pitch+075,65.0,75.0,30,ocs-hard-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
ocs-hard-seed__yaw065_pitch+075,yaw065_pitch+075,65.0,75.0,45,ocs-hard-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
ocs-hard-seed__yaw065_pitch+075,yaw065_pitch+075,65.0,75.0,60,ocs-hard-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
disagreement-seed__yaw250_pitch-010,yaw250_pitch-010,250.0,-10.0,-60,disagreement-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
disagreement-seed__yaw250_pitch-010,yaw250_pitch-010,250.0,-10.0,-45,disagreement-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
disagreement-seed__yaw250_pitch-010,yaw250_pitch-010,250.0,-10.0,-30,disagreement-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
disagreement-seed__yaw250_pitch-010,yaw250_pitch-010,250.0,-10.0,-15,disagreement-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
disagreement-seed__yaw250_pitch-010,yaw250_pitch-010,250.0,-10.0,15,disagreement-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
disagreement-seed__yaw250_pitch-010,yaw250_pitch-010,250.0,-10.0,30,disagreement-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
disagreement-seed__yaw250_pitch-010,yaw250_pitch-010,250.0,-10.0,45,disagreement-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
disagreement-seed__yaw250_pitch-010,yaw250_pitch-010,250.0,-10.0,60,disagreement-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
image-hard-seed__yaw165_pitch-020,yaw165_pitch-020,165.0,-20.0,-60,image-hard-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
image-hard-seed__yaw165_pitch-020,yaw165_pitch-020,165.0,-20.0,-45,image-hard-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
image-hard-seed__yaw165_pitch-020,yaw165_pitch-020,165.0,-20.0,-30,image-hard-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
image-hard-seed__yaw165_pitch-020,yaw165_pitch-020,165.0,-20.0,-15,image-hard-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
image-hard-seed__yaw165_pitch-020,yaw165_pitch-020,165.0,-20.0,15,image-hard-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
image-hard-seed__yaw165_pitch-020,yaw165_pitch-020,165.0,-20.0,30,image-hard-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
image-hard-seed__yaw165_pitch-020,yaw165_pitch-020,165.0,-20.0,45,image-hard-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
image-hard-seed__yaw165_pitch-020,yaw165_pitch-020,165.0,-20.0,60,image-hard-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
dark-seed__yaw285_pitch-070,yaw285_pitch-070,285.0,-70.0,-60,dark-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
dark-seed__yaw285_pitch-070,yaw285_pitch-070,285.0,-70.0,-45,dark-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
dark-seed__yaw285_pitch-070,yaw285_pitch-070,285.0,-70.0,-30,dark-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
dark-seed__yaw285_pitch-070,yaw285_pitch-070,285.0,-70.0,-15,dark-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
dark-seed__yaw285_pitch-070,yaw285_pitch-070,285.0,-70.0,15,dark-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
dark-seed__yaw285_pitch-070,yaw285_pitch-070,285.0,-70.0,30,dark-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
dark-seed__yaw285_pitch-070,yaw285_pitch-070,285.0,-70.0,45,dark-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
dark-seed__yaw285_pitch-070,yaw285_pitch-070,285.0,-70.0,60,dark-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
robust-easy-seed__yaw150_pitch+010,yaw150_pitch+010,150.0,10.0,-60,robust-easy-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
robust-easy-seed__yaw150_pitch+010,yaw150_pitch+010,150.0,10.0,-45,robust-easy-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
robust-easy-seed__yaw150_pitch+010,yaw150_pitch+010,150.0,10.0,-30,robust-easy-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
robust-easy-seed__yaw150_pitch+010,yaw150_pitch+010,150.0,10.0,-15,robust-easy-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
robust-easy-seed__yaw150_pitch+010,yaw150_pitch+010,150.0,10.0,15,robust-easy-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
robust-easy-seed__yaw150_pitch+010,yaw150_pitch+010,150.0,10.0,30,robust-easy-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
robust-easy-seed__yaw150_pitch+010,yaw150_pitch+010,150.0,10.0,45,robust-easy-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
robust-easy-seed__yaw150_pitch+010,yaw150_pitch+010,150.0,10.0,60,robust-easy-seed,phase63(L1-G1),YES,"roll=0 复用 01_fullrun, 不重渲",ocs_total;image_usable;local_contrast;roll_sensitivity
