geom,record_id,yaw_true,pitch_true,image_hit,ocs_hit,joint_hit,pdb_hit,label
G1,G1_yaw130_pitch-010,130.0,-10.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw130_pitch-060,130.0,-60.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw135_pitch+030,135.0,30.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw135_pitch-080,135.0,-80.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw140_pitch+000,140.0,0.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw140_pitch+020,140.0,20.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw145_pitch+000,145.0,0.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw145_pitch+035,145.0,35.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw150_pitch+010,150.0,10.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw150_pitch+055,150.0,55.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw150_pitch+085,150.0,85.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw150_pitch-075,150.0,-75.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw155_pitch-075,155.0,-75.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw160_pitch+090,160.0,90.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw160_pitch-070,160.0,-70.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw160_pitch-080,160.0,-80.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw165_pitch+055,165.0,55.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw165_pitch+060,165.0,60.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw170_pitch+050,170.0,50.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw170_pitch+060,170.0,60.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw170_pitch-040,170.0,-40.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw175_pitch+080,175.0,80.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw175_pitch-015,175.0,-15.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw175_pitch-035,175.0,-35.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw175_pitch-055,175.0,-55.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw180_pitch+015,180.0,15.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw180_pitch+070,180.0,70.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw180_pitch+090,180.0,90.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw180_pitch-005,180.0,-5.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw180_pitch-040,180.0,-40.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw180_pitch-070,180.0,-70.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw180_pitch-090,180.0,-90.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw185_pitch+000,185.0,0.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw185_pitch+060,185.0,60.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw185_pitch-060,185.0,-60.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw190_pitch+045,190.0,45.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw190_pitch+060,190.0,60.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw190_pitch-020,190.0,-20.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw190_pitch-050,190.0,-50.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw190_pitch-055,190.0,-55.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw195_pitch+040,195.0,40.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw195_pitch+045,195.0,45.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw195_pitch+050,195.0,50.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw195_pitch-025,195.0,-25.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw210_pitch+040,210.0,40.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw210_pitch-030,210.0,-30.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw210_pitch-050,210.0,-50.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw210_pitch-060,210.0,-60.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw215_pitch+090,215.0,90.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw215_pitch-045,215.0,-45.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw215_pitch-075,215.0,-75.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw220_pitch+030,220.0,30.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw220_pitch+065,220.0,65.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw220_pitch-030,220.0,-30.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw220_pitch-070,220.0,-70.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw225_pitch-010,225.0,-10.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw230_pitch-035,230.0,-35.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw230_pitch-065,230.0,-65.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw240_pitch+020,240.0,20.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw240_pitch+030,240.0,30.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw240_pitch-015,240.0,-15.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw240_pitch-025,240.0,-25.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw245_pitch+050,245.0,50.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw245_pitch-085,245.0,-85.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw250_pitch+015,250.0,15.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw250_pitch+080,250.0,80.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw250_pitch+085,250.0,85.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw250_pitch-010,250.0,-10.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw250_pitch-060,250.0,-60.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw255_pitch+015,255.0,15.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw255_pitch-005,255.0,-5.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw255_pitch-015,255.0,-15.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw260_pitch+035,260.0,35.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw260_pitch-005,260.0,-5.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw260_pitch-065,260.0,-65.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw260_pitch-080,260.0,-80.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw265_pitch+040,265.0,40.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw265_pitch+085,265.0,85.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw265_pitch-075,265.0,-75.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw270_pitch+000,270.0,0.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw270_pitch+025,270.0,25.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw270_pitch+030,270.0,30.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw270_pitch+035,270.0,35.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw270_pitch+045,270.0,45.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw270_pitch+070,270.0,70.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw270_pitch-010,270.0,-10.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw270_pitch-030,270.0,-30.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw270_pitch-045,270.0,-45.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw270_pitch-050,270.0,-50.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw275_pitch-015,275.0,-15.0,1,0,1,1,ocs_wrong_image_correct
