geom,record_id,yaw_true,pitch_true,type,pdb_yaw_err,pdb_nearest
G1,G1_yaw295_pitch-050,295.0,-50.0,pdb_near_but_wrong(ambiguous_flux),65.0,0.0
G1,G1_yaw130_pitch+050,130.0,50.0,pdb_near_but_wrong(ambiguous_flux),135.0,0.0
G1,G1_yaw035_pitch+005,35.0,5.0,pdb_near_but_wrong(ambiguous_flux),45.0,0.0
G1,G1_yaw095_pitch+040,95.0,40.0,pdb_near_but_wrong(ambiguous_flux),70.0,0.0
G1,G1_yaw320_pitch-055,320.0,-55.0,pdb_near_but_wrong(ambiguous_flux),35.0,0.0
G1,G1_yaw200_pitch-030,200.0,-30.0,pdb_near_but_wrong(ambiguous_flux),35.0,0.0
G1,G1_yaw100_pitch+075,100.0,75.0,pdb_near_but_wrong(ambiguous_flux),145.0,0.0
G1,G1_yaw130_pitch+055,130.0,55.0,pdb_near_but_wrong(ambiguous_flux),120.0,0.0
G1,G1_yaw335_pitch-085,335.0,-85.0,pdb_near_but_wrong(ambiguous_flux),105.0,0.0
G1,G1_yaw305_pitch+065,305.0,65.0,pdb_near_but_wrong(ambiguous_flux),50.0,0.0
G1,G1_yaw350_pitch-040,350.0,-40.0,pdb_near_but_wrong(ambiguous_flux),65.0,0.0
G1,G1_yaw015_pitch-030,15.0,-30.0,pdb_near_but_wrong(ambiguous_flux),175.0,0.0
G1,G1_yaw025_pitch-065,25.0,-65.0,pdb_near_but_wrong(ambiguous_flux),170.0,0.0
G1,G1_yaw355_pitch-085,355.0,-85.0,pdb_near_but_wrong(ambiguous_flux),125.0,0.0
G1,G1_yaw270_pitch+035,270.0,35.0,pdb_near_but_wrong(ambiguous_flux),60.0,0.0
G1,G1_yaw305_pitch+025,305.0,25.0,pdb_near_but_wrong(ambiguous_flux),165.0,0.0
G1,G1_yaw145_pitch+000,145.0,0.0,pdb_near_but_wrong(ambiguous_flux),90.0,0.0
G1,G1_yaw270_pitch-045,270.0,-45.0,pdb_near_but_wrong(ambiguous_flux),80.0,0.0
G1,G1_yaw180_pitch-005,180.0,-5.0,pdb_near_but_wrong(ambiguous_flux),170.0,0.0
G1,G1_yaw335_pitch-020,335.0,-20.0,pdb_near_but_wrong(ambiguous_flux),180.0,0.0
G1,G1_yaw265_pitch-090,265.0,-90.0,pdb_near_but_wrong(ambiguous_flux),140.0,0.0
G1,G1_yaw110_pitch+020,110.0,20.0,pdb_near_but_wrong(ambiguous_flux),95.0,0.0
G1,G1_yaw350_pitch+070,350.0,70.0,pdb_near_but_wrong(ambiguous_flux),160.0,0.0
G1,G1_yaw115_pitch+065,115.0,65.0,pdb_near_but_wrong(ambiguous_flux),115.0,0.0
G1,G1_yaw130_pitch+030,130.0,30.0,pdb_near_but_wrong(ambiguous_flux),70.0,0.0
G1,G1_yaw215_pitch-045,215.0,-45.0,pdb_near_but_wrong(ambiguous_flux),85.0,0.0
G1,G1_yaw120_pitch-030,120.0,-30.0,pdb_near_but_wrong(ambiguous_flux),175.0,0.0
G1,G1_yaw005_pitch+055,5.0,55.0,pdb_near_but_wrong(ambiguous_flux),175.0,0.0
G1,G1_yaw125_pitch+035,125.0,35.0,pdb_near_but_wrong(ambiguous_flux),180.0,0.0
G1,G1_yaw200_pitch+010,200.0,10.0,pdb_near_but_wrong(ambiguous_flux),175.0,0.0
G1,G1_yaw275_pitch+020,275.0,20.0,pdb_near_but_wrong(ambiguous_flux),75.0,0.0
G1,G1_yaw065_pitch-075,65.0,-75.0,pdb_near_but_wrong(ambiguous_flux),175.0,0.0
G1,G1_yaw010_pitch-045,10.0,-45.0,pdb_near_but_wrong(ambiguous_flux),60.0,0.0
G1,G1_yaw270_pitch+070,270.0,70.0,pdb_near_but_wrong(ambiguous_flux),50.0,0.0
G1,G1_yaw325_pitch+090,325.0,90.0,pdb_near_but_wrong(ambiguous_flux),80.0,0.0
G1,G1_yaw205_pitch+045,205.0,45.0,pdb_near_but_wrong(ambiguous_flux),65.0,0.0
G1,G1_yaw130_pitch-060,130.0,-60.0,pdb_near_but_wrong(ambiguous_flux),180.0,0.0
G1,G1_yaw175_pitch-035,175.0,-35.0,pdb_near_but_wrong(ambiguous_flux),170.0,0.0
G1,G1_yaw340_pitch+075,340.0,75.0,pdb_near_but_wrong(ambiguous_flux),90.0,0.0
G1,G1_yaw305_pitch+010,305.0,10.0,pdb_near_but_wrong(ambiguous_flux),130.0,0.0
G1,G1_yaw240_pitch-015,240.0,-15.0,pdb_near_but_wrong(ambiguous_flux),170.0,0.0
G1,G1_yaw220_pitch-030,220.0,-30.0,pdb_near_but_wrong(ambiguous_flux),115.0,0.0
G1,G1_yaw165_pitch+060,165.0,60.0,pdb_near_but_wrong(ambiguous_flux),55.0,0.0
G1,G1_yaw305_pitch+015,305.0,15.0,pdb_near_but_wrong(ambiguous_flux),40.0,0.0
G1,G1_yaw330_pitch-090,330.0,-90.0,pdb_near_but_wrong(ambiguous_flux),180.0,0.0
G1,G1_yaw105_pitch-085,105.0,-85.0,pdb_near_but_wrong(ambiguous_flux),135.0,0.0
G1,G1_yaw300_pitch+070,300.0,70.0,pdb_near_but_wrong(ambiguous_flux),55.0,0.0
G1,G1_yaw290_pitch+005,290.0,5.0,pdb_near_but_wrong(ambiguous_flux),75.0,0.0
G1,G1_yaw085_pitch+000,85.0,0.0,pdb_near_but_wrong(ambiguous_flux),80.0,0.0
G1,G1_yaw090_pitch+015,90.0,15.0,pdb_near_but_wrong(ambiguous_flux),170.0,0.0
G1,G1_yaw000_pitch-035,0.0,-35.0,pdb_near_but_wrong(ambiguous_flux),115.0,0.0
G1,G1_yaw215_pitch-075,215.0,-75.0,pdb_near_but_wrong(ambiguous_flux),125.0,0.0
G1,G1_yaw090_pitch+085,90.0,85.0,pdb_near_but_wrong(ambiguous_flux),145.0,0.0
G1,G1_yaw285_pitch-035,285.0,-35.0,pdb_near_but_wrong(ambiguous_flux),70.0,0.0
G1,G1_yaw135_pitch-010,135.0,-10.0,pdb_near_but_wrong(ambiguous_flux),110.0,0.0
G1,G1_yaw270_pitch+000,270.0,0.0,pdb_near_but_wrong(ambiguous_flux),170.0,0.0
G1,G1_yaw270_pitch-050,270.0,-50.0,pdb_near_but_wrong(ambiguous_flux),70.0,0.0
G1,G1_yaw180_pitch-090,180.0,-90.0,pdb_near_but_wrong(ambiguous_flux),120.0,0.0
G1,G1_yaw085_pitch-025,85.0,-25.0,pdb_near_but_wrong(ambiguous_flux),170.0,0.0
G1,G1_yaw355_pitch-045,355.0,-45.0,pdb_near_but_wrong(ambiguous_flux),120.0,0.0
G1,G1_yaw210_pitch+080,210.0,80.0,pdb_near_but_wrong(ambiguous_flux),55.0,0.0
G1,G1_yaw050_pitch-005,50.0,-5.0,pdb_near_but_wrong(ambiguous_flux),170.0,0.0
G1,G1_yaw070_pitch-085,70.0,-85.0,pdb_near_but_wrong(ambiguous_flux),105.0,0.0
G1,G1_yaw170_pitch-065,170.0,-65.0,pdb_near_but_wrong(ambiguous_flux),40.0,0.0
G1,G1_yaw200_pitch+000,200.0,0.0,pdb_near_but_wrong(ambiguous_flux),35.0,0.0
G1,G1_yaw180_pitch-040,180.0,-40.0,pdb_near_but_wrong(ambiguous_flux),55.0,0.0
G1,G1_yaw330_pitch+055,330.0,55.0,pdb_near_but_wrong(ambiguous_flux),125.0,0.0
G1,G1_yaw150_pitch+085,150.0,85.0,pdb_near_but_wrong(ambiguous_flux),75.0,0.0
G1,G1_yaw100_pitch+045,100.0,45.0,pdb_near_but_wrong(ambiguous_flux),125.0,0.0
G1,G1_yaw090_pitch+025,90.0,25.0,pdb_near_but_wrong(ambiguous_flux),65.0,0.0
G1,G1_yaw280_pitch+065,280.0,65.0,pdb_near_but_wrong(ambiguous_flux),90.0,0.0
G1,G1_yaw035_pitch+080,35.0,80.0,pdb_near_but_wrong(ambiguous_flux),170.0,0.0
G1,G1_yaw005_pitch+090,5.0,90.0,pdb_near_but_wrong(ambiguous_flux),60.0,0.0
G1,G1_yaw345_pitch-040,345.0,-40.0,pdb_near_but_wrong(ambiguous_flux),150.0,0.0
G1,G1_yaw035_pitch+025,35.0,25.0,pdb_near_but_wrong(ambiguous_flux),145.0,0.0
G1,G1_yaw115_pitch+015,115.0,15.0,pdb_near_but_wrong(ambiguous_flux),100.0,0.0
G1,G1_yaw115_pitch-025,115.0,-25.0,pdb_near_but_wrong(ambiguous_flux),175.0,0.0
G1,G1_yaw220_pitch+065,220.0,65.0,pdb_near_but_wrong(ambiguous_flux),135.0,0.0
G1,G1_yaw330_pitch+040,330.0,40.0,pdb_near_but_wrong(ambiguous_flux),60.0,0.0
G1,G1_yaw140_pitch+020,140.0,20.0,pdb_near_but_wrong(ambiguous_flux),80.0,0.0
G1,G1_yaw190_pitch-065,190.0,-65.0,pdb_near_but_wrong(ambiguous_flux),120.0,0.0
G1,G1_yaw315_pitch-015,315.0,-15.0,pdb_near_but_wrong(ambiguous_flux),165.0,0.0
G1,G1_yaw270_pitch-030,270.0,-30.0,pdb_near_but_wrong(ambiguous_flux),55.0,0.0
G1,G1_yaw015_pitch+085,15.0,85.0,pdb_near_but_wrong(ambiguous_flux),150.0,0.0
G1,G1_yaw335_pitch+040,335.0,40.0,pdb_near_but_wrong(ambiguous_flux),165.0,0.0
G1,G1_yaw160_pitch+090,160.0,90.0,pdb_near_but_wrong(ambiguous_flux),65.0,0.0
G1,G1_yaw045_pitch-010,45.0,-10.0,pdb_near_but_wrong(ambiguous_flux),85.0,0.0
G1,G1_yaw300_pitch-025,300.0,-25.0,pdb_near_but_wrong(ambiguous_flux),135.0,0.0
G1,G1_yaw255_pitch-015,255.0,-15.0,pdb_near_but_wrong(ambiguous_flux),170.0,0.0
G1,G1_yaw240_pitch-025,240.0,-25.0,pdb_near_but_wrong(ambiguous_flux),80.0,0.0
G1,G1_yaw115_pitch+035,115.0,35.0,pdb_near_but_wrong(ambiguous_flux),65.0,0.0
G1,G1_yaw040_pitch-075,40.0,-75.0,pdb_near_but_wrong(ambiguous_flux),35.0,0.0
G1,G1_yaw325_pitch-085,325.0,-85.0,pdb_near_but_wrong(ambiguous_flux),110.0,0.0
G1,G1_yaw270_pitch+030,270.0,30.0,pdb_near_but_wrong(ambiguous_flux),165.0,0.0
G1,G1_yaw175_pitch+010,175.0,10.0,pdb_near_but_wrong(ambiguous_flux),100.0,0.0
G1,G1_yaw115_pitch+020,115.0,20.0,pdb_near_but_wrong(ambiguous_flux),80.0,0.0
G1,G1_yaw135_pitch+030,135.0,30.0,pdb_near_but_wrong(ambiguous_flux),75.0,0.0
G1,G1_yaw025_pitch-080,25.0,-80.0,pdb_near_but_wrong(ambiguous_flux),65.0,0.0
G1,G1_yaw080_pitch+010,80.0,10.0,pdb_near_but_wrong(ambiguous_flux),45.0,0.0
G1,G1_yaw200_pitch-045,200.0,-45.0,pdb_near_but_wrong(ambiguous_flux),175.0,0.0
