alpha,angular_err_mean,angular_err_median,angular_err_p90,angular_err_p95,yaw_err_mean,yaw_err_median,yaw_err_p95,pitch_err_mean,pitch_err_median,pitch_err_p95,top1_acc@5deg,top5_acc@5deg,top1_acc@10deg,top5_acc@10deg
0.0,4.307361211106936,4.829526401830534,6.538687182155923,8.393253993171543,4.490929285449833,5.0,10.0,2.0085153646797482,0.0,5.0,0.8130322102924843,0.9914846353202518,0.9759348389485376,1.0
0.05,4.271081349799638,4.829526401830534,6.379960616353022,8.188093361865063,4.42428730099963,5.0,10.0,1.967789707515735,0.0,5.0,0.8200666419844502,0.9929655683080341,0.9770455386893743,1.0
0.1,4.199635964983522,4.829526401830534,6.209279103251832,7.57659560387564,4.333580155497963,5.0,10.0,1.9252128841169938,0.0,5.0,0.8271010736764162,0.9940762680488708,0.980007404664939,1.0
0.15000000000000002,4.162192147422963,4.829526401830534,6.209279103251715,7.066574389261542,4.296556830803406,5.0,10.0,1.9085523880044428,0.0,5.0,0.8326545723805998,0.9940762680488708,0.9825990373935579,1.0
0.16,4.160661146587148,4.829526401830534,6.209279103251715,7.066574389261542,4.29285449833395,5.0,10.0,1.904850055534987,0.0,5.0,0.8337652721214365,0.9940762680488708,0.9825990373935579,1.0
0.17,4.152341347206276,4.829526401830534,6.031043738974251,7.066574389261542,4.289152165864494,5.0,10.0,1.8937430581266197,0.0,5.0,0.8359866716031099,0.9944465012958164,0.9829692706405035,1.0
0.18,4.149139339382769,4.829526401830534,6.03104373897419,7.066574389261542,4.291003332099223,5.0,10.0,1.8863383931877082,0.0,5.0,0.8363569048500555,0.9944465012958164,0.9829692706405035,1.0
0.19,4.134800867054069,4.829526401830534,6.03104373897419,7.0397014191753895,4.253980007404665,5.0,10.0,1.8733802295446131,0.0,5.0,0.8393187708256201,0.994816734542762,0.9833395038874491,1.0
0.2,4.123779266109323,4.829526401830458,6.03104373897419,7.0397014191753895,4.25027767493521,5.0,10.0,1.8659755646057017,0.0,5.0,0.8407997038134024,0.994816734542762,0.9840799703813402,1.0
0.21,4.124163011262673,4.829526401830458,6.03104373897419,7.0397014191753895,4.24102184376157,5.0,10.0,1.8678267308404295,0.0,5.0,0.8415401703072936,0.994816734542762,0.9844502036282858,1.0
0.22,4.114675496431105,4.829526401830458,5.850231686739046,7.039701419175338,4.237319511292114,5.0,10.0,1.8567197334320622,0.0,5.0,0.8441318030359126,0.994816734542762,0.9848204368752314,1.0
0.23,4.107754178925079,4.829526401830458,5.850231686739046,6.986471244557712,4.222510181414291,5.0,10.0,1.860422065901518,0.0,5.0,0.8456127360236949,0.994816734542762,0.985190670122177,1.0
