key,ocs_image,ocs_module_a,ocs_module_a_no_occ,occlusion_ratio_a,rel_err,abs_err,obj_pixels,rad_max,rad_mean_obj,dt_sec,px_jinshuzhuti,px_taiyangnengban,px_yinshenban
yaw000.00_pitch+00.00,0.0024802509615582235,0.0022256859140351824,0.010336941533710018,0.7846862239883092,0.11437599794191672,0.00025456504752304106,5949,0.6452698761040637,0.002603236258827188,0.018520699999999973,5638,247,64
yaw000.00_pitch+05.00,0.001837545322473534,0.002978117209706029,0.04406624682888615,0.9324172711765,0.38298421684520645,0.001140571887232495,5995,0.6643423636959105,0.0019138627912146365,0.01908749999999998,5660,258,77
yaw000.00_pitch+10.00,0.0033932263587092416,0.005742743407056358,0.04643181952883281,0.8763187946255201,0.4091279867145314,0.0023495170483471164,6039,9.976287390039584,0.0035084050644340354,0.018795000000000006,5703,259,77
yaw000.00_pitch+15.00,0.006661451830158515,0.01716920660588104,0.06902143385960571,0.7512481899346749,0.6120116681526366,0.010507754775722524,6062,15.532943974978664,0.006861433943738228,0.01895060000000004,5736,249,77
yaw000.00_pitch+20.00,0.001863261248305223,0.018123775583332606,0.044338832291744366,0.5912437327153708,0.8971924343391917,0.016260514335027385,6076,0.9305181468573215,0.001914775726879058,0.01832889999999998,5751,247,78
yaw000.00_pitch+25.00,0.00987675088450468,0.011967291708296385,0.01802998752709055,0.3362562403154632,0.17468788049533607,0.002090540823791705,6097,44.80051621825505,0.010114858969587992,0.017550999999999983,5775,246,76
yaw000.00_pitch+30.00,0.012870646258749948,0.003810728397816091,0.009778701195313976,0.610303216991412,2.377476669847699,0.009059917860933856,6099,52.1836271860059,0.013176608658695283,0.0196925,5776,250,73
yaw000.00_pitch+35.00,0.0025217195612479894,0.0027753075438279986,0.03224012644994167,0.9139175974344536,0.09137293023397099,0.0002535879825800091,6098,4.401955634262335,0.0025820895151523497,0.01847500000000002,5798,232,68
yaw000.00_pitch+40.00,0.001833573105524582,0.00292372457176832,0.01847101077338382,0.8417128002555594,0.3728639410053579,0.0010901514662437382,6070,0.43662614615932427,0.0018861293189383677,0.017771800000000004,5775,235,60
yaw000.00_pitch+45.00,0.0016587162950711875,0.00342171293211145,0.011676957299709603,0.7069687895324799,0.5152380319503784,0.0017629966370402625,6045,0.11127445866098765,0.0017133170345305523,0.018943600000000005,5751,236,58
yaw000.00_pitch+50.00,0.001760951139258727,0.0040877357591483235,0.013025933549085896,0.6861848140293036,0.5692111127002936,0.0023267846198895964,6001,0.06491414741858623,0.0018322536941777995,0.017684900000000003,5716,238,47
yaw000.00_pitch+55.00,0.0022526642284490662,0.004838590292337101,0.018122480941971265,0.7330061867450481,0.5344379060122901,0.0025859260638880347,5959,0.14372402870493592,0.0023603967289735003,0.016928200000000004,5684,235,40
yaw000.00_pitch+60.00,0.002967292901993066,0.005732239712271273,0.022319682490343933,0.7431755709450084,0.48235017184629536,0.0027649468102782073,5918,0.2922997813043966,0.003130742751791358,0.018224500000000032,5652,238,28
yaw000.00_pitch+65.00,0.0030799043299121957,0.006836102035814596,0.020941991870044262,0.673569635675723,0.5494648392056671,0.0037561977059024005,5868,0.5921881276165235,0.003277246045434078,0.018328800000000034,5616,229,23
yaw000.00_pitch+70.00,0.004039167330317594,0.007585842975382095,0.023923087583729706,0.6829070265770674,0.46753876353285007,0.003546675645064501,5821,1.8635105564656111,0.004332675592823008,0.017985499999999988,5580,228,13
yaw000.00_pitch+75.00,0.00916373959885723,0.009421825305637238,0.03057186836354629,0.6918138860995566,0.027392325627773065,0.0002580857067800077,5769,13.74616165563335,0.009918228911069176,0.016736900000000055,5542,220,7
yaw000.00_pitch+80.00,0.003024942374784536,0.01945298008671161,0.05577050020671039,0.6511958828662076,0.8444997958512853,0.016428037711927072,5738,1.8452866124945297,0.0032916866697994063,0.01718759999999997,5519,216,3
yaw000.00_pitch+85.00,0.0019343103549883038,0.010676888920152729,0.04448253912051509,0.7599757313487393,0.8188320240611219,0.008742578565164425,5802,0.22146224958763577,0.0020816626939599544,0.017199999999999993,5586,215,1
yaw000.00_pitch+90.00,0.0020744646493088712,0.010700369433486389,0.03664439454958281,0.7079943722631867,0.8061314927298758,0.008625904784177518,5891,0.17468971371312317,0.0021987656449756927,0.01699230000000007,5661,228,2
yaw000.00_pitch-05.00,0.015193482881676827,0.002692168425260128,0.007607647361644721,0.6461233943580029,4.643585571808633,0.012501314456416699,5876,36.07019818769517,0.016144978858468252,0.0176539,5538,256,82
yaw000.00_pitch-10.00,0.01356489863380798,0.0040210508193984015,0.011770905985510756,0.6583907114415779,2.3734710758610746,0.009543847814409579,5736,16.588006000572584,0.01476622008058193,0.018635199999999963,5486,171,79
yaw000.00_pitch-15.00,0.04662015866563542,0.0052165900931243235,0.012942197430753893,0.5969316554599606,7.936902810723555,0.041403568572511096,5865,49.97312834251488,0.049632672160853285,0.016950299999999974,5524,262,79
yaw000.00_pitch-20.00,0.01706882942452557,0.004215754270193997,0.012189614756798093,0.6541519683513468,3.0488198150458405,0.012853075154331574,5970,13.674364114290436,0.017852183165812448,0.01720010000000005,5503,389,78
yaw000.00_pitch-25.00,0.014907102637105124,0.005812417756430338,0.015352234201479029,0.621395968811473,1.564699108320843,0.009094684880674785,6038,12.504114297705389,0.015415657752367208,0.016815099999999972,5460,504,74
yaw000.00_pitch-30.00,0.003909784904828962,0.01668324617496096,0.027699276876382177,0.3977010212426898,0.7656460341215273,0.012773461270132,6086,2.093232255583301,0.004011278764504905,0.021105299999999994,5402,608,76
yaw000.00_pitch-35.00,0.006980429681114579,0.007679779804026543,0.020808774872178245,0.6309355139261675,0.0910638248436878,0.0006993501229119641,6115,18.92225967978177,0.007127670618371176,0.018046100000000065,5333,714,68
yaw000.00_pitch-40.00,0.006162767008539527,0.0076013891182909995,0.02323524469757939,0.672850911740865,0.18925779056485323,0.0014386221097514723,6136,10.280938477855875,0.006271224165163154,0.017472800000000066,5247,825,64
yaw000.00_pitch-45.00,0.003983366879343066,0.009505252101427697,0.0274864908517983,0.6541845900708778,0.580929907293594,0.005521885222084631,6144,0.561815427499749,0.00404819130633466,0.017169199999999996,5170,917,57
yaw000.00_pitch-50.00,0.0044888626359606085,0.008893046941053407,0.027887320526423023,0.681107873643604,0.4952390709602068,0.0044041843050927985,6183,0.12708244217819864,0.004533138583052126,0.01677470000000003,5121,1005,57
yaw000.00_pitch-55.00,0.005254032271473741,0.010012438939202352,0.03163319787601014,0.6834831881858032,0.4752495068007569,0.004758406667728611,6199,0.04338956476243647,0.005292160738775876,0.01705000000000001,5070,1086,43
yaw000.00_pitch-60.00,0.006109714212068273,0.009961357676414572,0.03473193648307989,0.7131931390791476,0.3866584846627689,0.0038516434643462993,6207,0.1685700263367075,0.006146120598394908,0.01836099999999996,5017,1157,33
yaw000.00_pitch-65.00,0.007333327486186944,0.010486290909229068,0.0372227816819662,0.7182829859728217,0.30067480011136977,0.003152963423042124,6244,1.3542692180839206,0.007333311149489927,0.01854330000000004,4980,1235,29
yaw000.00_pitch-70.00,0.008087983215965983,0.011552462916663602,0.048668670778252765,0.7626303999692193,0.29989100382225464,0.003464479700697619,6212,0.6138620688202058,0.008129628895189932,0.01673340000000001,4897,1290,25
yaw000.00_pitch-75.00,0.009717995207078197,0.013078551880970835,0.08394341610113706,0.8441980027925778,0.2569517408714198,0.0033605566738926385,6216,0.910613777854383,0.009761748213644325,0.017865600000000037,4860,1337,19
yaw000.00_pitch-80.00,0.012104289121730522,0.011780905357627722,0.04175397643763597,0.717849499311191,0.027449822767094935,0.00032338376410280013,6184,2.910953728951913,0.012221703251266973,0.018617400000000006,4794,1375,15
yaw000.00_pitch-85.00,0.011377377007065892,0.010963731487908846,0.035901518224303035,0.6946164945055973,0.03772853426894189,0.00041364551915704616,6162,0.924866040542513,0.011528754263744213,0.01766649999999992,4748,1402,12
yaw000.00_pitch-90.00,0.011007152064998096,0.011999979034730247,0.03815827828127251,0.6855209518030154,0.08273572535907928,0.000992826969732151,6099,1.263638750840663,0.011268815278691077,0.01722060000000003,4712,1384,3
yaw005.00_pitch+00.00,0.002291180503370052,0.003415497846778869,0.011297480758500955,0.6976761527822185,0.3291811015103266,0.0011243173434088167,5840,0.6079536503147811,0.0024496745193150083,0.01744380000000001,5519,259,62
yaw005.00_pitch+05.00,0.002711959291128282,0.0035445475815311825,0.03658533542623709,0.9031156188610692,0.2348926827054292,0.0008325882904029005,5921,4.98395786520695,0.0028598946276884646,0.01825969999999999,5589,268,64
yaw005.00_pitch+10.00,0.008092850749997193,0.005013746200535142,0.04390965865256226,0.8858167803077974,0.6141325121589528,0.0030791045494620514,5951,28.621038106648587,0.008491286760494625,0.018988899999999975,5622,264,65
yaw005.00_pitch+15.00,0.003967239484251015,0.01611248297606367,0.049469422234251124,0.6742940942433754,0.7537785150715346,0.012145243491812653,5978,6.938757755006172,0.004143758473652878,0.018534999999999968,5663,255,60
yaw005.00_pitch+20.00,0.0035808305077115214,0.015081375104595496,0.0291027633087317,0.4817888959681491,0.7625660470032076,0.011500544596883974,5993,6.687481783568814,0.003730795241268154,0.018721899999999958,5677,257,59
yaw005.00_pitch+25.00,0.0020470592997179275,0.011946605218433473,0.019730691130765803,0.3945166370880292,0.8286492888741867,0.009899545918715546,5996,0.9727589996532073,0.0021317227806726866,0.01805129999999988,5686,250,60
yaw005.00_pitch+30.00,0.005787763698229663,0.003830837954296163,0.01425742195436767,0.7313092109809789,0.5108349053863972,0.0019569257439335,6007,8.43438125409411,0.006016100553379328,0.017727500000000118,5702,251,54
yaw005.00_pitch+35.00,0.006787826688210832,0.003183364215792203,0.014643955805082093,0.7826158274332242,1.1322808915603877,0.0036044624724186295,6000,26.659696152120425,0.007063849237124972,0.017464900000000005,5701,248,51
yaw005.00_pitch+40.00,0.0024099625749810197,0.0032059139280644126,0.015818535906734876,0.7973318171184561,0.2482759584141277,0.0007959513530833929,5965,1.296095658453995,0.0025226777528388855,0.01779240000000004,5674,248,43
