geom_id,pose_id,role,group,label,ocs_total,dominant_part,metal_pct,dark_pct,avgN_vs_H_deg,reflect_vs_det_deg,pct_NoH_ge_0.99,mean_NoH_pow_n,near_specular_metal,strong_surface_highlight,dark_panel_increment
G0_baseline,A_top1,top1,mandatory,yaw2450_pitchp0275_roll+015,0.20889049,jinshuzhuti,95.02,4.201,0.568,1.063,81.34,8.1055e-01,1,1,1
G0_baseline,B_R4,R4_robust,mandatory,yaw1475_pitchp0125_roll+000,0.20114612,jinshuzhuti,98.79,0.463,0.193,0.334,83.96,8.4039e-01,1,1,0
G0_baseline,C_R3,R3_negative,mandatory,yaw055_pitch+060_roll+000,0.06625763,jinshuzhuti,98.50,0.000,12.455,21.781,0.20,1.1162e-01,0,0,0
G0_baseline,D1,top1_neighbor,top1_neighbor,yaw2450_pitchp0300_roll+015,0.20837701,jinshuzhuti,95.07,4.187,0.248,0.463,80.66,8.0617e-01,1,1,1
G0_baseline,D2,top1_neighbor,top1_neighbor,yaw2450_pitchp0325_roll+015,0.20790972,jinshuzhuti,95.03,4.221,0.760,1.519,81.23,8.0557e-01,1,1,1
G0_baseline,D3,top1_neighbor,top1_neighbor,yaw2475_pitchp0375_roll+015,0.20560145,jinshuzhuti,95.07,4.241,1.124,1.974,79.86,7.8962e-01,1,1,1
G0_baseline,D4,top1_neighbor,top1_neighbor,yaw2425_pitchp0225_roll+015,0.20368337,jinshuzhuti,94.89,4.308,1.366,2.437,81.95,8.0266e-01,1,1,1
G0_baseline,D5_roll125,top1_neighbor_roll125,top1_neighbor,yaw2450_pitchp0275_roll+0125,0.19780398,jinshuzhuti,94.72,4.425,2.260,4.032,80.25,7.5568e-01,0,1,1
G0_baseline,D6_roll175,top1_neighbor_roll175,top1_neighbor,yaw2475_pitchp0300_roll+0175,0.19526323,jinshuzhuti,94.76,4.451,2.403,4.312,81.12,7.5368e-01,0,1,1
G0_baseline,E1_R4roll-15,R4_cluster_nsm1,R4_cluster,yaw1475_pitchp0125_roll-015,0.20182256,jinshuzhuti,98.80,0.482,0.203,0.358,83.61,8.3738e-01,1,1,0
G0_baseline,E2_R4roll+15,R4_cluster_nsm1,R4_cluster,yaw1475_pitchp0125_roll+015,0.19740410,jinshuzhuti,98.57,0.496,0.203,0.348,85.09,8.5374e-01,1,1,0
G0_baseline,F1_edge,bright_edge_nsm0,bright_edge,yaw2425_pitchp0275_roll+015,0.19927523,jinshuzhuti,94.77,4.383,2.075,4.049,81.31,7.6949e-01,0,1,1
G0_baseline,F2_edge,bright_edge_nsm0,bright_edge,yaw2475_pitchp0300_roll+015,0.19826230,jinshuzhuti,94.88,4.400,2.153,4.295,81.12,7.6354e-01,0,1,1
