geom_id,pose_id,label,role,group,yaw,pitch,roll,sun_dir,det_dir,camera_exr_src,sun_exr_src,ocs_total,ocs_metal,ocs_dark,ocs_solar,n_pixels_camera_visible,n_pixels_contributing,image_usable,status,failed_reason
G1_sun_plus,A_top1,yaw2450_pitchp0275_roll+015,top1,mandatory,245.0,27.5,15.0,"[0.985705691479985, 0.0, 0.16847637752505384]","[0.44543540318737396, -0.8908708063747479, 0.0890870806374748]",REUSED_BASELINE,NEW_26,0.16959145665168762,0.15943531692028046,0.008611539378762245,0.0015446081524714828,6157,4151,True,COMPLETE,
G1_sun_plus,B_R4,yaw1475_pitchp0125_roll+000,R4_robust,mandatory,147.5,12.5,0.0,"[0.985705691479985, 0.0, 0.16847637752505384]","[0.44543540318737396, -0.8908708063747479, 0.0890870806374748]",REUSED_BASELINE,NEW_26,0.17182572185993195,0.16941724717617035,0.0009204456000588834,0.001488018431700766,5588,3264,True,COMPLETE,
G1_sun_plus,C_R3,yaw055_pitch+060_roll+000,R3_negative,mandatory,55.0,60.0,0.0,"[0.985705691479985, 0.0, 0.16847637752505384]","[0.44543540318737396, -0.8908708063747479, 0.0890870806374748]",REUSED_BASELINE,NEW_26,0.1309957653284073,0.12981338798999786,0.0,0.0011823863023892045,6327,4113,True,COMPLETE,
G1_sun_plus,D1,yaw2450_pitchp0300_roll+015,top1_neighbor,top1_neighbor,245.0,30.0,15.0,"[0.985705691479985, 0.0, 0.16847637752505384]","[0.44543540318737396, -0.8908708063747479, 0.0890870806374748]",REUSED_BASELINE,NEW_26,0.17277131974697113,0.16270652413368225,0.008579903282225132,0.0014849023427814245,6179,4172,True,COMPLETE,
G1_sun_plus,D2,yaw2450_pitchp0325_roll+015,top1_neighbor,top1_neighbor,245.0,32.5,15.0,"[0.985705691479985, 0.0, 0.16847637752505384]","[0.44543540318737396, -0.8908708063747479, 0.0890870806374748]",REUSED_BASELINE,NEW_26,0.17613372206687927,0.16597849130630493,0.008647950366139412,0.0015072738751769066,6204,4202,True,COMPLETE,
G1_sun_plus,D3,yaw2475_pitchp0375_roll+015,top1_neighbor,top1_neighbor,247.5,37.5,15.0,"[0.985705691479985, 0.0, 0.16847637752505384]","[0.44543540318737396, -0.8908708063747479, 0.0890870806374748]",REUSED_BASELINE,NEW_26,0.18830133974552155,0.17825859785079956,0.0086557287722826,0.0013870380353182554,6282,4147,True,COMPLETE,
G1_sun_plus,D4,yaw2425_pitchp0225_roll+015,top1_neighbor,top1_neighbor,242.5,22.5,15.0,"[0.985705691479985, 0.0, 0.16847637752505384]","[0.44543540318737396, -0.8908708063747479, 0.0890870806374748]",REUSED_BASELINE,NEW_26,0.15599305927753448,0.1458936631679535,0.008561953902244568,0.0015374493086710572,6033,4173,True,COMPLETE,
G1_sun_plus,D5_roll125,yaw2450_pitchp0275_roll+0125,top1_neighbor_roll125,top1_neighbor,245.0,27.5,12.5,"[0.985705691479985, 0.0, 0.16847637752505384]","[0.44543540318737396, -0.8908708063747479, 0.0890870806374748]",REUSED_BASELINE,NEW_26,0.19528239965438843,0.1848534345626831,0.00875033251941204,0.001678639673627913,6205,4142,True,COMPLETE,
G1_sun_plus,D6_roll175,yaw2475_pitchp0300_roll+0175,top1_neighbor_roll175,top1_neighbor,247.5,30.0,17.5,"[0.985705691479985, 0.0, 0.16847637752505384]","[0.44543540318737396, -0.8908708063747479, 0.0890870806374748]",REUSED_BASELINE,NEW_26,0.13818776607513428,0.12835629284381866,0.008415876887738705,0.0014155779499560595,6163,4094,True,COMPLETE,
G1_sun_plus,E1_R4roll-15,yaw1475_pitchp0125_roll-015,R4_cluster_nsm1,R4_cluster,147.5,12.5,-15.0,"[0.985705691479985, 0.0, 0.16847637752505384]","[0.44543540318737396, -0.8908708063747479, 0.0890870806374748]",REUSED_BASELINE,NEW_26,0.17247211933135986,0.17010502517223358,0.0009610463166609406,0.001406058669090271,5530,2828,True,COMPLETE,
G1_sun_plus,E2_R4roll+15,yaw1475_pitchp0125_roll+015,R4_cluster_nsm1,R4_cluster,147.5,12.5,15.0,"[0.985705691479985, 0.0, 0.16847637752505384]","[0.44543540318737396, -0.8908708063747479, 0.0890870806374748]",REUSED_BASELINE,NEW_26,0.16835258901119232,0.16560237109661102,0.0009656388428993523,0.0017845883267000318,5607,2736,True,COMPLETE,
G1_sun_plus,F1_edge,yaw2425_pitchp0275_roll+015,bright_edge_nsm0,bright_edge,242.5,27.5,15.0,"[0.985705691479985, 0.0, 0.16847637752505384]","[0.44543540318737396, -0.8908708063747479, 0.0890870806374748]",REUSED_BASELINE,NEW_26,0.15810108184814453,0.14795781672000885,0.008549454621970654,0.0015938151627779007,6132,4266,True,COMPLETE,
G1_sun_plus,F2_edge,yaw2475_pitchp0300_roll+015,bright_edge_nsm0,bright_edge,247.5,30.0,15.0,"[0.985705691479985, 0.0, 0.16847637752505384]","[0.44543540318737396, -0.8908708063747479, 0.0890870806374748]",REUSED_BASELINE,NEW_26,0.16854442656040192,0.15856733918190002,0.00859938282519579,0.0013776776613667607,6192,4064,True,COMPLETE,
G1_sun_plus,F3_edge,yaw240_pitch+015_roll+015,bright_edge_nsm0,bright_edge,240.0,15.0,15.0,"[0.985705691479985, 0.0, 0.16847637752505384]","[0.44543540318737396, -0.8908708063747479, 0.0890870806374748]",REUSED_BASELINE,NEW_26,0.14275877177715302,0.13277485966682434,0.008485117927193642,0.001498796627856791,5780,4183,True,COMPLETE,
G2_sun_minus,A_top1,yaw2450_pitchp0275_roll+015,top1,mandatory,245.0,27.5,15.0,"[0.915667895194329, 0.0, 0.4019356984772403]","[0.44543540318737396, -0.8908708063747479, 0.0890870806374748]",REUSED_BASELINE,NEW_26,0.18072150647640228,0.17055000364780426,0.00861126184463501,0.0015602490166202188,6157,4125,True,COMPLETE,
G2_sun_minus,B_R4,yaw1475_pitchp0125_roll+000,R4_robust,mandatory,147.5,12.5,0.0,"[0.915667895194329, 0.0, 0.4019356984772403]","[0.44543540318737396, -0.8908708063747479, 0.0890870806374748]",REUSED_BASELINE,NEW_26,0.163129061460495,0.16079971194267273,0.0009081262978725135,0.0014212357345968485,5588,2824,True,COMPLETE,
G2_sun_minus,C_R3,yaw055_pitch+060_roll+000,R3_negative,mandatory,55.0,60.0,0.0,"[0.915667895194329, 0.0, 0.4019356984772403]","[0.44543540318737396, -0.8908708063747479, 0.0890870806374748]",REUSED_BASELINE,NEW_26,0.03953714668750763,0.038712698966264725,0.0,0.0008244502241723239,6327,4877,True,COMPLETE,
G2_sun_minus,D1,yaw2450_pitchp0300_roll+015,top1_neighbor,top1_neighbor,245.0,30.0,15.0,"[0.915667895194329, 0.0, 0.4019356984772403]","[0.44543540318737396, -0.8908708063747479, 0.0890870806374748]",REUSED_BASELINE,NEW_26,0.1766311228275299,0.1665962040424347,0.00854815635830164,0.001486768713220954,6179,4148,True,COMPLETE,
G2_sun_minus,D2,yaw2450_pitchp0325_roll+015,top1_neighbor,top1_neighbor,245.0,32.5,15.0,"[0.915667895194329, 0.0, 0.4019356984772403]","[0.44543540318737396, -0.8908708063747479, 0.0890870806374748]",REUSED_BASELINE,NEW_26,0.17271974682807922,0.16264578700065613,0.008580749854445457,0.0014932152116671205,6204,4177,True,COMPLETE,
G2_sun_minus,D3,yaw2475_pitchp0375_roll+015,top1_neighbor,top1_neighbor,247.5,37.5,15.0,"[0.915667895194329, 0.0, 0.4019356984772403]","[0.44543540318737396, -0.8908708063747479, 0.0890870806374748]",REUSED_BASELINE,NEW_26,0.15753455460071564,0.14775031805038452,0.008458811789751053,0.0013254234800115228,6282,4131,True,COMPLETE,
G2_sun_minus,D4,yaw2425_pitchp0225_roll+015,top1_neighbor,top1_neighbor,242.5,22.5,15.0,"[0.915667895194329, 0.0, 0.4019356984772403]","[0.44543540318737396, -0.8908708063747479, 0.0890870806374748]",REUSED_BASELINE,NEW_26,0.18842081725597382,0.17815831303596497,0.008664174936711788,0.0015983283519744873,6033,4150,True,COMPLETE,
G2_sun_minus,D5_roll125,yaw2450_pitchp0275_roll+0125,top1_neighbor_roll125,top1_neighbor,245.0,27.5,12.5,"[0.915667895194329, 0.0, 0.4019356984772403]","[0.44543540318737396, -0.8908708063747479, 0.0890870806374748]",REUSED_BASELINE,NEW_26,0.14114068448543549,0.1311608850955963,0.008430816233158112,0.0015489950310438871,6205,4119,True,COMPLETE,
G2_sun_minus,D6_roll175,yaw2475_pitchp0300_roll+0175,top1_neighbor_roll175,top1_neighbor,247.5,30.0,17.5,"[0.915667895194329, 0.0, 0.4019356984772403]","[0.44543540318737396, -0.8908708063747479, 0.0890870806374748]",REUSED_BASELINE,NEW_26,0.19493061304092407,0.18475785851478577,0.008646395988762379,0.0015263562090694904,6163,4076,True,COMPLETE,
G2_sun_minus,E1_R4roll-15,yaw1475_pitchp0125_roll-015,R4_cluster_nsm1,R4_cluster,147.5,12.5,-15.0,"[0.915667895194329, 0.0, 0.4019356984772403]","[0.44543540318737396, -0.8908708063747479, 0.0890870806374748]",REUSED_BASELINE,NEW_26,0.1640557199716568,0.1616245061159134,0.0009512850665487349,0.0014799460768699646,5530,3054,True,COMPLETE,
G2_sun_minus,E2_R4roll+15,yaw1475_pitchp0125_roll+015,R4_cluster_nsm1,R4_cluster,147.5,12.5,15.0,"[0.915667895194329, 0.0, 0.4019356984772403]","[0.44543540318737396, -0.8908708063747479, 0.0890870806374748]",REUSED_BASELINE,NEW_26,0.1600990891456604,0.15738776326179504,0.0009556607692502439,0.0017556491075083613,5607,2751,True,COMPLETE,
