geom_id,pose_id,label,camera_exr_src,sun_exr_src,new_render_views,n_new_units
G4_view_minus,B_R4,yaw1475_pitchp0125_roll+000,NEW_26,REUSED_BASELINE,camera,1
G4_view_minus,C_R3,yaw055_pitch+060_roll+000,NEW_26,REUSED_BASELINE,camera,1
G4_view_minus,D1,yaw2450_pitchp0300_roll+015,NEW_26,REUSED_BASELINE,camera,1
G4_view_minus,D2,yaw2450_pitchp0325_roll+015,NEW_26,REUSED_BASELINE,camera,1
G4_view_minus,D3,yaw2475_pitchp0375_roll+015,NEW_26,REUSED_BASELINE,camera,1
G4_view_minus,D4,yaw2425_pitchp0225_roll+015,NEW_26,REUSED_BASELINE,camera,1
G4_view_minus,D5_roll125,yaw2450_pitchp0275_roll+0125,NEW_26,REUSED_BASELINE,camera,1
G4_view_minus,D6_roll175,yaw2475_pitchp0300_roll+0175,NEW_26,REUSED_BASELINE,camera,1
G4_view_minus,E1_R4roll-15,yaw1475_pitchp0125_roll-015,NEW_26,REUSED_BASELINE,camera,1
G4_view_minus,E2_R4roll+15,yaw1475_pitchp0125_roll+015,NEW_26,REUSED_BASELINE,camera,1
G4_view_minus,F1_edge,yaw2425_pitchp0275_roll+015,NEW_26,REUSED_BASELINE,camera,1
G4_view_minus,F2_edge,yaw2475_pitchp0300_roll+015,NEW_26,REUSED_BASELINE,camera,1
G4_view_minus,F3_edge,yaw240_pitch+015_roll+015,NEW_26,REUSED_BASELINE,camera,1
