degrade_level,geom,select,record_id,yaw_true,pitch_true,neural_ocs_yaw_err,image_yaw_err,joint_yaw_err,pdb_yaw_err,pdb_margin,pdb_nearest_distance,pdb_cand_yaw_spread,hardcase_labels
clean,G1,best,G1_yaw275_pitch-015,275.0,-15.0,77.747,2.59,2.044,15.0,0.0,0.0,50.882,disagreement-hard
clean,G1,best,G1_yaw045_pitch-050,45.0,-50.0,36.151,1.067,0.262,0.0,0.0,0.0,36.156,disagreement-hard
clean,G1,best,G1_yaw300_pitch+070,300.0,70.0,18.526,1.703,1.226,55.0,0.0,0.0,58.457,disagreement-hard
clean,G1,best,G1_yaw290_pitch+005,290.0,5.0,9.466,0.156,3.088,75.0,0.0,0.0,56.116,disagreement-hard
clean,G1,best,G1_yaw355_pitch+045,355.0,45.0,47.516,4.28,3.865,0.0,0.0,0.0,63.838,disagreement-hard
clean,G1,best,G1_yaw085_pitch+000,85.0,0.0,14.433,1.817,1.753,80.0,0.0,0.0,59.668,disagreement-hard
clean,G1,best,G1_yaw285_pitch-035,285.0,-35.0,16.841,0.661,2.182,70.0,0.0,0.0,52.357,disagreement-hard
clean,G1,best,G1_yaw135_pitch-010,135.0,-10.0,23.27,1.892,2.649,110.0,0.0,0.0,56.403,disagreement-hard
clean,G1,best,G1_yaw085_pitch-025,85.0,-25.0,2.117,2.013,0.304,170.0,0.0,0.0,73.968,disagreement-hard
clean,G1,best,G1_yaw000_pitch+045,0.0,45.0,46.385,4.491,3.787,0.0,0.0,0.0,36.431,disagreement-hard
clean,G1,best,G1_yaw120_pitch+070,120.0,70.0,164.452,1.802,1.447,0.0,0.0,0.0,68.558,disagreement-hard
clean,G1,best,G1_yaw210_pitch+080,210.0,80.0,27.029,0.648,2.829,55.0,0.0,0.0,49.196,disagreement-hard
clean,G1,best,G1_yaw050_pitch-005,50.0,-5.0,9.145,1.562,3.054,170.0,0.0,0.0,83.726,disagreement-hard
clean,G1,best,G1_yaw170_pitch-065,170.0,-65.0,25.81,7.402,0.335,40.0,0.0,0.0,63.356,disagreement-hard
clean,G1,best,G1_yaw200_pitch+000,200.0,0.0,13.584,0.531,1.514,35.0,0.0,0.0,48.376,disagreement-hard
clean,G1,best,G1_yaw150_pitch+010,150.0,10.0,67.716,7.578,3.561,5.0,3e-06,1e-06,86.377,disagreement-hard
clean,G1,best,G1_yaw090_pitch+025,90.0,25.0,19.509,0.95,1.232,65.0,0.0,0.0,47.476,disagreement-hard
clean,G1,best,G1_yaw180_pitch+090,180.0,90.0,104.053,2.3,2.859,5.0,0.0,0.0,56.305,disagreement-hard
clean,G1,best,G1_yaw065_pitch-090,65.0,-90.0,8.925,3.941,4.58,175.0,1e-06,1e-06,71.652,disagreement-hard
clean,G1,best,G1_yaw280_pitch+080,280.0,80.0,82.529,0.826,5.093,5.0,0.0,0.0,59.053,disagreement-hard
clean,G1,best,G1_yaw170_pitch+050,170.0,50.0,77.599,2.527,0.917,10.0,0.0,0.0,65.355,disagreement-hard
clean,G1,best,G1_yaw190_pitch-065,190.0,-65.0,21.495,3.457,0.205,120.0,0.0,0.0,64.769,disagreement-hard
clean,G1,best,G1_yaw335_pitch-060,335.0,-60.0,135.711,1.759,1.192,0.0,0.0,0.0,64.776,disagreement-hard
clean,G1,best,G1_yaw260_pitch-080,260.0,-80.0,66.068,1.777,0.845,0.0,0.0,0.0,45.673,disagreement-hard
clean,G1,best,G1_yaw105_pitch-025,105.0,-25.0,134.142,1.154,0.057,5.0,0.0,0.0,65.315,disagreement-hard
clean,G1,best,G1_yaw250_pitch-010,250.0,-10.0,177.066,0.197,2.354,25.0,0.0,0.0,46.808,disagreement-hard
clean,G1,best,G1_yaw335_pitch+025,335.0,25.0,144.865,0.974,3.313,10.0,0.0,0.0,60.517,disagreement-hard
clean,G1,best,G1_yaw045_pitch-010,45.0,-10.0,26.275,0.711,2.528,85.0,0.0,0.0,27.659,disagreement-hard
clean,G1,best,G1_yaw040_pitch-075,40.0,-75.0,26.097,3.461,3.24,35.0,0.0,0.0,66.568,disagreement-hard
clean,G1,best,G1_yaw175_pitch+010,175.0,10.0,22.524,2.433,0.715,100.0,0.0,0.0,59.053,disagreement-hard
clean,G1,best,G1_yaw080_pitch+010,80.0,10.0,0.035,1.499,0.37,45.0,0.0,0.0,58.361,disagreement-hard
clean,G1,best,G1_yaw200_pitch-045,200.0,-45.0,4.702,3.074,1.628,175.0,0.0,0.0,65.706,disagreement-hard
clean,G1,best,G1_yaw195_pitch+050,195.0,50.0,52.586,4.397,3.126,15.0,0.0,0.0,65.355,disagreement-hard
clean,G1,best,G1_yaw270_pitch+025,270.0,25.0,77.684,3.909,1.156,10.0,0.0,0.0,45.456,disagreement-hard
clean,G1,best,G1_yaw210_pitch-050,210.0,-50.0,38.858,2.497,0.921,0.0,0.0,0.0,55.145,disagreement-hard
clean,G1,best,G1_yaw280_pitch+010,280.0,10.0,9.616,2.885,2.29,105.0,0.0,0.0,65.681,disagreement-hard
clean,G1,best,G1_yaw165_pitch+025,165.0,25.0,3.015,2.904,4.201,140.0,0.0,0.0,58.798,disagreement-hard
clean,G1,best,G1_yaw280_pitch-080,280.0,-80.0,35.833,3.142,2.61,0.0,0.0,0.0,4.717,disagreement-hard
clean,G1,best,G1_yaw070_pitch-090,70.0,-90.0,50.291,3.263,3.841,25.0,0.0,0.0,53.593,disagreement-hard
clean,G1,best,G1_yaw250_pitch+015,250.0,15.0,175.75,2.541,0.36,25.0,0.0,0.0,68.739,disagreement-hard
clean,G1,best,G1_yaw080_pitch-050,80.0,-50.0,10.979,0.159,0.028,45.0,0.0,0.0,64.391,disagreement-hard
clean,G1,best,G1_yaw345_pitch+065,345.0,65.0,98.476,1.305,2.223,5.0,0.0,0.0,63.736,disagreement-hard
clean,G1,best,G1_yaw015_pitch-020,15.0,-20.0,169.711,1.516,2.83,0.0,0.0,0.0,54.27,disagreement-hard
clean,G1,best,G1_yaw295_pitch+060,295.0,60.0,7.302,1.974,2.716,55.0,0.0,0.0,69.957,disagreement-hard
clean,G1,best,G1_yaw310_pitch+070,310.0,70.0,115.45,2.046,0.074,15.0,0.0,0.0,64.187,disagreement-hard
clean,G1,best,G1_yaw155_pitch-075,155.0,-75.0,92.103,14.237,4.66,10.0,0.0,2e-06,67.084,disagreement-hard
clean,G1,best,G1_yaw195_pitch-025,195.0,-25.0,36.723,6.339,3.769,0.0,0.0,0.0,40.682,disagreement-hard
clean,G1,best,G1_yaw045_pitch-025,45.0,-25.0,25.397,0.736,1.679,175.0,0.0,0.0,73.111,disagreement-hard
clean,G1,best,G1_yaw210_pitch-070,210.0,-70.0,29.796,0.04,1.267,170.0,0.0,0.0,55.635,disagreement-hard
clean,G1,best,G1_yaw245_pitch+050,245.0,50.0,31.099,0.838,0.602,0.0,0.0,0.0,7.348,disagreement-hard
