epoch,train_loss,val_loss
1,0.42872596221114134,0.4053302918161665
2,0.4124147950755978,0.4170731016567775
3,0.41618194498558453,0.4054665378161839
4,0.4101070606581483,0.40364613618169515
5,0.41039533820499535,0.40463356120245797
6,0.40654601275815,0.39982704435076033
7,0.3985257376891893,0.40217179656028745
8,0.39951183158593323,0.4002799042633602
9,0.40064937622678426,0.40526009712900435
10,0.40001773506032423,0.4014932632446289
11,0.3963794824179282,0.400294588293348
12,0.3927192982835414,0.40168586458478656
13,0.39497227572420773,0.40000166637556894
14,0.3930032364428573,0.4013650868620191
15,0.3907686350718273,0.4036099808556693
16,0.3904300574511025,0.39544263567243304
17,0.38822930294285873,0.39761855942862373
18,0.3876454443745249,0.3941831588745117
19,0.38531187335508965,0.39545014330318995
20,0.38299595108040696,0.38877001319612775
21,0.37981230459882354,0.3934278641428266
22,0.37787559104431584,0.38947554315839494
23,0.376300698169383,0.38653915354183743
24,0.37379059666638687,0.38786749158586775
25,0.3755897352369386,0.3817355224064418
26,0.3786038958581684,0.38664369668279375
27,0.36982165983684534,0.3843268513679504
28,0.36068074984829973,0.3884290712220328
29,0.3646421673348699,0.37317437870161874
30,0.3607024384222488,0.37725861583437237
31,0.3613131682042754,0.37183062519345966
32,0.3556398101958246,0.36657920735222954
33,0.34964182665885873,0.3668341977255685
34,0.34556159398272024,0.36211172938346864
35,0.34992635578287645,0.3959206734384809
36,0.3482831009327836,0.3561948026929583
37,0.33564692216910436,0.3511014435972486
38,0.3353129115028449,0.3561267648424421
39,0.3324881295010209,0.3479787903172629
40,0.3250739572844327,0.38509151339530945
41,0.3278893471081769,0.33591323920658656
42,0.3052549823245189,0.34473086936133246
43,0.30653757412734295,0.3302126833370754
44,0.29772163104418115,0.34029827799115864
45,0.2906238830534222,0.35283062202589854
46,0.303413917550397,0.34819630554744174
47,0.2840569406800753,0.318235068661826
48,0.28422851828762313,0.30929965462003434
49,0.2629362408792994,0.30075348615646363
50,0.24841272126929587,0.30057999406542096
51,0.2402057986488139,0.2723327824047634
52,0.22308778238762336,0.2942920335701534
53,0.21460689368722283,0.2736684645925249
54,0.2089482110463493,0.2784542994839804
55,0.18603542801753667,0.27391214200428554
56,0.16647149233369166,0.23872550896235875
57,0.17508585976029797,0.2434041883264269
58,0.16977853263144382,0.2152273382459368
59,0.15464723515150602,0.25884406226021905
60,0.15578094810300355,0.19398953999791826
61,0.14397500050427858,0.23346863985061644
62,0.13697713121215996,0.18750417402812414
63,0.12708977166543423,0.1939987472125462
64,0.11405750546690414,0.2165084149156298
65,0.10844630491299485,0.18578135924679892
66,0.11157513389340726,0.18220298503126417
67,0.09741197775248736,0.16682217653308595
68,0.088709951532247,0.1505156057221549
69,0.08297235440615015,0.13480536192655562
70,0.06892448740467085,0.14089470505714416
71,0.064109999573993,0.13134669086762837
72,0.0638390174516035,0.12134360500744411
73,0.05580355164795108,0.12120597405093057
74,0.05904171628411032,0.12191307885306223
75,0.05311880447962991,0.13353278573070254
76,0.05189603455960221,0.10239224987370628
77,0.03992797160392121,0.102203540291105
78,0.037148878858366825,0.09718715505940574
79,0.03970308172422234,0.10387382486036846
80,0.03819765024165066,0.09819806569388935
81,0.041055818321596875,0.10381105371883938
82,0.03606284289003795,0.09436961114406586
83,0.030638673301409024,0.08807053587266377
84,0.026557735251808674,0.08698067175490516
85,0.025077860620448474,0.1019911031637873
86,0.03391451483880224,0.08721801063844135
87,0.02938726946685073,0.09791736070598875
88,0.028084592327978428,0.08667402459042413
