idx,yaw,pitch,roll,sun_x,sun_y,sun_z,det_x,det_y,det_z,out_prefix,render_sec
0,0.0,-90.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch-90.00,0.382
1,0.0,-85.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch-85.00,0.334
2,0.0,-80.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch-80.00,0.324
3,0.0,-75.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch-75.00,0.324
4,0.0,-70.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch-70.00,0.322
5,0.0,-65.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch-65.00,0.327
6,0.0,-60.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch-60.00,0.318
7,0.0,-55.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch-55.00,0.315
8,0.0,-50.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch-50.00,0.315
9,0.0,-45.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch-45.00,0.320
10,0.0,-40.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch-40.00,0.305
11,0.0,-35.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch-35.00,0.311
12,0.0,-30.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch-30.00,0.306
13,0.0,-25.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch-25.00,0.302
14,0.0,-20.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch-20.00,0.300
15,0.0,-15.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch-15.00,0.296
16,0.0,-10.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch-10.00,0.306
17,0.0,-5.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch-05.00,0.309
18,0.0,0.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch+00.00,0.298
19,0.0,5.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch+05.00,0.305
20,0.0,10.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch+10.00,0.310
21,0.0,15.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch+15.00,0.307
22,0.0,20.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch+20.00,0.306
23,0.0,25.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch+25.00,0.302
24,0.0,30.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch+30.00,0.309
25,0.0,35.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch+35.00,0.310
26,0.0,40.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch+40.00,0.300
27,0.0,45.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch+45.00,0.307
28,0.0,50.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch+50.00,0.304
29,0.0,55.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch+55.00,0.301
30,0.0,60.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch+60.00,0.304
31,0.0,65.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch+65.00,0.305
32,0.0,70.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch+70.00,0.304
33,0.0,75.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch+75.00,0.311
34,0.0,80.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch+80.00,0.307
35,0.0,85.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch+85.00,0.307
36,0.0,90.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw000.00_pitch+90.00,0.309
37,5.0,-90.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw005.00_pitch-90.00,0.310
38,5.0,-85.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw005.00_pitch-85.00,0.303
39,5.0,-80.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw005.00_pitch-80.00,0.316
40,5.0,-75.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw005.00_pitch-75.00,0.314
41,5.0,-70.0,0.0,0.9578262567520142,0.0,0.2873478829860687,0.44543540477752686,-0.8908708095550537,0.08908708393573761,yaw005.00_pitch-70.00,0.305
