yaw,pitch,roll,ocs_no_occ,ocs_with_occ,occlusion_ratio,visible_faces_no_occ,visible_faces_with_occ,ocs_no_occ_jinshuzhuti,ocs_no_occ_taiyangnengban,ocs_no_occ_yinshenban,ocs_with_occ_jinshuzhuti,ocs_with_occ_taiyangnengban,ocs_with_occ_yinshenban,visible_faces_no_occ_jinshuzhuti,visible_faces_no_occ_taiyangnengban,visible_faces_no_occ_yinshenban,visible_faces_with_occ_jinshuzhuti,visible_faces_with_occ_taiyangnengban,visible_faces_with_occ_yinshenban
0.0,-40.0,0.0,0.02323524469757939,0.0076013891182909995,0.672850911740865,36627,6416,0.0032788861596972398,0.019582222379774993,0.0003741361581071573,0.0009786302888707184,0.006371926439124508,0.00025083239029577344,34899,1425,303,5992,387,37
0.0,-35.0,0.0,0.020808774872178245,0.007679779804026543,0.6309355139261675,36669,6529,0.00332266272855554,0.017096706217259863,0.0003894059263628432,0.0018144502001431707,0.005599206834009087,0.00026612276987428475,34915,1440,314,6105,383,41
0.0,-30.0,0.0,0.027699276876382177,0.01668324617496096,0.3977010212426898,36746,6599,0.012724553718669195,0.014569552278077633,0.00040517087963534666,0.01161667561936844,0.004787929798468836,0.0002786407571236873,34990,1440,316,6185,376,38
0.0,-25.0,0.0,0.015352234201479029,0.005812417756430338,0.621395968811473,36854,6733,0.0028595524529867944,0.012071579349498967,0.0004211023989932671,0.0015370627518942527,0.0039756123030671355,0.0002997427014689501,35097,1441,316,6325,369,39
0.0,-20.0,0.0,0.012189614756798093,0.004215754270193997,0.6541519683513468,36792,6692,0.002078894850944002,0.0096739622965345,0.0004367576093195913,0.0006799910407488671,0.003222587176876422,0.000313176052568708,35028,1445,319,6290,363,39
0.0,-15.0,0.0,0.012942197430753893,0.0052165900931243235,0.5969316554599606,36755,6503,0.005044530771738846,0.007446076598044539,0.00045159006097050824,0.0023522422342582895,0.0025202577377072153,0.00034409012115881813,34983,1454,318,6117,345,41
0.0,-10.0,0.0,0.011770905985510756,0.0040210508193984015,0.6583907114415779,36661,6317,0.005852967360477615,0.005452866349892291,0.00046507227514084963,0.0017728424480124457,0.0018911765003997343,0.0003570318709862218,34892,1454,315,5952,325,40
0.0,-5.0,0.0,0.007607647361644721,0.002692168425260128,0.6461233943580029,36628,6527,0.003378182442428444,0.003752803157168841,0.0004766617620474357,0.0009592660975744447,0.001352081164205708,0.000380821163479975,34855,1454,319,6186,297,44
0.0,0.0,0.0,0.010336941533710018,0.0022256859140351824,0.7846862239883092,36489,6450,0.007455801828400445,0.0023951606666279637,0.0004859790386816096,0.000897244916489411,0.0009382560476808581,0.00039018494986491347,34712,1454,323,6120,286,44
0.0,5.0,0.0,0.04406624682888615,0.002978117209706029,0.9324172711765,36565,6405,0.0421613349642553,0.001412182825638352,0.0004927290389924945,0.0019899547006905233,0.0005913196493783831,0.00039684285963712267,34805,1442,318,6126,233,46
0.0,10.0,0.0,0.04643181952883281,0.005742743407056358,0.8763187946255201,36032,6175,0.045112115665601665,0.0008228964888328411,0.0004968073743983085,0.005009360375806775,0.00033283281751232837,0.0004005502137372545,34412,1304,316,5949,180,46
0.0,15.0,0.0,0.06902143385960571,0.01716920660588104,0.7512481899346749,27750,4624,0.06778671296051404,0.0007357525457516891,0.0004989683533399901,0.016467687902765336,0.0002996404833418803,0.00040187821977382337,26971,508,271,4553,38,33
0.0,20.0,0.0,0.044338832291744366,0.018123775583332606,0.5912437327153708,36548,5927,0.04283239815515936,0.0010089316177748168,0.0004975025188101944,0.01731846453594504,0.00040680007791470997,0.00039851096947285505,34899,1340,309,5522,370,35
0.0,25.0,0.0,0.01802998752709055,0.011967291708296385,0.3362562403154632,36617,5980,0.015774762726691108,0.001761353073723629,0.0004938717266758114,0.010845578006176948,0.0007310146024954688,0.0003906990996239678,34956,1352,309,5614,332,34
0.0,30.0,0.0,0.009778701195313976,0.003810728397816091,0.610303216991412,36742,6053,0.006389459938223269,0.002901947225893281,0.0004872940311974255,0.002238704613052758,0.0011936076593183087,0.00037841612544502445,35079,1352,311,5689,330,34
0.0,35.0,0.0,0.03224012644994167,0.0027753075438279986,0.9139175974344536,36788,6064,0.027357542125371493,0.0044046529859966405,0.00047793133857353934,0.0008240514393871722,0.0016088078491858907,0.0003424482552549357,35125,1352,311,5697,334,33
0.0,40.0,0.0,0.01847101077338382,0.00292372457176832,0.8417128002555594,36714,5962,0.011779560553496873,0.00622520820898384,0.0004662420109031024,0.00041365123523759114,0.002205202986337076,0.0003048703501936528,35051,1352,311,5589,338,35
0.0,45.0,0.0,0.011676957299709603,0.00342171293211145,0.7069687895324799,36736,5956,0.002911538707588591,0.008312903247847413,0.0004525153442735989,0.0002743802661332345,0.0028896741341006464,0.0002576585318775691,35082,1347,307,5587,338,31
