epoch,train_loss,val_loss
1,0.4322706256624225,0.31732253347124373
2,0.3079846665977796,0.2846227765083313
3,0.28060328685157465,0.26577415892056055
4,0.2558556479628514,0.2511779044355665
5,0.24610310358857176,0.23471599732126508
6,0.2340488187690823,0.21493458960737502
7,0.21971545660898062,0.20615200570651462
8,0.2129168117925075,0.19682073763438634
9,0.19686589409890015,0.18409817814826965
10,0.18411337058878707,0.17258966990879604
11,0.18383628341698519,0.16439111403056553
12,0.17221070381400852,0.16682318321296147
13,0.16896382580324346,0.15637874943869454
14,0.15274714380767376,0.15575516309056964
15,0.14685771033353112,0.1507284986121314
16,0.13726509227475306,0.14101722027574268
17,0.13470589638179825,0.13527336844376156
18,0.1254842076880682,0.13708142638206483
19,0.12413654808570394,0.1316083252429962
20,0.12069459968837074,0.12189523833138602
21,0.12094842339493665,0.1227161637374333
22,0.11101718015346815,0.12671324184962682
23,0.11138674231712602,0.1251342977796282
24,0.11165192540648987,0.12051795082432883
25,0.09803179406675099,0.1091106823512486
26,0.09035609777666112,0.10560319636549269
27,0.0927339414693746,0.10855387576988765
28,0.0836246182106528,0.09965443781444004
29,0.08439138767244972,0.09446996109826224
30,0.0884438606233834,0.10540537578719003
31,0.08945805353127406,0.09263480944292886
32,0.08759882878082048,0.10076633564063481
33,0.08244948423935719,0.09365877083369664
34,0.0814624671852398,0.08982862085103989
35,0.07838814235813453,0.09092028779642923
36,0.07221970803784224,0.09736408931868416
37,0.07285576230361661,0.08917291079248701
38,0.06678905495530123,0.0965988278388977
39,0.06227330462494286,0.0895209578531129
40,0.062409512791286356,0.08563100440161568
41,0.06487293874921003,0.09008443972894124
42,0.06667765427122743,0.08530515900679997
43,0.06365301141756889,0.08301014410597937
44,0.057393476625054174,0.0979379905121667
45,0.0544455119377237,0.08809369717325483
46,0.05944294093398387,0.0778055340051651
47,0.05522504579904448,0.07466422404561723
48,0.05239600217098876,0.09227917960711889
49,0.05389630737620179,0.07888203029121671
50,0.05377355437613296,0.08746992179325648
51,0.05450673862550653,0.07636031125273024
52,0.05287711154901113,0.08748801797628403
53,0.051850787712985624,0.07704227353845323
54,0.0441658298615664,0.07910256130354745
55,0.04921830924588452,0.07589211591652462
56,0.04874066743159379,0.08149466684886388
57,0.04736742176790432,0.07650880153690065
58,0.04548181326758798,0.08136413331542697
59,0.05002375866814151,0.07657174808638437
60,0.046102193159383735,0.08054721908909934
61,0.04393272679530706,0.0747565290757588
62,0.043940267616595086,0.0770360712494169
63,0.042093636206687025,0.07530918504510607
64,0.0454465556446443,0.07446432156222207
65,0.04371785996465234,0.06683781423739024
66,0.04633432672380554,0.0697180300951004
67,0.04544196317557967,0.07204041949340276
68,0.04106165301286306,0.07118035065276282
69,0.04115159563442318,0.06756867638656071
70,0.04164377992334205,0.07610439998762948
71,0.03917814208919159,0.07755499609879085
72,0.040787767757848564,0.06818045037133354
73,0.03814034095136565,0.07375070367540631
74,0.04006083454559582,0.06374772701944624
75,0.0364238762596149,0.06273639564003264
76,0.03504339694897404,0.06697318490062441
77,0.03783383816282131,0.06918000515018191
78,0.03306860806251716,0.05973165844167982
79,0.03815836551372577,0.06731260120868683
80,0.03195889796697755,0.06419526168278285
81,0.033504873507558555,0.0697334953716823
82,0.038357546165929596,0.06448754966259003
83,0.034787003321450724,0.06483945974281856
84,0.034735987383084865,0.06454943269491195
85,0.03574329660295593,0.06636824437550136
86,0.0354764580289911,0.06371755067791257
87,0.03345776080000041,0.06807513513735362
88,0.032500108574942205,0.06319953298994473
89,0.033133192414659375,0.0664318846804755
90,0.029214182395494642,0.07146260355200086
91,0.02960246520159935,0.06273481526545116
92,0.03133770255752397,0.05879487224987575
93,0.02903916190178208,0.05857416604246412
94,0.02896387524386706,0.058806313361440384
95,0.03250197961026568,0.06289259940385819
96,0.029598843382396874,0.06087087307657514
97,0.029053401400469126,0.06633793456213814
