epoch,train_loss,grad_norm_mean,grad_finite,val_yaw_cmae_deg,val_yaw_hit@10,val_pitch_mae_deg,val_yaw_exact_sentinel
1,0.7242532125834761,3.5258746957166363,True,152.76230306146687,0.0,46.5918145796507,0.0
2,0.3246182609221031,2.9379448310894327,True,74.65701806499231,0.0,30.32671104480861,0.0
3,0.21964999802153687,1.9909812364589412,True,134.7468359516394,0.02702702702702703,51.48939034837554,0.0
4,0.16070537705873622,1.4543625140252172,True,114.99999705428783,0.0,57.01768341948167,0.0
5,0.11959331508340507,0.8304144483048371,True,111.20642737900428,0.0,54.23721775798034,0.0
6,0.119791092800683,1.3080168454388785,True,114.23447857124005,0.0,81.65728189770319,0.0
7,0.11179540518285899,1.060044244663128,True,62.78027997698103,0.0,18.935058100228144,0.0
8,0.10927601717412472,1.4578534478849903,True,114.67940164809062,0.0,78.05587372057227,0.0
9,0.10549750410277269,0.8586079599437203,True,109.37207638066708,0.0,80.18313960587196,0.0
10,0.07178825955709507,0.7887966237851328,True,70.08747149066114,0.0,21.291716489322397,0.0
11,0.06768289317601714,0.6037311437782478,True,65.62345538636433,0.0,17.079379658326218,0.0
12,0.06607239035054527,0.6841403647201709,True,59.693221545127365,0.023166023166023165,16.20870217577371,0.0
13,0.1119405965095964,1.1677003759543876,True,107.55677400684725,0.0,75.99396614310363,0.0
14,0.06400731491759934,0.5630337379051317,True,112.66616727026273,0.0,61.575860833569386,0.0
15,0.0531233096623729,0.685902078513035,True,69.80860753593298,0.0,16.77153840764609,0.0
16,0.05646395692922946,0.8785563871851624,True,105.59057958890112,0.0,68.1518359754997,0.0
17,0.04290270786090144,0.7447090086353958,True,57.77494794337446,0.0,16.729627208359915,0.0
18,0.031380470103487886,0.6800413605712847,True,47.45940549401243,0.019305019305019305,13.822541416942729,0.0
19,0.023132433472522373,0.6924449880732207,True,47.22462911127157,0.011583011583011582,12.96683247301109,0.0
20,0.024134689331825436,0.7131591617686911,True,48.6633747940358,0.007722007722007722,15.259057187090509,0.0
